,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
O13601,0.0,0.0,0.0,0.0,0.0,0.25,0.75,Ascomycota,8,1,0.562335144619,1.83333333333,-0.777777777778,False
O13602,0.0,0.0,0.363636363636,0.272727272727,0.0,0.0,0.363636363636,Ascomycota,11,1,1.09005965871,3.5303030303,-0.520737327189,False
O13606,0.0,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,0.0,Opisthokonta,7,0,0.410116318288,0.285714285714,-0.163636363636,False
O13610,0.0,0.416666666667,0.0,0.583333333333,0.0,0.0,0.0,Eukaryota,12,1,0.6791932659919999,0.512820512821,-0.0277777777778,False
O13612,0.0,0.0,0.2,0.5,0.1,0.0,0.2,Eukaryota,10,0,1.22060726455,2.88888888889,-0.119047619048,False
O13614,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,10,0,-0.0,0.0,0.0,False
O13615,0.2,0.0,0.4,0.4,0.0,0.0,0.0,Euk+Bac,5,8,1.05492016799,0.923076923077,0.21825396825399998,False
O13620,0.0,0.0,0.166666666667,0.833333333333,0.0,0.0,0.0,Eukaryota,12,1,0.45056120886600004,0.717948717949,-0.05952380952380001,False
O13621,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.271189373042,0.846153846154,0.126984126984,False
O13622,0.25,0.0,0.08333333333330001,0.583333333333,0.0,0.08333333333330001,0.0,Eukaryota,12,0,1.07513932401,2.0,0.608294930876,False
O13629,0.46153846153800004,0.0,0.46153846153800004,0.0769230769231,0.0,0.0,0.0,Cellular_organisms,13,0,0.911017539713,0.307692307692,-0.047619047619,False
O13632,0.0,0.0,0.23076923076900002,0.692307692308,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.790267968075,1.46153846154,0.031746031746,False
O13633,0.0769230769231,0.0,0.0769230769231,0.769230769231,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.793730055158,1.41025641026,-0.011904761904799999,False
O13636,0.0,0.0,0.0,0.7272727272730001,0.181818181818,0.0,0.0909090909091,Eukaryota,11,1,0.7595473914749999,1.39393939394,0.68202764977,False
O13637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
O13639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,False
O13640,0.0,0.0,0.0,0.555555555556,0.0,0.0,0.444444444444,Eukaryota,9,3,0.6869615765970001,2.12121212121,0.10691244239600001,False
O13641,0.0,0.75,0.0,0.25,0.0,0.0,0.0,Euk_Archaea,12,0,0.562335144619,0.818181818182,0.0829493087558,False
O13642,0.923076923077,0.0,0.0,0.0769230769231,0.0,0.0,0.0,Cellular_organisms,13,0,0.271189373042,0.307692307692,-0.047619047619,False
O13644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
O13648,0.0,0.08333333333330001,0.08333333333330001,0.666666666667,0.08333333333330001,0.08333333333330001,0.0,Eukaryota,12,1,1.09861228867,1.89743589744,0.222222222222,False
O13650,0.0,0.0,0.0,0.0,0.8,0.0,0.2,Opisthokonta,5,0,0.500402423538,0.8,-0.5,False
O13651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,False
O13652,0.0,0.0,0.0,0.0,0.1,0.4,0.5,Ascomycota,10,1,0.9433483923289999,0.872727272727,0.06,False
O13656,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,0.0,Eukaryota,12,1,0.45056120886600004,0.564102564103,-0.0873015873016,False
O13657,0.45454545454499995,0.0,0.0909090909091,0.0909090909091,0.0,0.272727272727,0.0909090909091,Cellular_organisms,11,0,1.36671105206,3.38181818182,-0.268518518519,False
O13658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,5,2,-0.0,0.952380952381,0.888888888889,False
O13660,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.08333333333330001,0.0,Eukaryota,12,1,0.56608573896,1.46153846154,0.18650793650800002,False
O13663,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,0.0,Eukaryota,12,1,0.45056120886600004,1.5641025641,0.0674603174603,False
O13665,0.0,0.0,0.0,0.692307692308,0.23076923076900002,0.0,0.0769230769231,Eukaryota,13,0,0.790267968075,0.769230769231,-0.015873015873,False
O13666,0.0,0.0,0.583333333333,0.08333333333330001,0.0,0.166666666667,0.166666666667,Euk+Bac,12,0,1.1187433359899999,3.30303030303,3.67373271889,False
O13670,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,-0.0,0.0,0.0,False
O13671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,-0.0238095238095,False
O13672,0.08333333333330001,0.0,0.0,0.916666666667,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,0.461538461538,-0.0198412698413,False
O13674,0.0,0.0,0.0,0.0,0.75,0.25,0.0,Opisthokonta,4,1,0.562335144619,2.4,,False
O13679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,2,0,-0.0,0.0,,False
O13681,0.0,0.0,0.0,0.0,0.4,0.6,0.0,Dikarya,5,1,0.6730116670090001,0.6,1.0,False
O13682,0.1,0.0,0.1,0.7,0.0,0.0,0.1,Eukaryota,10,1,0.940447988655,1.92727272727,-0.06,False
O13683,0.0,0.0,0.0,0.307692307692,0.0769230769231,0.615384615385,0.0,Dikarya,13,0,0.8587409130060001,1.53846153846,0.22619047619000002,False
O13684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,2,0,-0.0,0.0,,False
O13685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.307692307692,-0.047619047619,False
O13686,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.0,0.08333333333330001,Eukaryota,12,1,0.56608573896,1.12820512821,0.289682539683,False
O13687,0.153846153846,0.153846153846,0.0,0.692307692308,0.0,0.0,0.0,Eukaryota,13,0,0.8305178252869999,1.02564102564,-0.15873015873,False
O13689,0.0,0.0,0.0,0.0,0.0,0.636363636364,0.363636363636,Dikarya,11,0,0.655481773901,0.509090909091,0.64,False
O13690,0.0,0.0,0.0,0.222222222222,0.111111111111,0.555555555556,0.111111111111,Dikarya,9,1,1.1490596969700002,1.08888888889,-0.011904761904799999,False
O13691,0.0,0.0,0.7,0.3,0.0,0.0,0.0,Euk+Bac,10,1,0.610864302055,1.05454545455,-0.256613756614,False
O13692,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Ascomycota,8,0,0.6931471805600001,0.571428571429,0.166666666667,False
O13693,0.0,0.0,0.0,0.545454545455,0.363636363636,0.0,0.0909090909091,Eukaryota,11,0,0.9164648855390001,2.0,-0.0727513227513,False
O13695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,4,1,-0.0,0.8,2.0,False
O13696,0.25,0.0,0.166666666667,0.583333333333,0.0,0.0,0.0,Eukaryota,12,1,0.9596147939120001,1.89743589744,0.015873015873,False
O13698,0.0,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,Euk+Bac,12,1,0.286835983056,0.769230769231,0.138888888889,False
O13701,0.0,0.0,0.0,0.5,0.416666666667,0.0,0.08333333333330001,Eukaryota,12,1,0.918427784993,1.92307692308,-0.0396825396825,False
O13702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,True
O13703,0.0,0.0,0.0,0.75,0.0,0.0,0.25,Eukaryota,4,1,0.562335144619,2.2,-0.916666666667,False
O13704,0.0,0.0,0.28571428571400004,0.714285714286,0.0,0.0,0.0,Eukaryota,7,3,0.598269588585,1.26666666667,-0.035714285714300006,False
O13705,0.0,0.0,0.0,0.846153846154,0.0,0.153846153846,0.0,Eukaryota,13,0,0.42932302193099997,1.12820512821,-0.17460317460299998,False
O13709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,3,0,-0.0,0.0,0.0,False
O13710,0.0,0.0,0.33333333333299997,0.666666666667,0.0,0.0,0.0,Eukaryota,12,0,0.636514168295,1.13636363636,0.06666666666669999,False
O13711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,2,2,-0.0,4.66666666667,0.0,False
O13712,0.0,0.0,0.0,0.0,0.0,0.6,0.4,Dikarya,5,1,0.6730116670090001,1.2,-0.222222222222,False
O13713,0.0,0.0,0.0,0.14285714285700002,0.0,0.8571428571430001,0.0,Dikarya,7,1,0.410116318288,0.857142857143,-0.12307692307700001,False
O13714,0.153846153846,0.0,0.0,0.153846153846,0.38461538461499994,0.153846153846,0.153846153846,Opisthokonta,13,0,1.51938266464,2.4358974359,-0.27380952380999996,False
O13716,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.555555555556,Ascomycota,9,2,0.6869615765970001,2.50909090909,-0.164021164021,False
O13717,0.181818181818,0.0,0.363636363636,0.181818181818,0.0,0.272727272727,0.0,Euk+Bac,11,0,1.34211317891,2.83636363636,-0.539682539683,False
O13718,0.0,0.0,0.0,0.583333333333,0.0,0.0,0.416666666667,Eukaryota,12,0,0.6791932659919999,2.65151515152,0.498617511521,False
O13719,0.0,0.0,0.0,0.1,0.0,0.0,0.9,Ascomycota,10,0,0.325082973391,1.0,-0.535714285714,False
O13722,0.0,0.0,0.0,0.846153846154,0.0,0.0,0.153846153846,Eukaryota,13,0,0.42932302193099997,1.28205128205,0.420634920635,False
O13724,0.0,0.538461538462,0.0,0.46153846153800004,0.0,0.0,0.0,Euk_Archaea,13,0,0.6901856760189999,0.538461538462,0.07142857142860001,False
O13725,0.5,0.0,0.5,0.0,0.0,0.0,0.0,Cellular_organisms,8,5,0.6931471805600001,1.17948717949,-0.0277777777778,False
O13726,0.307692307692,0.0,0.46153846153800004,0.0769230769231,0.0769230769231,0.0,0.0769230769231,Euk+Bac,13,0,1.3114313374700002,2.02564102564,-0.210317460317,False
O13728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,0,-0.0,0.575757575758,-0.044444444444399996,False
O13729,0.0,0.0,0.0,0.0,0.0,0.125,0.875,Ascomycota,8,0,0.37677016125600005,0.25,-0.10769230769200001,False
O13730,0.0,0.0,0.0,0.0769230769231,0.923076923077,0.0,0.0,Opisthokonta,13,0,0.271189373042,0.307692307692,0.0555555555556,False
O13731,0.0,0.0,0.0,0.75,0.25,0.0,0.0,Eukaryota,12,0,0.562335144619,1.30303030303,0.9972350230410001,False
O13732,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,11,0,-0.0,0.545454545455,-0.0198412698413,False
O13733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.692307692308,0.047619047619,False
O13734,0.0,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Ascomycota,3,2,0.636514168295,1.6,0.166666666667,False
O13735,0.0,0.0,0.0,0.0,0.2,0.8,0.0,Dikarya,10,1,0.500402423538,0.981818181818,0.48,False
O13736,0.0,0.0,0.0,0.166666666667,0.25,0.583333333333,0.0,Dikarya,12,1,0.9596147939120001,1.89743589744,0.222222222222,False
O13737,0.0,0.0,0.545454545455,0.45454545454499995,0.0,0.0,0.0,Euk+Bac,11,0,0.689009238477,1.45454545455,0.32,False
O13738,0.0,0.1,0.0,0.9,0.0,0.0,0.0,Eukaryota,10,0,0.325082973391,0.755555555556,0.52380952381,False
O13739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
O13741,0.0,0.0,0.0,0.888888888889,0.0,0.0,0.111111111111,Eukaryota,9,4,0.34883209584299996,1.64102564103,-0.047619047619,False
O13742,0.33333333333299997,0.5,0.0,0.166666666667,0.0,0.0,0.0,Euk_Archaea,12,1,1.0114042647100001,0.948717948718,-0.0952380952381,False
O13744,0.0,0.0,0.45454545454499995,0.181818181818,0.181818181818,0.181818181818,0.0,Euk+Bac,11,1,1.28825230502,2.90909090909,0.37603686635899997,False
O13745,0.0,0.0,0.0,0.666666666667,0.166666666667,0.166666666667,0.0,Eukaryota,12,1,0.8675632284810001,1.20512820513,-0.18650793650800002,False
O13747,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.282051282051,0.111111111111,False
O13748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
O13749,0.0,0.923076923077,0.0,0.0769230769231,0.0,0.0,0.0,Euk_Archaea,13,0,0.271189373042,0.307692307692,-0.047619047619,False
O13750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,False
O13752,0.0,0.0,0.0,0.538461538462,0.23076923076900002,0.23076923076900002,0.0,Eukaryota,13,0,1.01009975935,1.46153846154,0.134920634921,False
O13753,0.0,0.23076923076900002,0.0,0.769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.5402041423889999,0.538461538462,0.0198412698413,False
O13754,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,1.33333333333,0.25793650793699996,False
O13755,0.23076923076900002,0.0,0.46153846153800004,0.307692307692,0.0,0.0,0.0,Euk+Bac,13,0,1.0579054247,0.923076923077,-0.14285714285700002,True
O13756,0.0,0.0,0.0,0.583333333333,0.33333333333299997,0.0,0.08333333333330001,Eukaryota,12,0,0.887694275799,1.92424242424,0.34377880184299997,False
O13759,0.0,0.0,0.166666666667,0.833333333333,0.0,0.0,0.0,Eukaryota,6,3,0.45056120886600004,0.944444444444,0.0,False
O13762,0.1,0.0,0.3,0.4,0.2,0.0,0.0,Eukaryota,10,0,1.2798542258299999,2.33333333333,1.60714285714,False
O13764,0.111111111111,0.111111111111,0.0,0.777777777778,0.0,0.0,0.0,Eukaryota,9,1,0.6837389058490001,1.02222222222,0.130952380952,False
O13765,0.0,0.166666666667,0.0,0.75,0.0,0.08333333333330001,0.0,Eukaryota,12,1,0.7214636866930001,1.12820512821,0.18650793650800002,False
O13766,0.0,0.0,0.0,0.0,0.8181818181820001,0.181818181818,0.0,Opisthokonta,11,0,0.474139313058,0.327272727273,-0.06,False
O13767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,9,0,-0.0,0.0,0.0,False
O13768,0.769230769231,0.0769230769231,0.0769230769231,0.0769230769231,0.0,0.0,0.0,Cellular_organisms,13,0,0.793730055158,0.435897435897,-0.015873015873,False
O13769,0.0,0.0,0.0,0.909090909091,0.0909090909091,0.0,0.0,Eukaryota,11,0,0.304636097349,0.509090909091,-0.164021164021,False
O13770,0.0,0.0,0.0,0.692307692308,0.0769230769231,0.153846153846,0.0769230769231,Eukaryota,13,0,0.937155853066,2.0,0.25793650793699996,False
O13771,0.0,0.0,0.0,0.5,0.0,0.25,0.25,Eukaryota,4,1,1.0397207708399998,2.8,-0.33333333333299997,False
O13772,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.8181818181820001,Ascomycota,11,0,0.474139313058,0.327272727273,-0.06,False
O13773,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,10,1,-0.0,0.363636363636,-0.15873015873,False
O13774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,False
O13775,0.272727272727,0.545454545455,0.0,0.181818181818,0.0,0.0,0.0,Euk_Archaea,11,2,0.994923632572,0.846153846154,0.0238095238095,False
O13776,0.0,0.0,0.0,0.846153846154,0.153846153846,0.0,0.0,Eukaryota,13,0,0.42932302193099997,1.20512820513,0.587301587302,False
O13777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,2,2,-0.0,2.66666666667,0.0,False
O13779,0.45454545454499995,0.0,0.272727272727,0.0909090909091,0.0,0.181818181818,0.0,Cellular_organisms,11,0,1.2406842919499999,2.4,0.494708994709,False
O13780,0.0,0.0,0.0,0.46153846153800004,0.0,0.38461538461499994,0.153846153846,Eukaryota,13,0,1.0123308390999999,1.35897435897,-0.210317460317,False
O13781,0.125,0.0,0.25,0.375,0.0,0.0,0.25,Eukaryota,8,0,1.32088834315,3.21428571429,4.875,False
O13782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,0.0277777777778,False
O13783,0.0,0.0,0.0,0.9,0.1,0.0,0.0,Eukaryota,10,3,0.325082973391,1.51282051282,-0.130952380952,False
O13784,0.0,0.222222222222,0.0,0.777777777778,0.0,0.0,0.0,Eukaryota,9,0,0.529706199058,0.388888888889,-0.168831168831,False
O13785,0.0,0.0,0.0,0.28571428571400004,0.714285714286,0.0,0.0,Opisthokonta,7,0,0.598269588585,0.952380952381,0.888888888889,False
O13786,0.0,0.0,0.0,0.23076923076900002,0.615384615385,0.0,0.153846153846,Opisthokonta,13,0,0.925129083572,1.61538461538,0.31746031746,False
O13787,0.0,0.0,0.0,0.769230769231,0.153846153846,0.0769230769231,0.0,Eukaryota,13,0,0.6870920273800001,0.923076923077,-0.0912698412698,False
O13788,0.0,0.0,0.0,0.909090909091,0.0909090909091,0.0,0.0,Eukaryota,11,1,0.304636097349,0.954545454545,0.21843317972399998,False
O13789,0.0,0.0,0.0,0.666666666667,0.0,0.111111111111,0.222222222222,Eukaryota,9,2,0.848685557726,2.4,1.8042328042299998,False
O13790,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.974358974359,0.313492063492,False
O13792,0.5,0.0,0.166666666667,0.33333333333299997,0.0,0.0,0.0,Cellular_organisms,6,7,1.0114042647100001,1.02564102564,0.150793650794,False
O13793,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.286835983056,0.769230769231,0.138888888889,False
O13794,0.75,0.0,0.0,0.25,0.0,0.0,0.0,Cellular_organisms,12,1,0.562335144619,0.769230769231,0.5,False
O13796,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.461538461538,-0.07142857142860001,False
O13797,0.0,0.0,0.363636363636,0.45454545454499995,0.181818181818,0.0,0.0,Eukaryota,11,2,1.03619878482,1.76923076923,0.190476190476,False
O13798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,4,5,-0.0,1.55555555556,0.666666666667,False
O13799,0.14285714285700002,0.0,0.5714285714289999,0.28571428571400004,0.0,0.0,0.0,Euk+Bac,7,3,0.955699891113,1.22222222222,0.77380952381,False
O13801,0.0,0.0,0.0,0.416666666667,0.166666666667,0.0,0.416666666667,Ascomycota,12,0,1.02818385933,2.60606060606,0.0479262672811,False
O13802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.461538461538,-0.07142857142860001,False
O13803,0.0,0.0,0.0,0.2,0.6,0.1,0.1,Opisthokonta,10,0,1.08889997535,0.911111111111,0.02,False
O13804,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Ascomycota,4,1,0.6931471805600001,3.0,-1.25,False
O13805,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.271189373042,0.846153846154,-0.0793650793651,False
O13807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.538461538462,-0.08333333333330001,False
O13808,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,7,6,-0.0,1.51282051282,0.849206349206,False
O13809,0.0,0.0,0.428571428571,0.0,0.0,0.28571428571400004,0.28571428571400004,Euk+Bac,7,4,1.0789922078799998,3.16363636364,-0.042328042328000005,False
O13810,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,False
O13811,0.0769230769231,0.0,0.23076923076900002,0.692307692308,0.0,0.0,0.0,Eukaryota,13,0,0.790267968075,0.923076923077,0.166666666667,False
O13813,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dikarya,9,2,-0.0,0.327272727273,0.16,False
O13814,0.0,0.0,0.0,0.0,0.0,0.636363636364,0.363636363636,Dikarya,11,0,0.655481773901,0.509090909091,-0.0933333333333,False
O13816,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,1.20512820513,-0.031746031746,False
O13817,0.0,0.0,0.0,0.0,0.5714285714289999,0.28571428571400004,0.14285714285700002,Opisthokonta,7,1,0.955699891113,1.0,0.430769230769,False
O13818,0.0,0.0,0.0,0.0909090909091,0.272727272727,0.0,0.636363636364,Ascomycota,11,0,0.859967281036,1.38181818182,-0.25333333333299995,False
O13819,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.286835983056,1.02564102564,0.150793650794,False
O13820,0.0769230769231,0.0,0.46153846153800004,0.46153846153800004,0.0,0.0,0.0,Euk+Bac,13,0,0.911017539713,1.23076923077,-0.138888888889,False
O13821,0.0,0.0,0.0,0.545454545455,0.272727272727,0.0,0.181818181818,Eukaryota,11,1,0.994923632572,1.84848484848,0.7,False
O13822,0.33333333333299997,0.0,0.33333333333299997,0.0,0.166666666667,0.0,0.166666666667,Euk+Bac,6,7,1.32966134885,3.4358974359,2.46031746032,False
O13823,0.0,0.08333333333330001,0.0,0.916666666667,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,0.153846153846,0.0277777777778,False
O13824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,0,-0.0,0.409090909091,-0.0801843317972,False
O13825,0.0,0.0,0.0,0.666666666667,0.25,0.0,0.08333333333330001,Eukaryota,12,0,0.8239592165009999,1.83333333333,-0.24444444444400001,False
O13826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,6,0,-0.0,0.0,0.0,False
O13827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ascomycota,9,0,-0.0,0.0,0.0,False
O13828,0.0,0.0,0.0,0.9,0.1,0.0,0.0,Eukaryota,10,1,0.325082973391,1.27272727273,-0.410052910053,False
O13829,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.589743589744,0.011904761904799999,False
O13830,0.166666666667,0.583333333333,0.0,0.166666666667,0.0,0.08333333333330001,0.0,Euk_Archaea,12,1,1.1187433359899999,1.35897435897,-0.00396825396825,False
O13831,0.846153846154,0.0,0.0,0.153846153846,0.0,0.0,0.0,Cellular_organisms,13,0,0.42932302193099997,0.846153846154,0.33333333333299997,False
O13833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,10,3,-0.0,0.948717948718,-0.14682539682499998,False
O13834,0.0,0.0,0.0,0.7272727272730001,0.0,0.181818181818,0.0909090909091,Eukaryota,11,1,0.7595473914749999,1.92424242424,-0.2,False
O13835,0.166666666667,0.0,0.0,0.833333333333,0.0,0.0,0.0,Eukaryota,12,1,0.45056120886600004,0.769230769231,0.190476190476,False
O13836,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.286835983056,0.435897435897,-0.015873015873,False
O13837,0.25,0.08333333333330001,0.0,0.666666666667,0.0,0.0,0.0,Eukaryota,12,1,0.8239592165009999,2.0,1.54761904762,False
O13838,0.0,0.0,0.0,0.555555555556,0.0,0.111111111111,0.33333333333299997,Eukaryota,9,1,0.9368883075390001,2.06666666667,-0.321428571429,False
O13839,0.0,0.0,0.666666666667,0.33333333333299997,0.0,0.0,0.0,Euk+Bac,3,8,0.636514168295,1.27272727273,0.06,False
O13842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,-0.0,0.0,0.0,True
O13843,0.0,0.0,0.769230769231,0.0,0.0,0.0,0.23076923076900002,Euk+Bac,13,0,0.5402041423889999,2.69230769231,-0.0555555555556,True
O13844,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,0.0,Eukaryota,12,1,0.45056120886600004,0.769230769231,0.5,False
O13845,0.0,0.0,0.0909090909091,0.909090909091,0.0,0.0,0.0,Eukaryota,11,1,0.304636097349,1.01515151515,-0.0322580645161,False
O13846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,11,2,-0.0,0.153846153846,0.0277777777778,False
O13848,0.153846153846,0.0,0.153846153846,0.0769230769231,0.307692307692,0.153846153846,0.153846153846,Opisthokonta,13,0,1.71184513523,3.20512820513,-0.18650793650800002,False
O13849,0.0,0.0,0.181818181818,0.636363636364,0.181818181818,0.0,0.0,Eukaryota,11,0,0.907535294105,1.85454545455,0.906666666667,False
O13850,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,0.615384615385,0.111111111111,False
O13851,0.6,0.2,0.2,0.0,0.0,0.0,0.0,Cellular_organisms,5,2,0.950270539233,2.47619047619,4.436363636359999,False
