,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Protostomia,Ecdysozoa,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A3QMD3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,6,0,-0.0,0.0,,False
A3QMD6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,5,0,-0.0,0.6,-0.25,False
A3QMD7,0.0,0.0,0.0,0.7,0.1,0.2,0.0,0.0,Eukaryota,10,0,0.8018185525429999,2.11111111111,-0.05952380952380001,False
A3RMS6,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Opisthokonta,2,1,0.6931471805600001,3.33333333333,,False
A4F318,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,1.0,,False
A4F319,0.0,0.0,0.0,0.714285714286,0.28571428571400004,0.0,0.0,0.0,Eukaryota,7,1,0.598269588585,1.21428571429,1.375,False
A4F320,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,6,0,-0.0,0.533333333333,-0.2,False
A4F323,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,Eumetazoa,2,1,0.6931471805600001,3.33333333333,5.0,False
A4F324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,3,6,-0.0,3.22222222222,1.1558441558399999,False
A4F325,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,Eukaryota,4,1,0.562335144619,2.6,0.25,False
A4F337,0.0,0.0,0.0,0.0,0.0,0.08333333333330001,0.08333333333330001,0.833333333333,Ecdysozoa,12,1,0.56608573896,0.666666666667,-0.0515873015873,False
A4LBC2,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,Eukaryota,10,0,0.610864302055,1.82222222222,-0.33333333333299997,False
A4UVJ7,0.111111111111,0.0,0.777777777778,0.0,0.0,0.111111111111,0.0,0.0,Euk+Bac,9,0,0.6837389058490001,1.77777777778,-0.888888888889,False
A4UVK7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,5,2,-0.0,1.42857142857,1.5,False
A4UVL8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,4,2,-0.0,0.0,0.0,False
A4UVM2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Ecdysozoa,2,1,0.6931471805600001,2.0,1.5,False
A4UZ34,0.0,0.0,0.2,0.4,0.0,0.4,0.0,0.0,Eumetazoa,5,5,1.05492016799,3.55555555556,0.297619047619,False
A4V4W2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,5,0,-0.0,0.0,,False
A4V4W6,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,Eukaryota,5,3,0.500402423538,2.60714285714,0.104166666667,False
A4V4W7,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,Eumetazoa,4,1,0.562335144619,3.0,0.833333333333,False
A5A631,0.33333333333299997,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,3,1,0.636514168295,0.666666666667,,False
A5A8P6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,3,1,-0.0,0.0,,False
A5A8Q9,0.0,0.0,0.0,0.38461538461499994,0.46153846153800004,0.153846153846,0.0,0.0,Opisthokonta,13,0,1.0123308390999999,2.15384615385,-0.281746031746,False
A5HWB2,0.153846153846,0.0,0.46153846153800004,0.38461538461499994,0.0,0.0,0.0,0.0,Euk+Bac,13,0,1.0123308390999999,1.17948717949,-0.0277777777778,False
A5JYR2,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.125,Opisthokonta,8,0,0.9743147528689999,2.21428571429,1.26153846154,False
A5JYR6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,0,-0.0,None,,False
A5JYR8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ecdysozoa,2,1,-0.0,2.0,,False
A5JYS0,0.0,0.0,0.181818181818,0.8181818181820001,0.0,0.0,0.0,0.0,Eukaryota,11,0,0.474139313058,0.981818181818,-0.035714285714300006,True
A5JYS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ecdysozoa,1,1,-0.0,2.0,,False
A5JYT6,0.0,0.0,0.33333333333299997,0.33333333333299997,0.0,0.33333333333299997,0.0,0.0,Euk+Bac,3,1,1.09861228867,4.5,5.0,False
A5JYT9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,5,1,-0.0,1.0,-0.535714285714,False
A5JYU5,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,Euk+Bac,4,8,1.0397207708399998,1.39393939394,-0.133333333333,False
A5JYU6,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,Eumetazoa,10,0,0.500402423538,1.88888888889,-0.595238095238,False
A5JYV4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,1.0,,False
A5JYV7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ecdysozoa,1,0,-0.0,None,,False
A5JYW9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,0,-0.0,0.469696969697,0.034101382488500004,False
A5JYX3,0.0,0.0,0.0,0.3,0.3,0.4,0.0,0.0,Eumetazoa,10,3,1.08889997535,1.30769230769,0.107142857143,False
A5JYX5,0.181818181818,0.0,0.545454545455,0.0,0.181818181818,0.0909090909091,0.0,0.0,Euk+Bac,11,2,1.16851840574,3.30769230769,1.1904761904799999,True
A5JYX8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.538461538462,-0.08333333333330001,False
A5JYY7,0.5714285714289999,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.0,Cellular_organisms,7,1,0.6829081047,4.28571428571,0.375,False
A5JYZ0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,3,1,-0.0,4.0,-2.66666666667,False
A5PEW5,0.0,0.0,0.0,0.7272727272730001,0.0,0.272727272727,0.0,0.0,Eukaryota,11,2,0.585952618304,2.05128205128,0.45634920634900006,False
A5PEW7,0.0,0.0,0.0,0.0,0.0,0.916666666667,0.0,0.08333333333330001,Eumetazoa,12,1,0.286835983056,0.692307692308,0.047619047619,False
A5PEX5,0.0,0.0,0.0,0.0,0.23076923076900002,0.769230769231,0.0,0.0,Eumetazoa,13,0,0.5402041423889999,0.538461538462,-0.031746031746,False
A5PEX6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,6,0,-0.0,0.333333333333,0.0,False
A5PEX8,0.0,0.0,0.0,0.166666666667,0.25,0.583333333333,0.0,0.0,Eumetazoa,12,1,0.9596147939120001,1.84615384615,-0.234126984127,False
A5PEY3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,9,1,-0.0,0.355555555556,-0.047619047619,False
A5PEY4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,3,1,-0.0,4.0,0.0,False
A5Z2T9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,4,0,-0.0,0.666666666667,1.0,False
A5Z2V1,0.0,0.0,0.0,0.3,0.4,0.3,0.0,0.0,Opisthokonta,10,0,1.08889997535,2.22222222222,-0.119047619048,False
A5Z2V7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,1.0,,False
A5Z2W6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,Cellular_organisms,4,0,0.562335144619,5.0,-3.33333333333,False
A5Z2X0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Protostomia,1,0,-0.0,None,,False
A5Z2X3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,1,-0.0,5.33333333333,,False
A6PVA1,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,Eumetazoa,12,0,0.562335144619,0.818181818182,-0.160368663594,False
A6ZJ71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,4,1,-0.0,0.0,0.0,False
A6ZJ73,0.0,0.0,0.0,0.33333333333299997,0.166666666667,0.5,0.0,0.0,Eumetazoa,12,1,1.0114042647100001,1.5641025641,-0.242063492063,False
A7DT28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,6,0,-0.0,0.333333333333,0.357142857143,False
A7DT33,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,0.0,0.0,Eukaryota,3,0,0.636514168295,2.0,1.5,False
A7DT40,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.2,Eukaryota,5,1,1.33217904021,3.46666666667,0.07142857142860001,False
A7DT41,0.0,0.0,0.0,0.545454545455,0.0909090909091,0.363636363636,0.0,0.0,Eukaryota,11,1,0.9164648855390001,2.43939393939,-0.266359447005,False
A7DTF0,0.0,0.0,0.0,0.75,0.166666666667,0.08333333333330001,0.0,0.0,Eukaryota,12,0,0.7214636866930001,1.62121212121,0.34444444444399996,False
A7DTF2,0.0,0.0,0.0,0.636363636364,0.272727272727,0.0909090909091,0.0,0.0,Eukaryota,11,1,0.859967281036,2.33333333333,0.733333333333,False
A7IQW5,0.0,0.0,0.0,0.916666666667,0.0,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.286835983056,1.4358974359,0.035714285714300006,False
A7LPD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ecdysozoa,1,2,-0.0,1.33333333333,2.0,False
A7LPD8,0.363636363636,0.181818181818,0.0,0.0909090909091,0.0,0.363636363636,0.0,0.0,Cellular_organisms,11,0,1.26365443188,4.0,-0.293333333333,False
A7LPE2,0.0,0.0,0.0,0.0,0.0,0.888888888889,0.0,0.111111111111,Eumetazoa,9,1,0.34883209584299996,0.755555555556,0.166666666667,False
A7LPE4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,12,1,-0.0,0.153846153846,-0.0238095238095,False
A7LPF8,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,Eumetazoa,10,1,0.500402423538,1.2,0.17460317460299998,False
A7LPG1,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,Euk+Bac,4,0,0.562335144619,3.5,,False
A7LPG5,0.0,0.0,0.0,0.7272727272730001,0.0,0.272727272727,0.0,0.0,Eukaryota,11,1,0.585952618304,2.54545454545,1.8801843318,False
A7LPI2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,13,0,-0.0,0.512820512821,-0.0277777777778,False
A7LPI6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,1.0,,False
A7LPI7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,7,1,-0.0,0.25,0.0,False
A7UQ08,0.25,0.0,0.125,0.0,0.0,0.625,0.0,0.0,Eumetazoa,8,0,0.900256051269,4.17857142857,-0.604166666667,False
A7UQ09,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.0,Eumetazoa,10,1,0.6390318596500001,1.23636363636,0.286666666667,False
A7UQ11,0.0,0.0,0.0,0.0,0.181818181818,0.7272727272730001,0.0,0.0909090909091,Eumetazoa,11,1,0.7595473914749999,1.04545454545,0.511520737327,False
A7WK41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,12,1,-0.0,0.0,0.0,False
A7WK43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.461538461538,-0.0198412698413,False
A8DJA6,0.0,0.0,0.0,0.5,0.375,0.125,0.0,0.0,Eukaryota,8,1,0.9743147528689999,2.33333333333,0.6233766233770001,False
A8DYR7,0.0,0.111111111111,0.0,0.555555555556,0.0,0.33333333333299997,0.0,0.0,Eukaryota,9,4,0.9368883075390001,2.07692307692,-0.321428571429,False
A8DYS0,0.0,0.0,0.153846153846,0.692307692308,0.0,0.153846153846,0.0,0.0,Eukaryota,13,0,0.8305178252869999,2.51282051282,0.694444444444,False
A8WFH3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Ecdysozoa,2,0,0.6931471805600001,2.0,,False
A8WFH5,0.0,0.0,0.0,0.222222222222,0.33333333333299997,0.444444444444,0.0,0.0,Eumetazoa,9,2,1.06085694716,2.98181818182,0.7,False
A8WFI4,0.0,0.0,0.0,0.444444444444,0.222222222222,0.33333333333299997,0.0,0.0,Eukaryota,9,1,1.06085694716,3.46666666667,-0.28571428571400004,False
A8WFI7,0.0,0.0,0.666666666667,0.0,0.0,0.33333333333299997,0.0,0.0,Euk+Bac,12,0,0.636514168295,3.87878787879,-0.47188940092200005,False
A8WFJ7,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,Eumetazoa,4,2,0.6931471805600001,2.66666666667,1.6666666666699999,False
A8WFJ8,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,Eumetazoa,5,4,0.6730116670090001,3.11111111111,-0.222222222222,False
A8WFJ9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,11,1,-0.0,0.530303030303,0.026728110599099998,False
A8WFK3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Opisthokonta,1,1,-0.0,5.0,,False
A8WFK6,0.0,0.0,0.583333333333,0.25,0.08333333333330001,0.08333333333330001,0.0,0.0,Euk+Bac,12,0,1.07513932401,2.65151515152,-0.109677419355,True
A8WHR8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,Eumetazoa,5,0,0.500402423538,0.8,0.5,False
A8WHS8,0.0,0.0,0.0,0.0,0.14285714285700002,0.8571428571430001,0.0,0.0,Eumetazoa,7,0,0.410116318288,0.571428571429,-0.327272727273,False
A8WHT8,0.0,0.153846153846,0.153846153846,0.307692307692,0.0,0.0769230769231,0.0,0.307692307692,Ecdysozoa,13,0,1.49856907968,4.66666666667,-0.412698412698,False
A8XQE0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
A9CZN9,0.0,0.0,0.0,0.166666666667,0.666666666667,0.166666666667,0.0,0.0,Opisthokonta,12,1,0.8675632284810001,1.0,0.25793650793699996,False
A9D0C3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,11,1,-0.0,0.0,0.0,False
A9D2P7,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,0.0,0.0,Eukaryota,3,1,0.636514168295,4.16666666667,-0.5,False
A9D2X7,0.33333333333299997,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,Euk+Bac,6,7,0.636514168295,1.23076923077,0.170634920635,False
A9D4E4,0.0,0.0,0.0,0.111111111111,0.0,0.777777777778,0.0,0.111111111111,Eumetazoa,9,1,0.6837389058490001,1.35555555556,-0.40476190476199997,False
A9D4S6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
A9D699,0.0,0.0,0.0,0.692307692308,0.0769230769231,0.23076923076900002,0.0,0.0,Eukaryota,13,0,0.790267968075,2.4358974359,-0.222222222222,False
A9QY30,0.0,0.0,0.0,0.0,0.08333333333330001,0.916666666667,0.0,0.0,Eumetazoa,12,0,0.286835983056,0.333333333333,0.020276497695900002,False
A9UJN4,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.08333333333330001,0.0,0.0,Eukaryota,12,1,0.56608573896,1.25641025641,0.5277777777780001,False
A9UJP1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Ecdysozoa,2,1,0.6931471805600001,2.0,1.5,False
A9Z1K7,0.0,0.0,0.0,0.14285714285700002,0.0,0.714285714286,0.0,0.14285714285700002,Eumetazoa,7,0,0.7963116401739999,2.28571428571,-1.1,False
A9Z1K9,0.0,0.0,0.0,0.28571428571400004,0.0,0.5714285714289999,0.0,0.14285714285700002,Eumetazoa,7,1,0.955699891113,3.07142857143,1.625,False
A9Z1L1,0.5,0.0,0.3,0.0,0.0,0.2,0.0,0.0,Cellular_organisms,10,0,1.02965301406,2.84444444444,4.66666666667,False
A9Z1L6,0.0,0.0,0.0,0.769230769231,0.0769230769231,0.0769230769231,0.0,0.0769230769231,Eukaryota,13,0,0.793730055158,2.07692307692,0.761904761905,False
B0M0M9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,8,1,-0.0,0.555555555556,-0.0125,False
B1GRK5,0.23076923076900002,0.0,0.692307692308,0.0769230769231,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.790267968075,0.461538461538,-0.07142857142860001,True
B1Q254,0.0,0.0,0.0,0.0909090909091,0.0,0.909090909091,0.0,0.0,Eumetazoa,11,2,0.304636097349,2.76923076923,-0.37698412698399997,False
B1Q256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,4,1,-0.0,0.4,,False
B1V898,0.0,0.0,0.777777777778,0.0,0.111111111111,0.111111111111,0.0,0.0,Euk+Bac,9,1,0.6837389058490001,2.93333333333,-0.678571428571,True
B1V8J1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,4,0,-0.0,0.666666666667,,False
B1V8J3,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,Eukaryota,10,0,0.500402423538,1.95555555556,2.40476190476,False
B2D6L6,0.0,0.0,0.0,0.5714285714289999,0.14285714285700002,0.28571428571400004,0.0,0.0,Eukaryota,7,0,0.955699891113,2.95238095238,-0.481818181818,False
B2D6L8,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,0.0,0.0,Eukaryota,3,1,0.636514168295,3.5,0.0,False
B2D6M8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ecdysozoa,3,0,-0.0,0.0,,False
B2FD95,0.0,0.0,0.0,0.0,0.14285714285700002,0.714285714286,0.0,0.14285714285700002,Eumetazoa,7,0,0.7963116401739999,1.42857142857,0.555555555556,False
B3CJ34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,11,1,-0.0,1.45454545455,0.18801843318,False
B3GWA1,0.0,0.0,0.0,0.0909090909091,0.0,0.909090909091,0.0,0.0,Eumetazoa,11,1,0.304636097349,1.54545454545,-0.005529953917050001,False
B3GWE1,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,0.0,0.0,Eumetazoa,6,1,0.636514168295,3.61904761905,-0.0363636363636,False
B3WFT5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,4.0,,False
B3WFW9,0.363636363636,0.0,0.0909090909091,0.0909090909091,0.0,0.45454545454499995,0.0,0.0,Eumetazoa,11,0,1.16222554492,4.0,1.6732804232799998,False
B3WFZ3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,8,1,-0.0,0.388888888889,0.555555555556,False
B4DCT0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Opisthokonta,2,1,0.6931471805600001,4.0,-3.0,False
B5BM26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,-0.0238095238095,False
B5WWL2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,12,1,-0.0,0.153846153846,-0.0238095238095,False
B6EU57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,4,0,-0.0,0.0,,False
B6EU64,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,1,2,-0.0,4.0,,False
B6VQ56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,5.0,,False
B6VQ60,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,Eumetazoa,10,0,1.05492016799,3.02222222222,0.04,False
B6VQ83,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,Eukaryota,4,1,0.562335144619,2.4,0.166666666667,False
B6VQ90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,9,0,-0.0,0.0,0.0,True
B7FAS6,0.0,0.0,0.0,0.153846153846,0.153846153846,0.692307692308,0.0,0.0,Eumetazoa,13,0,0.8305178252869999,2.0,-0.25793650793699996,False
B7WN63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,-0.0238095238095,False
B7WN86,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0,Eukaryota,5,0,0.950270539233,3.2,-1.16666666667,False
C0VXV5,0.846153846154,0.0769230769231,0.0769230769231,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.5359610497089999,0.153846153846,0.0277777777778,True
C0VXV6,0.0,0.0,0.0,0.666666666667,0.0,0.111111111111,0.0,0.222222222222,Eukaryota,9,0,0.848685557726,3.72222222222,-0.3875,False
C0Z1Y1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,9,0,-0.0,0.388888888889,-0.111111111111,False
C0Z1Y7,0.0,0.0,0.0,0.545454545455,0.0,0.45454545454499995,0.0,0.0,Eukaryota,11,0,0.689009238477,2.36363636364,0.277777777778,False
C1P635,0.0,0.0,0.0,0.0,0.153846153846,0.846153846154,0.0,0.0,Eumetazoa,13,0,0.42932302193099997,0.564102564103,0.119047619048,False
C1P638,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,1,-0.0,5.33333333333,-4.0,False
C1P643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,1,1,-0.0,2.0,,False
C2BR94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,10,2,-0.0,0.333333333333,-0.101382488479,False
C3JXD8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,5.0,,False
C6KRG5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,3,0,-0.0,0.0,,False
C6KRH4,0.0,0.0,0.0,0.181818181818,0.272727272727,0.181818181818,0.0,0.363636363636,Ecdysozoa,11,0,1.34211317891,3.49090909091,0.600529100529,False
C6KRM5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Opisthokonta,2,1,-0.0,0.0,0.0,False
C7IVR4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,3,0,-0.0,0.0,0.0,False
C7IVS6,0.0,0.0,0.0,0.33333333333299997,0.0,0.33333333333299997,0.0,0.33333333333299997,Ecdysozoa,3,1,1.09861228867,4.83333333333,5.0,False
C8TDI8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ecdysozoa,4,1,-0.0,0.8,0.5,False
D0FY29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,0.0,,False
D0G914,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,Opisthokonta,4,1,1.3862943611200003,5.0,0.0,False
