,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0ZXL5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,2,0,-0.0,0.0,,False
A1DPK0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,7,1,-0.0,1.14285714286,0.25,False
A1DYI3,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Eumetazoa,8,2,0.562335144619,2.0,3.2142857142900003,False
A1E135,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Vertebrata,6,2,0.45056120886600004,1.25,0.0358974358974,False
A1E345,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Eumetazoa,3,10,0.636514168295,2.53846153846,0.535714285714,False
A1EA95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,6,1,-0.0,0.571428571429,0.222222222222,False
A1EAT1,0.0,0.0,0.363636363636,0.636363636364,0.0,0.0,0.0,Eukaryota,11,2,0.655481773901,1.74358974359,-0.11507936507899999,False
A1IHG6,0.0,0.0,0.0,0.0,0.0,0.5714285714289999,0.428571428571,Eumetazoa,7,6,0.6829081047,2.33333333333,0.8769841269840001,False
A1IIE5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
A1IIE6,0.0,0.0,0.0,0.615384615385,0.23076923076900002,0.153846153846,0.0,Eukaryota,13,0,0.925129083572,1.87179487179,-0.289682539683,False
A1IMF0,0.0,0.0,0.0,0.777777777778,0.0,0.0,0.222222222222,Eukaryota,9,4,0.529706199058,4.33333333333,1.39285714286,False
A1KXK6,0.0,0.0,0.0,0.6,0.0,0.4,0.0,Eukaryota,5,3,0.6730116670090001,2.60714285714,1.5625,False
A1KXK7,0.0,0.0,0.0,0.08333333333330001,0.166666666667,0.583333333333,0.166666666667,Eumetazoa,12,1,1.1187433359899999,2.97435897436,0.365079365079,False
A1KXL9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,6,6,-0.0,2.04545454545,-0.222222222222,False
A1KXM5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,11,1,-0.0,1.33333333333,0.0,False
A1KXM6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Eumetazoa,4,9,0.6931471805600001,1.4358974359,0.293650793651,False
A1XF95,0.0,0.0,0.923076923077,0.0769230769231,0.0,0.0,0.0,Euk+Bac,13,0,0.271189373042,0.461538461538,-0.07142857142860001,True
A1XGV6,0.0,0.0,0.0,0.0,0.0,0.545454545455,0.45454545454499995,Eumetazoa,11,0,0.689009238477,1.2,0.07333333333330001,False
A1XWZ9,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.8181818181820001,Vertebrata,11,0,0.474139313058,1.16363636364,0.52,False
A1YKW0,0.0,0.0,0.615384615385,0.0,0.23076923076900002,0.153846153846,0.0,Euk+Bac,13,0,0.925129083572,3.4358974359,-0.119047619048,True
A2BCZ6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,4,1,-0.0,0.0,,False
A2BD02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,4,0,-0.0,0.0,,False
A2BDG0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,1,0,-0.0,None,,False
A2IAR9,0.0,0.0,0.0,0.75,0.166666666667,0.08333333333330001,0.0,Eukaryota,12,1,0.7214636866930001,2.0,0.412698412698,False
A2JDL7,0.0,0.0,0.111111111111,0.222222222222,0.111111111111,0.222222222222,0.33333333333299997,Vertebrata,9,1,1.5229550675299999,6.17777777778,2.47619047619,False
A2N886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,6,1,-0.0,0.571428571429,-0.33333333333299997,False
A2N887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,5,1,-0.0,0.666666666667,-0.4,False
A2N888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,6,1,-0.0,0.952380952381,0.0909090909091,False
A2N889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,5,1,-0.0,1.06666666667,0.8,False
A2N890,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,5,1,-0.0,0.666666666667,-0.4,False
A2PYM3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,11,0,-0.0,0.363636363636,0.277777777778,False
A2SWM7,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Eumetazoa,6,5,0.636514168295,2.10909090909,0.359788359788,False
A2TGX4,0.0,0.0,0.6,0.2,0.0,0.2,0.0,Euk+Bac,5,3,0.950270539233,5.85714285714,5.1428571428600005,False
A2TH15,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Eumetazoa,9,4,0.636514168295,2.30769230769,2.78968253968,False
A2TH16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,12,1,-0.0,0.897435897436,0.583333333333,False
A3EYJ5,0.0,0.0,0.0,0.0,0.444444444444,0.111111111111,0.444444444444,Opisthokonta,9,3,0.9649629230069999,3.60606060606,1.2333333333299998,False
A3EYS4,0.0,0.0,0.0,0.0,0.33333333333299997,0.33333333333299997,0.33333333333299997,Opisthokonta,12,1,1.09861228867,2.94871794872,0.214285714286,False
A3F956,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Eumetazoa,10,1,0.6931471805600001,2.14545454545,2.54,False
A3F957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,4,1,-0.0,0.8,-0.5,False
A3F959,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,0.0,Eumetazoa,6,3,0.45056120886600004,2.61111111111,1.775,False
A3F960,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,Opisthokonta,3,2,0.636514168295,1.8,-0.08333333333330001,False
A3F961,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,0.0,Eumetazoa,3,3,0.636514168295,2.2,1.1785714285700002,False
A3F962,0.0,0.0,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,Eumetazoa,7,2,0.410116318288,2.11111111111,1.6666666666699999,False
A3F963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,5,2,-0.0,2.28571428571,2.12727272727,False
A3F964,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,Eumetazoa,6,2,0.45056120886600004,2.57142857143,3.0769230769200004,False
A3F965,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Eumetazoa,8,0,0.6931471805600001,2.46428571429,3.0,False
A3F9M8,0.0,0.0,0.45454545454499995,0.0,0.181818181818,0.0909090909091,0.272727272727,Euk+Bac,11,0,1.2406842919499999,6.54545454545,7.6,False
A3FB57,0.0,0.0,0.0,0.5,0.0,0.25,0.25,Eukaryota,4,8,1.0397207708399998,3.66666666667,0.855555555556,False
A3QW61,0.0,0.0,0.1,0.8,0.0,0.1,0.0,Eukaryota,10,0,0.6390318596500001,2.08888888889,1.4404761904799999,False
A3QW65,0.0,0.0,0.111111111111,0.777777777778,0.0,0.111111111111,0.0,Eukaryota,9,1,0.6837389058490001,2.71111111111,1.6904761904799999,False
A3R064,0.0,0.0,0.0,0.0,0.08333333333330001,0.583333333333,0.33333333333299997,Eumetazoa,12,0,0.887694275799,2.63636363636,0.95668202765,False
A3RF19,0.0,0.0,0.0,0.0,0.0,0.4,0.6,Vertebrata,5,6,0.6730116670090001,2.58181818182,0.92,False
A3RJ26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,7,1,-0.0,0.5,0.0,False
A3RKL3,0.0,0.0,0.909090909091,0.0,0.0909090909091,0.0,0.0,Euk+Bac,11,0,0.304636097349,0.909090909091,-0.166666666667,True
A4F5B6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Eumetazoa,2,0,0.6931471805600001,3.0,,False
A4F5F5,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,Eumetazoa,3,9,0.636514168295,2.0303030303,0.666666666667,False
A4L9I7,0.0,0.0,0.0,0.0,0.545454545455,0.181818181818,0.272727272727,Opisthokonta,11,0,0.994923632572,2.61818181818,-0.26,False
A4LA71,0.0,0.0,0.0,0.0,0.0,0.38461538461499994,0.615384615385,Vertebrata,13,0,0.666278442415,1.79487179487,0.34126984127,False
A4PBT0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,8,0,-0.0,1.14285714286,-0.164102564103,False
A4PET4,0.0,0.0,0.0,0.0,0.0,0.8181818181820001,0.181818181818,Eumetazoa,11,0,0.474139313058,1.6,0.0,False
A4Q912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,11,0,-0.0,0.0,0.0,False
A4UNW1,0.0,0.0,0.0,0.2,0.1,0.3,0.4,Vertebrata,10,1,1.2798542258299999,5.01818181818,3.92,False
A4VAR9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,11,2,-0.0,1.51282051282,-0.18253968254,False
A4ZZA2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,7,6,-0.0,2.74358974359,1.12301587302,False
A5A0U0,0.0,0.0,0.0,0.0,0.125,0.375,0.5,Vertebrata,8,2,0.9743147528689999,2.48888888889,-0.20238095238099998,False
A5A0U1,0.0,0.0,0.0,0.0,0.125,0.25,0.625,Vertebrata,8,2,0.900256051269,2.37777777778,-0.0952380952381,False
A5A2G2,0.0,0.0,0.0,0.636363636364,0.0909090909091,0.0909090909091,0.181818181818,Eukaryota,11,0,1.0335620542100001,4.58181818182,1.72666666667,False
A5A2G3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,6,7,-0.0,5.69230769231,9.38492063492,False
A5A2G4,0.0,0.0,0.0,0.6,0.0,0.3,0.1,Eukaryota,10,1,0.897945724857,4.21818181818,1.7933333333300001,False
A5A748,0.0,0.0,0.0,0.0,0.0,0.615384615385,0.38461538461499994,Eumetazoa,13,0,0.666278442415,2.05128205128,-0.31746031746,False
A5H0S2,0.0,0.0,0.0,0.375,0.0,0.125,0.5,Vertebrata,8,1,0.9743147528689999,5.27777777778,2.44444444444,False
A5HMN8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,4,3,-0.0,2.66666666667,4.66666666667,False
A5HNF6,0.0,0.0,0.0,0.0,0.0,0.888888888889,0.111111111111,Eumetazoa,9,3,0.34883209584299996,1.39393939394,0.803686635945,False
A5HUJ0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,Vertebrata,4,1,0.562335144619,2.4,-1.08333333333,False
A5HUJ2,0.0,0.0,0.0,0.0,0.125,0.25,0.625,Vertebrata,8,1,0.900256051269,4.33333333333,-0.0779220779221,False
A5HUJ3,0.0,0.0,0.0,0.1,0.0,0.4,0.5,Vertebrata,10,1,0.9433483923289999,3.63636363636,-0.22666666666700003,False
A5HUJ4,0.0,0.0,0.0,0.4,0.0,0.2,0.4,Vertebrata,5,4,1.05492016799,4.88888888889,-0.888888888889,False
A5HUJ5,0.0,0.0,0.0,0.0,0.2,0.2,0.6,Vertebrata,5,1,0.950270539233,4.26666666667,0.5,False
A5HUJ6,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Opisthokonta,2,4,0.6931471805600001,3.66666666667,2.0,False
A5HUJ8,0.0,0.0,0.923076923077,0.0,0.0,0.0,0.0769230769231,Euk+Bac,13,0,0.271189373042,1.69230769231,0.305555555556,True
A5HUJ9,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.777777777778,Vertebrata,9,4,0.529706199058,4.5641025641,1.5119047619,False
A5HUK1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,3,5,-0.0,5.71428571429,1.08333333333,False
A5HUK2,0.0,0.0,0.0,0.6,0.0,0.0,0.4,Eukaryota,5,3,0.6730116670090001,5.32142857143,-0.854166666667,False
A5HUK4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,1,1,-0.0,4.0,,False
A5HUK7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,3,2,-0.0,4.0,0.0,False
A5HUK9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,2,3,-0.0,0.6,-0.166666666667,False
A5HUL1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,2,1,-0.0,4.66666666667,,False
A5HUL6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,6,6,-0.0,0.651515151515,0.4,False
A5HUL7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,7,1,-0.0,1.07142857143,-0.28571428571400004,False
A5HUL8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,9,1,-0.0,0.933333333333,-0.14285714285700002,False
A5HUM1,0.0,0.0,0.714285714286,0.14285714285700002,0.0,0.0,0.14285714285700002,Euk+Bac,7,2,0.7963116401739999,5.61111111111,2.0,False
A5HUM3,0.0,0.0,0.375,0.0,0.0,0.25,0.375,Euk+Bac,8,1,1.08219553004,5.55555555556,0.33333333333299997,False
A5HUM5,0.0,0.0,0.0,0.769230769231,0.0,0.0,0.23076923076900002,Eukaryota,13,0,0.5402041423889999,3.23076923077,1.82142857143,False
A5HUM6,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.555555555556,Vertebrata,9,1,0.6869615765970001,4.24444444444,4.11904761905,False
A5HUM7,0.0,0.0,0.0,0.0,0.0,0.25,0.75,Vertebrata,12,1,0.562335144619,2.71794871795,0.714285714286,False
A5JNH0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,9,0,-0.0,0.0,0.0,False
A5Y5L6,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.555555555556,Vertebrata,9,4,0.6869615765970001,1.94871794872,1.40079365079,False
A5Y5L7,0.0,0.0,0.0,0.0,0.0,0.45454545454499995,0.545454545455,Vertebrata,11,0,0.689009238477,1.85454545455,-0.266666666667,False
A5YM36,0.0,0.0,0.0,0.6,0.0,0.0,0.4,Eukaryota,10,2,0.6730116670090001,4.33333333333,1.46666666667,False
A5YMQ0,0.0,0.0,0.0,0.0,0.111111111111,0.33333333333299997,0.555555555556,Vertebrata,9,4,0.9368883075390001,2.02564102564,1.1825396825399999,False
A6BLM7,0.0,0.0,0.0,0.6,0.0,0.2,0.2,Eukaryota,5,0,0.950270539233,5.6,-2.33333333333,False
A6BM71,0.0,0.0,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,Eumetazoa,7,0,0.410116318288,1.33333333333,0.19444444444400003,False
A6BM73,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,Eumetazoa,6,1,0.45056120886600004,3.61904761905,1.6666666666699999,False
A6H910,0.0,0.777777777778,0.0,0.0,0.0,0.0,0.222222222222,Euk_Archaea,9,0,0.529706199058,4.5,2.8125,False
A6N7Y9,0.0,0.0,0.0,0.916666666667,0.0,0.08333333333330001,0.0,Eukaryota,12,1,0.286835983056,1.07692307692,0.0912698412698,False
A6N8N6,0.0,0.0,0.0,0.0,0.0,0.4,0.6,Vertebrata,10,1,0.6730116670090001,2.69090909091,1.34,False
A6N8N7,0.0,0.0,0.0,0.0,0.111111111111,0.33333333333299997,0.555555555556,Vertebrata,9,4,0.9368883075390001,2.15384615385,1.2658730158700002,False
A6N9E0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,5,1,-0.0,2.13333333333,-0.33333333333299997,False
A6NAB8,0.0,0.0,0.545454545455,0.0909090909091,0.0909090909091,0.0909090909091,0.181818181818,Euk+Bac,11,0,1.29454516584,5.05454545455,0.906666666667,True
A6PZH9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,8,4,-0.0,0.333333333333,0.0,False
A6YIJ2,0.0,0.0,0.0,0.0,0.111111111111,0.444444444444,0.444444444444,Eumetazoa,9,3,0.9649629230069999,2.19696969697,1.1555555555600001,False
A6YJX2,0.0,0.0,0.0,0.0,0.0,0.3,0.7,Vertebrata,10,1,0.610864302055,2.47272727273,1.16,False
A6YJX3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,Vertebrata,10,1,0.610864302055,3.34545454545,1.51333333333,False
A7DY55,0.0,0.0,0.0,0.0,0.1,0.2,0.7,Vertebrata,10,0,0.8018185525429999,3.13333333333,0.785714285714,False
A7E3K3,0.0,0.0,0.125,0.75,0.0,0.0,0.125,Eukaryota,8,2,0.7356219397589999,2.53333333333,1.8571428571400002,False
A7E3K8,0.0,0.0,0.0,0.7,0.0,0.3,0.0,Eukaryota,10,3,0.610864302055,3.23076923077,2.4404761904799996,False
A7E3L2,0.0,0.0,0.1,0.6,0.0,0.3,0.0,Eukaryota,10,3,0.897945724857,2.92307692308,0.166666666667,False
A7E3L6,0.0,0.0,0.0909090909091,0.545454545455,0.181818181818,0.181818181818,0.0,Eukaryota,11,1,1.16851840574,3.01515151515,1.8,False
A7E3M7,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Opisthokonta,4,5,0.6931471805600001,3.05555555556,0.444444444444,False
A7E3N3,0.0,0.0,0.0,0.46153846153800004,0.153846153846,0.38461538461499994,0.0,Eukaryota,13,0,1.0123308390999999,2.53846153846,-0.392857142857,False
A7E3N8,0.0,0.0,0.0,0.5714285714289999,0.0,0.0,0.428571428571,Eukaryota,7,6,0.6829081047,4.38461538462,2.05555555556,False
A7LAP2,0.0,0.0,0.0,0.0,0.0,0.875,0.125,Eumetazoa,8,1,0.37677016125600005,1.94444444444,0.2375,False
A7M6V5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,8,0,-0.0,0.0,0.0,False
A7M7B7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,1,0,-0.0,None,,False
A7M7B8,0.0,0.0,0.0,0.125,0.375,0.5,0.0,Eumetazoa,8,0,0.9743147528689999,1.92857142857,-0.420512820513,False
A7M7C5,0.428571428571,0.0,0.428571428571,0.0,0.0,0.0,0.14285714285700002,Cellular_organisms,7,5,1.0042424730500001,6.71212121212,7.233333333330001,False
A7M7C6,0.444444444444,0.0,0.444444444444,0.0,0.0,0.111111111111,0.0,Cellular_organisms,9,2,0.9649629230069999,4.8,3.52,True
A7UEA8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,11,0,-0.0,0.0,0.0,False
A7UEB1,0.0,0.0,0.0,0.0,0.0,0.3,0.7,Vertebrata,10,0,0.610864302055,1.6,1.92857142857,False
A7UH64,0.0,0.0,0.0,0.0,0.0,0.45454545454499995,0.545454545455,Vertebrata,11,1,0.689009238477,1.87878787879,-0.10691244239600001,False
A7VJA9,0.0,0.0,0.0,0.0,0.2,0.5,0.3,Eumetazoa,10,1,1.02965301406,2.65454545455,1.49333333333,False
A7VMS0,0.5,0.0,0.4,0.0,0.0,0.0,0.1,Cellular_organisms,10,3,0.9433483923289999,3.48717948718,1.47222222222,True
A7VMS1,0.666666666667,0.0,0.222222222222,0.0,0.0,0.111111111111,0.0,Cellular_organisms,9,4,0.848685557726,3.5641025641,0.119047619048,True
A7XMT6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,1,1,-0.0,0.0,,False
A7XMT9,0.0,0.0,0.0,0.0909090909091,0.0,0.8181818181820001,0.0909090909091,Eumetazoa,11,0,0.60016607316,2.0,-0.07333333333330001,False
A7XMU6,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Opisthokonta,6,2,0.6931471805600001,2.57142857143,2.16666666667,False
A7XMU9,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Opisthokonta,2,1,0.6931471805600001,2.66666666667,-0.5,False
A7XMV1,0.0,0.0,0.0,0.28571428571400004,0.0,0.0,0.714285714286,Vertebrata,7,0,0.598269588585,4.28571428571,-1.30909090909,False
A7XMV7,0.0,0.0,0.0,0.33333333333299997,0.33333333333299997,0.0,0.33333333333299997,Opisthokonta,9,0,1.09861228867,4.38888888889,0.475,False
A7XYH5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,Eumetazoa,12,1,0.562335144619,2.61538461538,0.00793650793651,False
A7Y7W2,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Vertebrata,12,1,0.45056120886600004,2.4358974359,0.0873015873016,False
A7Y7W3,0.0,0.0,0.0,0.0,0.1,0.2,0.7,Vertebrata,10,1,0.8018185525429999,3.56363636364,1.6164021163999998,False
A7Z095,0.0,0.0,0.0,0.0,0.0,0.714285714286,0.28571428571400004,Eumetazoa,7,6,0.598269588585,2.4358974359,2.0992063492099997,False
A8C754,0.0,0.0,0.0,0.916666666667,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.286835983056,1.76923076923,0.293650793651,False
A8CWP8,0.0,0.0,0.0,0.0,0.1,0.7,0.2,Eumetazoa,10,3,0.8018185525429999,2.12820512821,1.16666666667,False
A8DC32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Eumetazoa,8,1,-0.0,0.666666666667,1.36363636364,False
A8DU71,0.0,0.0,0.0,0.0,0.0,0.428571428571,0.5714285714289999,Vertebrata,7,6,0.6829081047,1.46153846154,0.23809523809500002,False
A8I1C6,0.0,0.0,0.0,0.0,0.375,0.5,0.125,Eumetazoa,8,0,0.9743147528689999,2.25,-0.4375,False
A8I1D0,0.0,0.0,0.0,0.111111111111,0.33333333333299997,0.33333333333299997,0.222222222222,Opisthokonta,9,0,1.3107836781,3.38888888889,1.33333333333,False
A8JYG6,0.0,0.0,0.0,0.0,0.0,0.3,0.7,Vertebrata,10,1,0.610864302055,1.34545454545,0.19333333333299998,False
A8QJ84,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Eumetazoa,10,0,0.6931471805600001,2.46666666667,1.5,False
A8TG80,0.0,0.0,0.0,0.28571428571400004,0.0,0.14285714285700002,0.5714285714289999,Vertebrata,7,1,0.955699891113,4.32142857143,1.6666666666699999,False
A8TG88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,5,0,-0.0,0.0,0.0,False
A8VIF4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eukaryota,11,2,-0.0,0.923076923077,0.0634920634921,False
A8WEN5,0.0,0.0,0.0,0.545454545455,0.0,0.272727272727,0.181818181818,Eukaryota,11,2,0.994923632572,3.61538461538,3.5158730158699996,False
A9CDT5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,5,0,-0.0,0.0,0.0,False
A9CDT7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,1,1,-0.0,0.0,,False
A9CP13,0.0,0.0,0.7272727272730001,0.272727272727,0.0,0.0,0.0,Euk+Bac,11,0,0.585952618304,1.49090909091,-0.273333333333,True
A9DA44,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Eumetazoa,10,1,0.6931471805600001,2.4,1.32,False
A9DA55,0.0,0.0,0.0,0.0,0.0,0.08333333333330001,0.916666666667,Vertebrata,12,1,0.286835983056,1.28205128205,0.111111111111,False
A9NJ59,0.0,0.0,0.0,0.0,0.125,0.25,0.625,Vertebrata,8,1,0.900256051269,2.88888888889,-0.222222222222,False
A9NJ60,0.0,0.0,0.0,0.0,0.0,0.25,0.75,Vertebrata,4,2,0.562335144619,2.8,,False
A9UFQ6,0.0,0.0,0.846153846154,0.0769230769231,0.0,0.0,0.0769230769231,Euk+Bac,13,0,0.5359610497089999,2.38461538462,0.611111111111,True
A9UGZ3,0.0,0.0,0.0,0.0,0.0,0.6,0.4,Eumetazoa,5,8,0.6730116670090001,2.33333333333,1.08333333333,False
A9X890,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,2,1,-0.0,0.0,0.0,False
A9XRG9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vertebrata,13,0,-0.0,0.384615384615,-0.00793650793651,False
A9YDV3,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Vertebrata,12,1,0.45056120886600004,1.4358974359,0.293650793651,False
A9YZQ5,0.0,0.0,0.0,0.0,0.125,0.75,0.125,Eumetazoa,8,0,0.7356219397589999,2.28571428571,0.820512820513,False
A9YZQ6,0.0,0.0,0.0,0.0,0.2,0.8,0.0,Eumetazoa,5,6,0.500402423538,1.89090909091,1.24074074074,False
