,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
C3XPD5,0.0,0.0,0.0,0.307692307692,0.46153846153800004,0.23076923076900002,Opisthokonta,13,0,1.0579054247,1.69230769231,0.0992063492063,False
C3XPD7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,4,0,-0.0,1.0,,False
C3XPD8,0.0,0.0,0.166666666667,0.5,0.0,0.33333333333299997,Eukaryota,6,1,1.0114042647100001,3.33333333333,0.7,False
C3XPD9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,1,-0.0,3.33333333333,-1.33333333333,False
C3XPE0,0.0,0.0,0.0,0.75,0.0,0.25,Eukaryota,4,0,0.562335144619,2.0,,False
C3XPE1,0.111111111111,0.222222222222,0.444444444444,0.111111111111,0.111111111111,0.0,Euk+Bac,9,0,1.42706104338,1.94444444444,1.2597402597399998,False
C3XPE2,0.0,0.08333333333330001,0.0,0.916666666667,0.0,0.0,Eukaryota,12,1,0.286835983056,0.717948717949,-0.00793650793651,False
C3XPE3,0.0,0.444444444444,0.0,0.111111111111,0.111111111111,0.33333333333299997,Euk_Archaea,9,0,1.21488965395,3.22222222222,1.55555555556,False
C3XPE4,0.0,0.0,0.416666666667,0.25,0.0,0.33333333333299997,Euk+Bac,12,0,1.07755632707,4.04545454545,2.03225806452,False
C3XPE5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,0,-0.0,0.0,0.0,False
C3XPE6,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,2,1,-0.0,4.0,6.0,False
C3XPE8,0.0,0.0,0.416666666667,0.25,0.08333333333330001,0.25,Euk+Bac,12,0,1.26500137527,4.22727272727,-0.058064516129,True
C3XPE9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,0,-0.0,None,,False
C3XPF2,0.0,0.0,0.0,0.0,0.6,0.4,Opisthokonta,5,0,0.6730116670090001,1.4,,False
C3XPF3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,1,-0.0,1.2,0.0,False
C3XPF5,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Eumetazoa,6,0,0.45056120886600004,1.46666666667,0.2,False
C3XPF7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,5.0,,False
C3XPF9,0.0,0.0,0.0,0.38461538461499994,0.307692307692,0.307692307692,Eukaryota,13,0,1.0928305535299998,2.28205128205,0.730158730159,False
C3XPG0,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,Eukaryota,13,0,0.271189373042,0.897435897436,0.0674603174603,False
C3XPG1,0.0,0.0,0.0,0.692307692308,0.0,0.307692307692,Eukaryota,13,0,0.61724176973,1.84615384615,-0.28571428571400004,False
C3XPG2,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
C3XPG3,0.0,0.0,0.0,0.2,0.0,0.8,Eumetazoa,5,0,0.500402423538,2.6,-0.166666666667,False
C3XPG6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,3,1,-0.0,1.0,-0.666666666667,False
C3XPG8,0.307692307692,0.0,0.38461538461499994,0.23076923076900002,0.0,0.0769230769231,Euk+Bac,13,0,1.2658567518700001,2.30769230769,-0.20238095238099998,True
C3XPG9,0.0,0.0,0.0,0.5,0.0,0.5,Eumetazoa,2,1,0.6931471805600001,2.66666666667,,False
C3XPH0,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,11,2,-0.0,0.948717948718,-0.14682539682499998,False
C3XPH1,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,13,0,-0.0,0.153846153846,0.0277777777778,False
C3XPH2,0.0,0.0,0.0,0.0,0.3,0.7,Eumetazoa,10,0,0.610864302055,1.02222222222,-0.047619047619,False
C3XPH3,0.0,0.0,0.0,0.8,0.0,0.2,Eukaryota,10,1,0.500402423538,2.58181818182,-0.25333333333299995,False
C3XPH4,0.307692307692,0.0,0.615384615385,0.0,0.0769230769231,0.0,Euk+Bac,13,0,0.8587409130060001,0.769230769231,0.138888888889,False
C3XPH5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,7,1,-0.0,1.5,-0.6461538461540001,False
C3XPH8,0.0,0.0,0.0,0.25,0.0,0.75,Eumetazoa,4,0,0.562335144619,2.5,-1.6666666666699999,False
C3XPH9,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,Eukaryota,6,1,0.636514168295,2.85714285714,2.66666666667,False
C3XPI0,0.0,0.0,0.0,0.75,0.0,0.25,Eukaryota,8,0,0.562335144619,1.85714285714,0.33333333333299997,False
C3XPI1,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,Eukaryota,13,0,0.271189373042,0.589743589744,0.011904761904799999,False
C3XPI2,0.23076923076900002,0.0,0.307692307692,0.38461538461499994,0.0,0.0769230769231,Eukaryota,13,0,1.2658567518700001,2.23076923077,0.119047619048,False
C3XPI3,0.0,0.0,0.0,0.28571428571400004,0.14285714285700002,0.5714285714289999,Eumetazoa,7,0,0.955699891113,3.14285714286,-0.463636363636,False
C3XPI4,0.0,0.0,0.0,0.125,0.0,0.875,Eumetazoa,8,1,0.37677016125600005,3.44444444444,-0.33333333333299997,False
C3XPI5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,6.0,,False
C3XPI7,0.0,0.0,0.0,0.166666666667,0.0,0.833333333333,Eumetazoa,6,0,0.45056120886600004,2.53333333333,-0.07142857142860001,False
C3XPI8,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,4,1,-0.0,3.2,-0.75,False
C3XPI9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,11,2,-0.0,0.307692307692,0.0555555555556,False
C3XPJ0,0.0,0.0,0.0,0.846153846154,0.0769230769231,0.0769230769231,Eukaryota,13,0,0.5359610497089999,1.28205128205,-0.198412698413,False
C3XPJ1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,3.0,,False
C3XPJ2,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Eumetazoa,3,1,0.636514168295,1.33333333333,,False
C3XPJ3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,6,0,-0.0,0.533333333333,0.33333333333299997,False
C3XPJ4,0.0,0.0,0.0,0.0,0.5,0.5,Opisthokonta,4,0,0.6931471805600001,1.66666666667,,False
C3XPJ5,0.0,0.0,0.545454545455,0.0,0.0,0.45454545454499995,Euk+Bac,11,0,0.689009238477,4.54545454545,1.1441798941799999,True
C3XPJ6,0.0,0.0,0.0909090909091,0.636363636364,0.272727272727,0.0,Eukaryota,11,1,0.859967281036,2.36363636364,0.666666666667,False
C3XPJ7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,8,0,-0.0,0.785714285714,0.375,False
C3XPJ8,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,10,0,-0.0,0.711111111111,-0.0952380952381,False
C3XPJ9,0.0,0.0,0.0,0.111111111111,0.111111111111,0.777777777778,Eumetazoa,9,1,0.6837389058490001,3.15555555556,-0.5595238095239999,False
C3XPK0,0.14285714285700002,0.14285714285700002,0.0,0.5714285714289999,0.0,0.14285714285700002,Eukaryota,7,0,1.1537419427,2.38095238095,0.166666666667,False
C3XPK3,0.0,0.0,0.33333333333299997,0.583333333333,0.08333333333330001,0.0,Eukaryota,12,1,0.887694275799,1.61538461538,-0.0436507936508,False
C3XPK5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,6,0,-0.0,0.333333333333,-0.17857142857099997,False
C3XPK6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,1,-0.0,3.0,2.1428571428599996,False
C3XPK7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,0,-0.0,None,,False
C3XPK8,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,2,1,-0.0,0.0,,False
C3XPK9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,0,-0.0,0.0,0.0,False
C3XPL0,0.0,0.0,0.0,0.0,0.2,0.8,Eumetazoa,5,0,0.500402423538,1.2,1.75,False
C3XPL1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,4,1,-0.0,1.6,-0.666666666667,False
C3XPL2,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,0.0,,False
C3XPL3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,2,1,-0.0,1.33333333333,,False
C3XPL4,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,1,2,-0.0,1.33333333333,,False
C3XPL5,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,1,1,-0.0,1.0,,False
C3XPL7,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,2,1,-0.0,0.666666666667,-0.5,False
C3XPL9,0.0,0.0,0.0,0.833333333333,0.166666666667,0.0,Eukaryota,12,1,0.45056120886600004,1.30769230769,0.261904761905,False
C3XPM0,0.0,0.0,0.0,0.0,0.1,0.9,Eumetazoa,10,0,0.325082973391,1.46666666667,0.428571428571,False
C3XPM1,0.0,0.0,0.0,0.0,0.6,0.4,Opisthokonta,10,0,0.6730116670090001,1.55555555556,2.08333333333,False
C3XPM2,0.0,0.0,0.0,0.181818181818,0.545454545455,0.272727272727,Opisthokonta,11,1,0.994923632572,1.87878787879,0.13640552995400002,False
C3XPM3,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Eumetazoa,6,0,0.45056120886600004,1.33333333333,,False
C3XPM4,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,2,-0.0,6.0,9.0,False
C3XPM5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,4.0,,False
C3XPM6,0.0,0.0,0.0,0.75,0.125,0.125,Eukaryota,8,0,0.7356219397589999,2.39285714286,0.733333333333,False
C3XPM7,0.0,0.0,0.0,0.222222222222,0.111111111111,0.666666666667,Eumetazoa,9,1,0.848685557726,3.46666666667,3.9,False
C3XPM8,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,Eukaryota,6,0,0.636514168295,1.66666666667,,False
C3XPM9,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,9,0,-0.0,0.5,0.0,False
C3XPN0,0.0,0.0,0.0,0.0,0.25,0.75,Eumetazoa,4,0,0.562335144619,0.5,,False
C3XPN1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,0,-0.0,None,,False
C3XPN2,0.0,0.0,0.0,0.923076923077,0.0769230769231,0.0,Eukaryota,13,0,0.271189373042,0.692307692308,0.047619047619,False
C3XPN3,0.0,0.0,0.0,0.75,0.08333333333330001,0.166666666667,Eukaryota,12,1,0.7214636866930001,2.02564102564,0.20238095238099998,False
C3XPN4,0.0,0.0,0.0,0.38461538461499994,0.23076923076900002,0.38461538461499994,Eumetazoa,13,0,1.07339428128,2.58974358974,-0.19444444444400003,False
C3XPN6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,0.0,,False
C3XPN7,0.4,0.0,0.4,0.2,0.0,0.0,Cellular_organisms,5,0,1.05492016799,1.2,,False
C3XPN8,0.0,0.0,0.0,0.111111111111,0.111111111111,0.777777777778,Eumetazoa,9,1,0.6837389058490001,3.2,-0.25,False
C3XPN9,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Eumetazoa,3,1,0.636514168295,1.5,,False
C3XPP0,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,1,2,-0.0,0.666666666667,,False
C3XPP1,0.0,0.0,0.0,0.0,0.75,0.25,Opisthokonta,4,0,0.562335144619,0.5,,False
C3XPP2,0.0,0.0,0.0,0.3,0.1,0.6,Eumetazoa,10,0,0.897945724857,2.44444444444,0.119047619048,False
C3XPP3,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,Eukaryota,12,1,0.286835983056,0.846153846154,-0.130952380952,False
C3XPP4,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,0.0,,False
C3XPP5,0.0,0.0,0.2,0.3,0.4,0.1,Opisthokonta,10,1,1.2798542258299999,3.12727272727,0.233333333333,False
C3XPP6,0.0,0.0,0.0,0.833333333333,0.0,0.166666666667,Eukaryota,6,1,0.45056120886600004,2.85714285714,-0.638888888889,False
C3XPP7,0.0,0.0,0.0,0.0,0.125,0.875,Eumetazoa,8,1,0.37677016125600005,1.83333333333,-0.666666666667,False
C3XPP8,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,Eukaryota,12,1,0.286835983056,1.30769230769,0.00396825396825,False
C3XPP9,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
C3XPQ0,0.0,0.0,0.33333333333299997,0.0,0.0,0.666666666667,Eumetazoa,3,1,0.636514168295,4.66666666667,0.0,False
C3XPQ1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,2.0,,False
C3XPQ2,0.0,0.0,0.0,0.46153846153800004,0.0769230769231,0.46153846153800004,Eumetazoa,13,0,0.911017539713,3.20512820513,0.8968253968250001,False
C3XPQ3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,0.0,,False
C3XPQ7,0.46153846153800004,0.0,0.307692307692,0.0769230769231,0.0,0.153846153846,Cellular_organisms,13,0,1.2047933096899999,2.69230769231,-0.107142857143,True
C3XPQ8,0.4,0.0,0.4,0.0,0.0,0.2,Cellular_organisms,5,0,1.05492016799,3.2,,False
C3XPQ9,0.0,0.0,0.0,0.307692307692,0.46153846153800004,0.23076923076900002,Opisthokonta,13,0,1.0579054247,2.25641025641,-0.246031746032,False
C3XPR0,0.0,0.0,0.0,0.153846153846,0.0,0.846153846154,Eumetazoa,13,0,0.42932302193099997,1.79487179487,-0.22619047619000002,False
C3XPR1,0.0,0.0,0.0,0.0,0.2,0.8,Eumetazoa,5,1,0.500402423538,2.66666666667,0.0,False
C3XPR2,0.0,0.0,0.0,0.615384615385,0.0769230769231,0.307692307692,Eukaryota,13,0,0.8587409130060001,2.48717948718,-0.0238095238095,False
C3XPR3,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,7,0,-0.0,0.0,0.0,False
C3XPR4,0.0,0.0,0.0,0.615384615385,0.307692307692,0.0769230769231,Eukaryota,13,0,0.8587409130060001,1.48717948718,0.0277777777778,False
C3XPR5,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,13,0,-0.0,0.0,0.0,False
C3XPR6,0.0,0.0,0.0,0.08333333333330001,0.583333333333,0.33333333333299997,Opisthokonta,12,0,0.887694275799,1.28787878788,0.1,False
C3XPR7,0.28571428571400004,0.0,0.28571428571400004,0.14285714285700002,0.14285714285700002,0.14285714285700002,Cellular_organisms,7,0,1.54982604588,3.71428571429,-0.533333333333,False
C3XPR8,0.23076923076900002,0.0,0.769230769231,0.0,0.0,0.0,Euk+Bac,13,0,0.5402041423889999,0.0,0.0,True
C3XPR9,0.0,0.0,0.0,0.0,0.555555555556,0.444444444444,Opisthokonta,9,0,0.6869615765970001,1.0,0.3375,False
C3XPS0,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,5,0,-0.0,0.4,0.25,False
C3XPS1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,4,0,-0.0,1.0,-0.666666666667,False
C3XPS2,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,13,0,-0.0,0.153846153846,-0.0238095238095,False
C3XPS4,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,6,0,-0.0,0.666666666667,-0.357142857143,False
C3XPS5,0.0,0.0909090909091,0.0,0.909090909091,0.0,0.0,Eukaryota,11,2,0.304636097349,0.435897435897,-0.015873015873,False
C3XPS7,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,Eumetazoa,3,1,0.636514168295,4.0,3.0,False
C3XPS8,0.0,0.0,0.0,0.28571428571400004,0.14285714285700002,0.5714285714289999,Eumetazoa,7,0,0.955699891113,2.38095238095,2.6111111111099996,False
C3XPS9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,11,1,-0.0,2.10606060606,0.0783410138249,False
C3XPT1,0.0,0.25,0.0,0.5,0.0,0.25,Eukaryota,4,1,1.0397207708399998,3.4,,False
C3XPT4,0.0,0.0,0.0,0.181818181818,0.0909090909091,0.7272727272730001,Eumetazoa,11,1,0.7595473914749999,2.40909090909,-0.044444444444399996,False
C3XPT5,0.0,0.0,0.0,0.111111111111,0.0,0.888888888889,Eumetazoa,9,0,0.34883209584299996,1.72222222222,-0.222222222222,False
C3XPT6,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,Eumetazoa,6,1,0.636514168295,2.85714285714,-0.872727272727,False
C3XPT7,0.0,0.0,0.25,0.5,0.0,0.25,Eukaryota,8,0,1.0397207708399998,3.25,0.4375,False
C3XPT8,0.0,0.0,0.0,0.777777777778,0.111111111111,0.111111111111,Eukaryota,9,0,0.6837389058490001,1.77777777778,2.1111111111099996,False
C3XPT9,0.0,0.0,0.0,0.33333333333299997,0.0,0.666666666667,Eumetazoa,6,0,0.636514168295,3.33333333333,1.42857142857,False
C3XPU0,0.307692307692,0.0,0.23076923076900002,0.307692307692,0.0769230769231,0.0769230769231,Cellular_organisms,13,0,1.45831922246,3.02564102564,0.253968253968,False
C3XPU1,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,12,1,-0.0,0.512820512821,0.230158730159,False
C3XPU2,0.0,0.0,0.0,0.0,0.75,0.25,Opisthokonta,12,1,0.562335144619,1.02564102564,0.305555555556,False
C3XPU3,0.0,0.0,0.0,0.166666666667,0.0,0.833333333333,Eumetazoa,12,1,0.45056120886600004,2.02564102564,0.253968253968,False
C3XPU5,0.0,0.0,0.0,0.8571428571430001,0.0,0.14285714285700002,Eukaryota,7,0,0.410116318288,1.61904761905,-0.609090909091,False
C3XPU6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,2,-0.0,0.0,,False
C3XPU7,0.0,0.0,0.0,0.5,0.0,0.5,Eumetazoa,2,1,0.6931471805600001,4.66666666667,-3.5,False
C3XPU8,0.0,0.0,0.0,0.25,0.0,0.75,Eumetazoa,4,1,0.562335144619,3.6,-0.583333333333,False
C3XPU9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,2,0,-0.0,0.0,,False
C3XPV0,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,8,0,-0.0,0.428571428571,-0.166666666667,False
C3XPV1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,10,0,-0.0,0.533333333333,-0.07142857142860001,False
C3XPV2,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,10,0,-0.0,1.06666666667,1.2142857142899999,False
C3XPV3,0.0,0.0,0.0,0.14285714285700002,0.0,0.8571428571430001,Eumetazoa,7,0,0.410116318288,1.71428571429,1.33333333333,False
C3XPV4,0.0,0.0,0.0,0.125,0.0,0.875,Eumetazoa,8,0,0.37677016125600005,2.10714285714,0.104166666667,False
C3XPV5,0.0,0.0,0.0,0.14285714285700002,0.0,0.8571428571430001,Eumetazoa,7,0,0.410116318288,1.90476190476,0.754545454545,False
C3XPV7,0.0,0.0,0.0,0.625,0.0,0.375,Eukaryota,8,1,0.661563238158,3.44444444444,0.555555555556,False
C3XPV8,0.0,0.0,0.0,0.111111111111,0.444444444444,0.444444444444,Opisthokonta,9,1,0.9649629230069999,2.88888888889,0.119047619048,False
C3XPW0,0.0,0.0,0.0,0.0,0.33333333333299997,0.666666666667,Eumetazoa,3,1,0.636514168295,3.16666666667,1.0,False
C3XPW1,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,1,1,-0.0,2.0,,False
C3XPW2,0.583333333333,0.0,0.416666666667,0.0,0.0,0.0,Cellular_organisms,12,0,0.6791932659919999,0.0,0.0,True
C3XPW3,0.0,0.0,0.25,0.75,0.0,0.0,Eukaryota,12,0,0.562335144619,1.34848484848,0.577777777778,False
C3XPW4,0.0,0.0,0.0,0.45454545454499995,0.0,0.545454545455,Eumetazoa,11,1,0.689009238477,3.51515151515,0.302304147465,False
C3XPW5,0.0,0.0,0.0,0.0,0.5,0.5,Opisthokonta,4,1,0.6931471805600001,3.4,,False
C3XPW6,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,11,1,-0.0,0.939393939394,-0.17511520737300001,False
C3XPW7,0.0,0.0,0.0,0.0,0.28571428571400004,0.714285714286,Eumetazoa,7,0,0.598269588585,1.33333333333,-0.233333333333,False
C3XPW8,0.0,0.0,0.0,0.2,0.0,0.8,Eumetazoa,5,1,0.500402423538,1.93333333333,,False
C3XPW9,0.0,0.0,0.0,0.111111111111,0.111111111111,0.777777777778,Eumetazoa,9,0,0.6837389058490001,1.61111111111,-0.555555555556,False
C3XPX0,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,2,1,-0.0,2.0,,False
C3XPX2,0.0,0.0,0.0,0.38461538461499994,0.0769230769231,0.538461538462,Eumetazoa,13,0,0.898137003188,2.71794871795,1.95238095238,False
C3XPX3,0.307692307692,0.0,0.615384615385,0.0769230769231,0.0,0.0,Euk+Bac,13,0,0.8587409130060001,0.461538461538,0.08333333333330001,True
C3XPX5,0.0,0.0,0.0,0.0,1.0,0.0,Opisthokonta,3,0,-0.0,0.0,0.0,False
C3XPX7,0.0,0.0,0.0,0.111111111111,0.111111111111,0.777777777778,Eumetazoa,9,0,0.6837389058490001,2.0,0.0,False
C3XPX8,0.0,0.0,0.0,1.0,0.0,0.0,Eukaryota,13,0,-0.0,0.282051282051,-0.0436507936508,False
C3XPX9,0.0,0.0,0.0,0.0,0.0,1.0,Eumetazoa,13,0,-0.0,0.0,0.0,False
C3XPY0,0.0,0.0,0.0,0.375,0.125,0.5,Eumetazoa,8,1,0.9743147528689999,3.72222222222,1.4125,False
C3XPY1,0.0,0.0,0.222222222222,0.444444444444,0.0,0.33333333333299997,Eukaryota,9,0,1.06085694716,3.77777777778,-0.33333333333299997,False
C3XPY2,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,0.0,Eukaryota,7,0,0.410116318288,1.14285714286,-0.654545454545,False
C3XPY8,0.0,0.0,0.0,0.5,0.0,0.5,Eumetazoa,2,1,0.6931471805600001,4.66666666667,-2.0,False
C3XPY9,0.0,0.0,0.0,0.0909090909091,0.0,0.909090909091,Eumetazoa,11,0,0.304636097349,1.34545454545,-0.173333333333,False
C3XPZ1,0.0,0.0,0.33333333333299997,0.0,0.33333333333299997,0.33333333333299997,Opisthokonta,3,1,1.09861228867,5.33333333333,-1.33333333333,False
C3XPZ2,0.0,0.0,0.666666666667,0.166666666667,0.0,0.166666666667,Euk+Bac,12,1,0.8675632284810001,2.66666666667,-0.412698412698,False
C3XPZ3,0.46153846153800004,0.0,0.46153846153800004,0.0769230769231,0.0,0.0,Cellular_organisms,13,0,0.911017539713,0.307692307692,0.0555555555556,False
