,OMA_Groups,PANTHER8_LDO,InParanoidCore,Orthoinspector,RSD,Hieranoid_2,OMA_Pairs,EnsemblCompara_v2,Metaphors,InParanoid,EggNOG,PANTHER8_all
A1KZ92,,True,True,,True,True,True,,,True,,
A1L020,False,True,False,False,False,False,False,,,False,True,
A1L157,True,,True,,True,,False,,,False,False,
A1L167,True,,False,,,False,False,,False,False,True,
A1L390,False,True,True,True,True,,True,,,True,True,True
A1L3X0,,,False,,,,,,,False,,
A1L3X4,,True,,,True,False,,,True,False,,
A1L429,,True,,,,,,True,True,,,True
A1L443,False,,,,True,,,,,,,False
A1L453,True,True,True,True,True,,True,,,False,,True
A1L4H1,False,True,False,False,False,,,,,False,,
A1L4L8,False,False,False,False,True,,True,False,,True,False,
A1X283,True,True,True,,,True,True,False,True,True,True,
A1YPR0,True,True,True,True,True,,True,,,,True,
A1Z1Q3,False,True,,,,True,True,,,True,,
A2A288,False,True,,,True,,False,,,False,,
A2A2Y4,True,True,True,True,True,True,True,True,True,True,True,
A2A368,False,True,False,False,True,False,True,True,,False,False,
A2A3L6,True,True,True,True,True,True,True,True,,True,True,
A2A3N6,True,,True,,True,True,True,True,,True,,
A2AB90,,,,,True,,,,,,,
A2ABS4,True,,True,True,,,True,,,True,,
A2AJT9,True,True,True,,,True,False,,,True,,
A2BFH1,False,,,,,,True,,,,False,
A2CJ06,False,False,False,True,False,True,False,,False,False,False,
A2IDD5,True,,True,True,True,True,True,,,True,,
A2PYH4,True,,,,,True,True,,,,,
A2RRD8,False,True,False,True,False,,False,False,True,False,,True
A2RRH5,False,,True,True,True,True,True,True,,True,True,
A2RTX5,,True,False,,,False,True,,,False,,
A2RU30,False,False,,False,,False,False,,,False,,
A2RU49,True,True,True,True,True,True,True,True,,,True,True
A2RU54,False,True,True,False,True,True,False,False,,False,False,
A2RU67,False,False,False,False,,False,,False,False,False,False,False
A2RUC4,False,True,True,,,True,False,,,True,,
A2RUH7,False,True,False,True,True,,True,True,,False,,
A2RUS2,True,,True,True,,True,True,True,True,True,True,
A2RUU4,True,False,False,False,True,True,True,True,,True,,
A2VCK2,False,True,True,True,False,False,False,True,False,True,True,False
A2VDJ0,False,False,False,True,False,True,False,,False,False,False,
A3KFT3,True,True,False,False,True,,True,False,,False,,True
A3KN83,False,,,,,,False,,,False,False,
A4D0S4,False,True,,True,True,True,True,,,False,False,True
A4D1E1,,,False,,,,,,,,,
A4D1E9,False,False,False,,,False,False,,,False,,
A4D1F6,True,False,,,,,True,,,,,
A4D1S0,True,True,True,True,True,True,True,True,,True,,True
A4D1S5,True,True,True,,True,True,True,,,True,True,
A4D1T9,True,True,True,True,True,True,True,,,False,,
A4D1Z8,,,True,,,,,,,,,
A4D226,False,,False,True,False,False,False,,False,False,False,
A4D256,True,,True,,True,,False,,,,,
A4D2B8,False,,True,True,True,False,False,,,True,True,
A4D2G3,True,True,True,,,,,,,True,,
A4FU28,False,False,,False,True,False,True,True,True,,False,False
A4FU49,False,True,True,True,True,True,True,True,True,True,,True
A4IF30,False,False,False,False,,,False,,,False,False,
A4QPB2,False,False,False,False,True,,True,False,True,False,,
A4QPH2,True,,True,,,True,True,,,True,,
A5D6W6,False,True,True,True,True,,False,False,,False,False,
A5D8V6,True,False,True,True,,False,False,,,False,False,
A5D8V7,True,,True,True,True,,,,True,,True,
A5D8X1,True,,,,,,,True,True,,,
A5LHX3,False,True,False,,True,True,False,,False,False,False,
A5PKW4,True,True,True,,,,False,,,False,,
A5PLN7,False,True,False,,,True,False,,False,,,
A5X5Y0,False,False,True,True,True,True,True,,,False,True,
A6BM72,False,True,True,True,,,,,,True,True,
A6H8Y1,True,,True,,,True,,,,True,,
A6NC51,False,False,False,False,False,,False,False,False,False,False,False
A6NC86,False,False,False,False,False,False,False,False,False,False,,False
A6NC97,False,True,False,False,,,False,,,False,,
A6NC98,True,True,True,True,True,,True,True,True,True,True,True
A6NCE7,False,False,,False,,False,,,,,False,
A6NCF5,False,False,False,False,,,False,,,False,False,
A6NCF6,False,True,False,False,True,False,True,True,,False,False,
A6NCK2,False,False,,False,True,,False,True,,,,
A6NCL7,True,True,True,True,True,True,True,True,,True,True,True
A6NCM1,,True,True,,True,,False,,,False,,
A6NCV1,False,False,True,True,True,,False,,,False,,
A6NCW0,True,,,,,True,True,,,,,
A6NCW7,True,,,,,True,,,,,,
A6ND01,True,True,False,,True,,,,,False,,
A6ND48,True,True,False,True,True,,True,,,False,,
A6NDA9,True,True,True,True,True,True,True,True,True,True,True,
A6NDE4,True,True,,True,,,,,,,,
A6NDE8,,,,,,,,True,True,,,True
A6NDG6,,,,,,,,,,False,,
A6NDH6,True,,False,True,True,,True,True,True,False,,
A6NDI0,True,True,True,True,True,,True,False,True,True,,
A6NDN8,,True,,True,,,,,,,True,True
A6NDV4,False,True,,,,False,False,False,,False,False,
A6NDX5,False,True,True,True,True,,True,True,,True,,
A6NDY0,True,True,True,,,,,,,False,,
A6NDY2,,True,,,,,,,,,,True
A6NDZ8,False,,,True,True,True,,,,,,
A6NE02,True,True,True,True,True,False,True,True,True,True,True,True
A6NE21,,,,,,,,,,,,True
A6NE82,False,,,True,True,True,,,,,,
A6NEC2,True,,True,,,True,,,True,True,,
A6NEC3,False,,,True,False,False,False,True,True,,,
A6NEJ1,,,,,True,True,,,,,,
A6NEK1,False,False,False,False,True,,False,False,True,False,False,
A6NEN9,False,,False,False,,,False,False,,,False,
A6NEQ0,,,,True,,,,,,,,
A6NER3,,True,,,,,,True,True,,,True
A6NES4,False,True,True,True,True,True,False,,False,False,True,
A6NET4,True,True,False,True,True,,True,True,True,False,,
A6NEV1,True,,False,,,,,,,False,,
A6NF89,True,,True,True,True,,True,,,,,
A6NFA1,False,False,False,False,,False,False,False,,False,False,False
A6NFF2,False,,,,,,False,,,True,,
A6NFH5,True,True,True,,True,,False,,,False,,
A6NFI3,False,True,True,True,True,,True,True,,True,,True
A6NFK2,False,,False,True,True,True,False,True,,False,True,
A6NFQ2,False,,False,,,False,False,False,False,False,,
A6NFQ7,True,True,True,True,True,True,True,True,,True,,
A6NFR6,,,False,,,,,,False,False,,
A6NFU0,False,False,False,,,,False,,,,,False
A6NFU8,False,True,False,True,,,True,False,,False,,
A6NFX1,,,,,,,True,,,True,,
A6NFY4,False,False,True,,False,,,,,False,,
A6NFZ4,,,,,,,,,,False,,
A6NG13,False,False,True,True,False,True,True,,,False,,
A6NGC4,False,False,False,False,False,,False,False,,False,False,
A6NGE4,True,True,True,True,True,True,True,True,,True,True,True
A6NGH7,True,True,True,True,True,,,,,True,,
A6NGH8,False,True,False,False,False,False,False,True,True,False,,
A6NGJ6,False,,,False,True,,,True,,,,
A6NGK3,True,True,,True,True,True,False,True,True,,,True
A6NGN9,True,True,True,,True,,True,,,True,,
A6NGY5,True,True,True,True,True,,True,True,,True,,
A6NH00,True,True,False,True,True,,,True,True,False,,
A6NH21,False,True,False,True,True,,False,,,False,False,
A6NH52,False,,False,,True,,,,,False,,
A6NH57,True,True,False,True,True,True,True,,,True,,
A6NHA9,True,False,False,True,True,,False,True,,False,,
A6NHC0,False,True,True,,,,True,,,True,,
A6NHG4,False,True,False,True,True,True,,True,,True,False,
A6NHG9,True,True,False,True,True,,True,True,True,False,,
A6NHJ4,False,True,False,True,False,,False,False,True,False,,True
A6NHL2,False,False,False,,False,False,False,,,False,False,
A6NHM9,False,False,True,True,,,False,,,False,True,False
A6NHN0,True,True,False,True,True,,True,,,False,,
A6NHP3,,,,True,,,,,,,True,
A6NHQ2,,False,False,,,,True,,,False,,
A6NHR8,True,,True,,True,,True,,True,True,,
A6NHT5,False,,False,,,,False,,,False,,
A6NHX0,True,False,True,,,,False,,,False,,
A6NHZ5,True,False,False,False,,False,False,False,True,False,False,False
A6NI03,False,False,,False,True,,,True,,,,
A6NI28,False,True,True,True,,True,False,True,True,False,True,True
A6NI61,False,False,True,True,False,True,,,,False,True,
A6NI72,True,,True,True,,True,True,False,True,True,True,
A6NI73,True,True,True,True,True,,True,True,,True,,True
A6NI87,False,False,False,True,False,,True,,,True,,
A6NIE6,,,,True,True,,,,,,,
A6NIE9,True,True,True,True,True,,True,,,True,,
A6NIH7,,,,,,,True,,,True,,
A6NIJ5,,,,,,,,,,,,True
A6NIJ9,True,True,,True,True,,,,,,,
A6NIK2,True,False,True,True,True,True,True,,,True,True,
A6NIM6,True,False,False,True,True,True,True,,,False,False,
A6NIV6,True,,True,,,,,,True,True,True,
A6NIY4,False,True,,True,True,,,,True,,True,True
A6NIZ1,True,,,,,True,,True,,,True,
A6NJ08,False,,,True,True,True,,,,,,
A6NJ16,True,False,False,True,True,True,False,True,,False,,
A6NJ46,False,True,False,False,True,True,False,False,,False,False,True
A6NJ88,,,,False,,,,False,,,,False
A6NJG2,True,False,,,False,,,,,,,
A6NJG6,False,True,True,True,True,True,True,,True,True,True,
A6NJL1,True,True,True,True,True,True,True,True,,True,,
A6NJQ4,,,,,,,,,,,,True
A6NJR5,,,,True,,,,,True,,True,
A6NJS3,,,,True,True,,,True,,,,
A6NJW4,True,,True,True,True,,True,True,,True,True,
A6NJW9,True,,,,True,,,,,,,
A6NJZ3,True,True,False,True,True,,False,,,False,,
A6NK02,True,True,True,True,True,True,True,True,True,True,,
A6NK53,False,False,False,False,False,,False,False,True,False,,True
A6NK59,True,True,True,True,True,,True,True,True,True,True,
A6NK75,False,True,False,True,False,,,False,True,False,True,True
A6NK97,True,True,False,True,,True,True,True,,False,,
A6NKB5,False,False,False,,True,,False,,,False,False,
A6NKC0,,,,,,,,,,,,True
A6NKC4,True,True,,True,,True,,True,,,,True
A6NKC9,True,False,True,False,True,False,False,,,False,,
A6NKD2,False,,,True,False,False,,True,True,,,
A6NKD9,True,False,True,,,True,True,,,False,,False
A6NKF2,False,False,,,,,False,,,False,,
A6NKH3,True,True,False,True,True,,True,,,False,,
A6NKK0,True,,False,True,True,,True,True,True,False,,
A6NKP2,True,True,True,,,,,,,True,True,
A6NKT7,True,,,,False,,,,,,,
A6NKU9,,True,,True,True,,,,,,True,True
A6NKW6,,,,,,,,False,,,,
A6NKX4,True,False,True,True,True,,True,True,,True,False,
A6NL08,True,True,False,True,True,,False,,,False,,
A6NL26,,True,False,True,True,,True,,,False,,
A6NL82,,,False,,,,False,,,False,,
A6NL99,True,,True,,True,,,True,,True,,
A6NLC8,False,True,False,,True,,False,,,False,,
A6NLF2,False,,,False,True,True,,,,,False,
A6NLI5,True,True,True,True,,,True,False,,False,,
A6NLJ0,False,False,False,False,False,,False,,,False,False,False
A6NLU0,True,False,False,False,True,,True,,,False,,
A6NLW8,False,True,False,False,True,True,False,False,False,False,False,
A6NLX3,False,True,True,True,True,,False,,,False,True,True
A6NM03,True,True,False,True,True,,True,True,True,False,,
A6NM28,True,True,True,True,True,,True,True,,True,,
A6NM36,False,True,False,False,False,,,,,False,True,
A6NM43,,,,True,,False,,,,,False,
A6NM62,,True,,True,False,,,True,,,,
A6NM76,True,True,False,True,,,False,,,False,,
A6NMB1,True,True,True,True,True,True,True,True,,True,,True
A6NMB9,True,True,True,True,True,,True,,,True,,
A6NMD0,,False,False,False,False,False,,False,True,False,False,False
A6NMK7,False,True,,,,True,False,,,False,,
A6NMK8,True,,True,True,True,True,True,,,True,True,
A6NMS3,True,True,False,True,True,,True,True,True,False,,
A6NMT0,False,True,True,False,,,True,False,,True,False,True
A6NMX2,,False,True,,True,,False,,,False,,
A6NMZ7,False,False,False,True,True,True,False,,,True,True,
A6NNA5,False,True,True,False,,True,False,False,True,False,False,
A6NNB3,False,False,False,False,False,False,False,False,True,False,False,False
A6NNC1,True,True,False,True,True,True,False,,,False,,False
A6NND4,True,False,False,False,,,True,False,,False,,
A6NNE9,False,,True,,,,False,True,,False,,
A6NNH2,,,False,True,True,,False,,,False,,
A6NNL0,False,,,,True,,,,,,,
A6NNM8,False,,,,,,False,,,,,
A6NNN8,True,True,True,True,,True,True,True,,True,True,
A6NNS2,False,True,False,,True,False,True,True,,True,True,
A6NNV3,False,True,,True,True,,,,True,,True,True
A6NNW6,True,False,False,True,True,True,True,,,False,False,
A6NNY8,True,False,True,,,,,,,False,,
A6NNZ2,True,,,,,,,,,,,
A6NP61,False,False,False,,,,,,,False,,
A6PVC2,False,True,,,,,True,,,,,
A6PVI3,False,True,True,,True,,True,,,True,,
A6PVY3,False,False,False,,False,,,,,False,,
A6QL63,False,True,,,True,True,True,False,,True,,
A6XGL0,True,True,True,,,,True,True,,True,True,True
A6ZKI3,False,,False,False,True,,,False,True,,,
A7E2S9,True,,True,,True,,True,True,True,True,,
A7E2Y1,True,True,True,True,True,,True,,True,True,True,
A7MBM2,False,False,False,,False,,False,,,False,False,
A7MCY6,False,True,True,True,True,True,,True,,True,True,True
A8K0Z3,True,,,True,True,,,,False,,,
A8K2U0,False,True,,True,,,False,,False,False,False,
A8K4G0,False,True,False,True,True,,False,,,False,,
A8K7I4,True,False,True,,,,False,False,,False,,
A8K855,False,False,False,False,False,False,False,False,False,False,False,
A8K8V0,,True,True,True,,,,True,,True,,
A8K979,False,True,False,,,True,True,,,True,True,
A8MPP1,True,,True,True,True,True,,,,True,True,
A8MPY1,False,False,False,True,True,,True,,,False,True,
A8MQ14,True,True,True,True,,,True,True,,True,,
A8MQ27,True,False,True,True,,True,False,,True,True,,
A8MT65,True,True,True,True,True,,True,,,True,,
A8MTI9,True,True,True,True,True,,True,,True,True,,
A8MTJ3,,False,False,,,,,,,True,,
A8MTJ6,False,True,True,True,True,,False,,True,True,True,
A8MTL0,False,False,False,False,False,False,False,False,False,False,,False
A8MTL3,False,,False,False,,True,False,,,,False,
A8MTL9,,,,,,,False,True,,False,,
A8MTQ0,False,,True,True,True,True,True,,,True,,
A8MTY0,False,True,False,True,False,,True,False,True,False,,True
A8MU46,True,True,True,True,True,True,True,True,,True,True,
A8MU76,True,,,,,True,,True,True,,,
A8MUA0,True,True,,,True,True,,True,True,False,,
A8MUI8,True,True,,True,True,True,False,True,True,False,,
A8MUP6,False,True,False,,,,False,,,False,,
A8MUV8,,True,True,True,True,,,True,True,,,True
A8MUZ8,True,True,True,True,True,,,True,,True,,
A8MV23,True,True,False,True,True,True,False,,,False,True,
A8MV57,,True,False,False,False,True,True,,,False,,
A8MV72,True,True,,True,True,,False,True,True,,,
A8MVJ9,False,True,,False,True,,False,False,False,,,
A8MVS1,False,,,True,True,,,True,,,,
A8MVU1,True,True,,True,,True,,True,True,,True,
A8MVW5,True,True,True,True,True,True,True,True,,False,True,True
A8MW92,,False,,,,,,,,,,
A8MWA4,True,True,True,True,True,,True,True,,True,,
A8MWA6,,,,,,,,,,,,True
A8MWD9,False,True,False,False,True,True,,False,True,,False,
A8MWK0,False,,False,True,True,,True,,,False,,
A8MWL6,False,,False,True,True,,,,,,False,
A8MWL7,False,True,False,False,True,,True,False,,False,,
A8MWX3,,,False,True,True,,,,False,False,,
A8MWY0,False,True,False,,True,,False,,False,False,True,
A8MX76,False,True,True,True,True,,True,True,,True,,
A8MXD5,False,False,False,,,,False,,,False,,
A8MXE2,False,False,False,True,True,,True,False,,False,False,
A8MXQ7,True,,True,True,True,True,True,True,True,True,True,
A8MXU0,False,,,,,,,,,,,
A8MXV6,,,,True,,,False,,,False,,
A8MXZ1,,,,,True,,,,,,,
A8MYJ7,True,True,True,True,True,True,True,False,False,False,False,
A8MYP8,False,,False,True,,,False,False,,False,,
A8MYU2,False,False,False,,,,True,,,False,False,
A8MYZ0,True,True,True,False,False,,False,,,False,False,
A8MYZ5,False,False,False,False,False,False,False,False,False,False,,False
A8MZ59,True,True,True,True,True,True,True,False,False,True,,
A8MZA4,True,,,True,,True,True,,True,,True,True
A8TX70,False,False,False,True,,True,False,,,True,True,
A9QM74,False,False,True,False,False,False,False,False,False,True,,False
A9UHW6,False,,False,True,False,,False,,False,True,,
A9YTQ3,False,False,,,,False,False,,,False,,
A9Z1Z3,True,False,False,,False,,False,,,False,,
B0I1T2,True,True,True,True,True,True,,,,True,,
B0YJ81,False,True,False,,True,,True,False,,False,,
B1AJZ9,True,True,,True,,True,True,True,True,,True,True
B1AK53,True,,True,True,True,True,True,True,,False,True,
B1AK76,True,True,True,True,True,True,True,,,True,,
B1AL46,,,,,,,,,,,,False
B1AL88,False,False,False,False,False,False,False,False,,False,False,False
B1ANY3,False,,False,,True,,True,,,False,,
B1APH4,,,,True,True,,,True,,,,
B2RC85,False,,,,,False,,,,,,
B2RD01,True,,True,True,True,False,True,False,,True,,
B2RN74,True,True,,True,True,,,True,,,,
B2RNN3,True,,,False,,True,,False,True,,True,
B2RPK0,False,False,,True,,True,False,,,,,
B2RTY4,True,True,True,True,True,True,True,,,True,,
B2RUY7,True,True,True,True,True,True,False,False,,False,True,True
B2RXF5,True,True,True,True,True,,True,,,True,,
B2RXH2,False,,,,,True,False,,,,,
B3GLJ2,False,True,False,False,True,True,True,False,,True,,
B3KS22,,,,True,,,,,,,,
B3KS81,True,,True,True,True,True,,,,True,,
B4DI54,True,False,True,True,True,False,,,,True,True,
B4DU55,,True,True,True,True,,True,True,,True,,
B4DUJ4,True,,,,,,True,,,,,
B4DXR9,,,,,,,,False,True,,,True
B4DZS4,False,,True,,,False,True,,,False,,
B5MD39,True,,,True,,True,,,,,False,
B5MDG6,True,,False,True,True,True,,,,False,,
B6A8C7,True,True,True,True,True,,True,True,,True,,True
B7U540,False,False,False,,True,,False,,,False,True,
B7Z6K7,True,True,True,True,True,,True,True,,True,,
B7ZB78,False,False,False,False,False,False,,False,False,False,,
B7ZBB8,False,True,True,True,True,False,False,False,False,False,False,
B7ZCA4,,,,,False,,,False,,,,False
B7ZW82,,,,,True,,,,,,,
B9A064,True,,False,,True,,,,,False,,
B9ZVM9,,False,,False,False,False,,False,False,,,
C9J1S8,False,False,,True,,,False,False,True,,,
C9J202,,,,,,False,,,,,,
C9J798,False,,,,,False,,False,,,,
C9JBD0,True,False,False,True,False,True,True,,True,False,,
C9JCN9,False,False,False,False,False,False,False,False,,False,,
C9JDP6,True,True,False,True,True,True,False,True,,False,True,
C9JE40,True,False,,,,,False,,,True,False,
C9JJ37,True,True,True,True,,,True,True,True,True,True,
C9JN71,False,True,True,True,True,,True,True,,True,,True
C9JRZ8,,,,,,,,,,,False,
D2KNA0,,,,True,,,,True,,,,
F5H094,False,False,True,,True,,False,True,False,False,False,False
F5H3Z2,True,,,,,,True,True,,,,
F6Q468,,,,,True,,,,,,,
F8WBV3,True,True,True,,,True,True,True,True,True,,
F8WER7,False,True,True,True,True,,True,True,,True,,True
H0Y2U5,,False,,,True,,,,,,,
H7C478,False,True,False,False,False,False,False,,,False,,
H9KV56,,,,False,True,,,False,,,False,
O00115,True,,False,,,,False,,,False,,
O00124,False,False,False,False,False,,False,False,,False,,False
O00139,True,,True,True,,,True,,True,True,True,
O00141,True,True,True,,,,,True,,False,,
O00142,,,,,,,False,,,,,
O00144,False,False,False,False,False,,False,False,,False,False,False
O00148,True,True,True,True,True,False,True,,,True,True,
O00151,False,False,False,True,True,True,True,True,True,True,True,True
O00154,False,,False,,,False,False,,,False,False,
O00155,True,True,True,True,True,True,True,True,True,True,True,
O00159,True,True,True,True,,True,True,,,True,,
O00160,True,True,True,True,,,True,,True,True,,
O00161,True,True,False,,True,,True,,,False,True,
O00167,False,False,,,,False,False,,,False,,
O00170,True,,True,True,True,True,,True,,True,True,
O00178,False,False,True,True,True,True,True,True,,False,False,
O00180,False,False,True,False,True,,False,,,False,False,
O00182,,,,,,,False,,,,False,
O00186,True,True,,,True,True,,,,True,,
O00187,True,,True,,True,,True,,,False,True,
O00192,False,False,,False,,False,False,False,False,False,False,False
O00194,True,True,True,True,True,True,True,,,True,True,
O00203,True,True,False,,,,,,,False,,
O00204,False,False,False,False,True,,True,,,False,True,
O00212,True,True,False,True,True,True,True,True,,True,True,
O00213,False,,True,,,False,False,,True,False,,
O00214,,True,True,,True,,,,,False,,
O00219,False,,False,,,,,,,False,,
O00220,,True,,,,,True,True,,True,,
O00221,True,True,True,True,True,True,True,True,,False,True,
O00222,False,True,True,True,True,True,True,False,True,False,True,
O00230,False,,False,False,False,,False,False,,False,,
O00238,False,True,True,True,True,True,True,True,,True,True,True
O00253,True,,False,,,,True,,,,,
O00254,True,True,True,True,True,True,True,True,,True,,
O00264,False,,False,,True,,True,True,True,True,True,
O00268,False,,,,,,,,,,,
O00270,True,True,True,True,True,True,True,True,True,True,True,
O00292,True,True,False,,True,,False,,,False,,
O00294,False,,True,True,,False,False,,,False,False,
O00295,False,False,True,,,,False,,,False,,
O00299,,False,False,,,,False,,,True,False,
O00305,True,True,True,,True,,True,,True,True,True,
O00308,False,True,True,,True,True,True,,True,True,True,
O00322,False,False,True,True,True,False,True,False,,True,True,
O00327,,False,,,,,,,,,,
O00329,False,,True,,True,,False,,,False,,
O00330,False,,,,,False,,,,,,
O00337,,True,True,,,,False,,,False,False,
O00338,False,False,False,False,,,,,,False,,
O00341,True,False,,,,False,True,,,False,True,
O00391,True,,,,,,True,,,True,,
O00398,False,False,False,False,False,False,True,False,True,False,False,
O00401,False,False,,True,,,,,,False,,
O00408,True,False,,,,True,False,,,False,True,
O00409,False,False,False,,,False,False,,,False,,False
O00410,,,True,,,,,,,True,,
O00423,False,True,True,True,True,True,True,True,,True,True,True
O00425,True,True,False,False,,False,False,,,False,,
O00429,,False,,,,,,False,True,False,False,
O00443,False,True,True,,True,True,False,True,True,False,True,
O00445,False,False,False,False,False,,False,False,,False,False,
O00451,False,,False,True,True,,False,False,,False,False,
O00458,False,,True,,,False,True,,,False,,
O00461,False,,True,False,True,False,True,True,True,True,False,
O00463,False,True,True,True,True,True,False,True,,,True,
O00468,False,False,False,True,,True,True,True,True,False,True,False
O00469,False,False,False,,,,False,,False,False,,
O00470,False,False,True,,True,,False,,,False,True,
O00472,False,True,,,,,False,,,False,,
O00476,True,True,True,True,True,,True,,,True,,
O00478,True,True,True,True,True,True,True,True,True,False,,True
O00479,False,False,True,,False,,True,False,,False,,
O00481,True,True,False,False,True,True,True,False,,True,,True
O00482,False,,,,,,True,,,True,True,
O00483,False,,True,False,,False,False,True,,True,True,
O00501,,,True,,,,True,,,True,,
O00506,True,True,True,,True,True,,,,True,True,
O00507,False,False,True,,True,,False,,,False,,
O00519,False,,,,,,,,,,,
O00533,True,,True,,True,,True,,,True,,
O00534,False,True,False,,,False,,,,True,True,
O00548,False,True,,True,True,,True,True,,False,,
O00555,True,True,True,True,False,,False,,,False,False,
O00560,,,,,,,False,,,False,,
O00562,True,False,,,,,True,,,False,,
O00570,False,False,True,,True,,,,False,False,False,
O00571,,,True,,,,True,,,True,,
O00574,True,True,False,True,True,True,True,True,True,False,True,True
O00587,True,False,False,True,False,,True,False,,False,False,
O00590,False,True,False,True,True,False,,True,,False,,True
O00591,False,False,False,True,True,,True,,,False,True,
O00592,False,False,False,False,False,False,False,False,False,False,False,False
O00602,,True,True,,,,True,True,,True,True,
O00622,False,True,True,True,,,False,,,False,True,
O00624,False,True,False,,,,True,,,True,,
O00629,False,False,True,False,False,False,False,False,False,True,False,False
O00634,True,,True,,True,,True,,,False,,
O00635,True,True,True,True,True,,True,True,True,True,,
O00712,False,False,False,,True,False,False,,,False,,False
O00716,False,,,,True,,False,,,False,,
O00743,True,,True,True,,,,True,,True,,
O00744,False,False,True,,False,,True,,,False,,
O00746,,True,True,,True,True,False,,,False,True,
O00748,False,,False,,,,False,False,,False,True,
O00750,False,True,True,,True,True,False,True,True,False,True,
O00755,True,,False,,,,False,,,False,,
O00757,,False,False,,,False,False,,,False,,
O00763,,True,False,,True,,False,,,False,,
O00767,,True,,,,,,,,True,,
O14492,True,True,True,,,,,,,False,,
O14493,,,True,,,,True,,,True,True,
O14494,False,True,,,,,,,,False,,
O14495,False,True,False,True,True,False,True,True,,False,True,
O14497,False,True,,,,,,,,False,,
O14503,False,True,False,True,True,True,True,True,True,False,True,
O14508,,,False,,,,,True,True,False,False,
O14519,False,False,,,,False,False,,,False,,False
O14523,False,False,,,False,,False,False,,False,False,False
O14524,False,,,,,,True,,,False,,
O14525,False,,True,,True,,False,,False,False,,
O14526,True,True,True,True,True,True,True,True,,True,True,True
O14529,False,False,False,False,False,False,False,False,False,False,False,False
O14531,True,True,True,,True,,True,False,,False,,
O14543,True,False,False,True,True,True,True,True,,False,False,
O14544,False,,,,,False,False,False,,,False,
O14556,,True,,,,False,,,,False,,
O14569,False,,False,False,False,False,False,False,False,False,False,
O14576,False,True,False,False,False,,False,,,False,,
O14578,True,True,True,True,True,True,True,,,True,True,True
O14581,True,,False,False,False,,True,True,True,,,
O14595,True,True,,,True,False,True,,,True,,
O14602,False,True,,,,,,,,False,,
O14607,False,True,False,False,False,False,False,,,False,,
O14618,,,True,,,,,,,,,
O14625,False,False,False,,False,,,,,False,,
O14626,True,True,True,True,True,True,True,True,,True,True,True
O14627,False,True,True,True,,True,False,,,True,True,True
O14628,False,True,True,True,True,,True,True,True,True,,
O14638,False,False,False,False,True,False,False,False,False,False,,
O14639,False,False,False,,,False,False,,,False,,False
O14640,False,True,True,,True,,False,,,False,,
O14641,False,True,True,,True,,False,,,False,,
O14646,True,True,,,,,True,,True,True,,
O14647,False,True,True,True,,True,False,True,True,True,True,
O14649,False,,False,,,,False,,,False,False,
O14662,True,True,True,True,True,False,True,True,True,True,True,True
O14669,True,False,True,True,True,True,True,,,True,False,
O14672,False,True,False,False,True,,False,,,False,True,
O14678,,,,,,,,,,,True,
O14682,True,True,True,True,True,,True,True,,True,True,True
O14684,False,True,False,False,True,,False,,False,False,False,
O14709,True,,True,True,True,,True,True,,True,,
O14715,,,,,False,,,,,,,
O14718,False,,False,,,,True,,,True,,
O14727,True,True,,,True,True,True,,,,,True
O14730,False,True,False,,True,,False,,,True,True,
O14732,,False,,,,False,,,,True,False,
