,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB
Q8NEV9,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia
Q9NQ75,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,None,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Opisthokonta,Eumetazoa
Q96KR6,Eukaryota,Eumetazoa,Mammalia,Eukaryota,Eukaryota,Eukaryota,Eumetazoa,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q6ZMB5,Vertebrata,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
ENSP00000398703,None,None,None,None,None,None,None,None,None,None,None,Eukaryota,Opisthokonta
P43005,Vertebrata,Euk+Bac,Euk+Bac,Eumetazoa,Vertebrata,Cellular_organisms,Cellular_organisms,Cellular_organisms,Opisthokonta,Cellular_organisms,Cellular_organisms,Euk+Bac,Cellular_organisms
Q7Z5H5,Mammalia,None,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata
Q9BXT2,Vertebrata,Vertebrata,Vertebrata,Mammalia,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata
Q96HA4,Vertebrata,Vertebrata,Mammalia,Mammalia,Mammalia,Vertebrata,None,Vertebrata,Vertebrata,Vertebrata,Mammalia,Vertebrata,Vertebrata
Q5THK1,Mammalia,Mammalia,Mammalia,Mammalia,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Mammalia,Eumetazoa,Vertebrata,Vertebrata,Mammalia
Q6NXP0,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,None,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,None,Eumetazoa,Eumetazoa
Q8NA03,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota
Q9UM44,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Mammalia,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa
A3KN83,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Euk+Bac,Euk+Bac,Eumetazoa,Euk+Bac,Eukaryota,Euk+Bac,Euk+Bac,Eukaryota,Eukaryota
Q8N944,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia,Vertebrata,Mammalia,Mammalia,Mammalia
Q9BXW3,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,None,Mammalia,Mammalia,Mammalia,None,Mammalia,None
P48551,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,None,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Vertebrata,Vertebrata
Q9UNN4,Vertebrata,Opisthokonta,Vertebrata,Vertebrata,Vertebrata,Eukaryota,Opisthokonta,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
P35663,Mammalia,Mammalia,Mammalia,Eukaryota,Mammalia,Mammalia,None,Mammalia,Mammalia,Euk+Bac,Mammalia,Eukaryota,Mammalia
Q6A1A2,None,None,Eukaryota,Eukaryota,None,Euk+Bac,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q5M9Q1,Mammalia,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Vertebrata
P14635,Vertebrata,Eukaryota,Vertebrata,Eukaryota,Vertebrata,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q13304,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa
Q13363,Vertebrata,Vertebrata,Vertebrata,Euk+Bac,Euk+Bac,Euk+Bac,Euk+Bac,Euk+Bac,Eumetazoa,Euk+Bac,Euk+Bac,Eukaryota,Eukaryota
Q8IYL3,Vertebrata,Vertebrata,Mammalia,Vertebrata,None,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,None,Vertebrata,Vertebrata
Q6DKI7,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia
Q9HD47,Eukaryota,Vertebrata,Eukaryota,Eukaryota,Mammalia,Eukaryota,Eukaryota,Eukaryota,Opisthokonta,Eukaryota,Mammalia,Eukaryota,Eukaryota
Q9BZW2,Vertebrata,Euk+Bac,Vertebrata,Vertebrata,Vertebrata,Euk+Bac,Vertebrata,Cellular_organisms,Eukaryota,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms
Q9UBD3,None,None,Mammalia,None,None,Vertebrata,None,Mammalia,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata
Q9Y5A6,Mammalia,Mammalia,Mammalia,Eumetazoa,Mammalia,Mammalia,None,Mammalia,Eukaryota,Mammalia,Mammalia,Opisthokonta,Eumetazoa
ENSP00000381320,Mammalia,None,None,None,None,None,None,None,Mammalia,None,None,None,None
Q9Y6E0,Vertebrata,Eukaryota,Opisthokonta,Vertebrata,Vertebrata,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota
Q9BVV6,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata
Q96I51,Opisthokonta,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Opisthokonta,Opisthokonta,Eumetazoa,Opisthokonta,None,Euk+Bac,Eukaryota,Euk+Bac
P48023,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa
ENSP00000393459,None,None,None,None,None,None,None,None,None,None,None,Mammalia,Mammalia
Q8N5S1,Mammalia,Mammalia,Vertebrata,Eukaryota,Mammalia,Mammalia,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q969V4,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota
Q96B70,Opisthokonta,Opisthokonta,Mammalia,Eumetazoa,Eukaryota,Eukaryota,Opisthokonta,Opisthokonta,Eukaryota,Opisthokonta,Eukaryota,Eumetazoa,Vertebrata
Q9UL01,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Euk+Bac,Euk+Bac,Euk+Bac,Euk+Bac,Euk+Bac,Euk+Bac,Eumetazoa,Eumetazoa
Q16880,Eumetazoa,Opisthokonta,Eumetazoa,Eumetazoa,Vertebrata,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,None,Cellular_organisms,Eukaryota,Opisthokonta
O75864,Opisthokonta,Opisthokonta,Vertebrata,Eukaryota,Eumetazoa,Opisthokonta,Opisthokonta,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Opisthokonta
Q86U17,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Vertebrata,Vertebrata,Mammalia,Euk+Bac,Cellular_organisms,Euk+Bac,Cellular_organisms
Q8WVH0,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa
P0C881,None,None,Eumetazoa,None,Eumetazoa,Euk+Bac,Eukaryota,Euk+Bac,Eumetazoa,None,Euk+Bac,Eukaryota,Eukaryota
Q92521,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q96A44,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota
Q15743,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa
P11277,Opisthokonta,Opisthokonta,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Opisthokonta,Opisthokonta,Opisthokonta,None,Eukaryota,Opisthokonta,Eukaryota
Q9NYZ2,Vertebrata,Opisthokonta,Eukaryota,Opisthokonta,Vertebrata,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
A6NKB5,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Opisthokonta,Eumetazoa
Q8TCY9,Mammalia,Mammalia,Mammalia,Mammalia,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Opisthokonta,Eukaryota
Q12888,Eukaryota,Opisthokonta,Vertebrata,Vertebrata,Opisthokonta,Eukaryota,Eukaryota,Eumetazoa,Eumetazoa,Eumetazoa,Opisthokonta,Vertebrata,Eumetazoa
Q8TDM0,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Eukaryota,Eumetazoa,Mammalia,Opisthokonta,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa
Q14114,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa
P19440,Mammalia,Mammalia,Euk+Bac,Euk+Bac,Euk+Bac,Cellular_organisms,Eumetazoa,Cellular_organisms,Cellular_organisms,Cellular_organisms,Euk+Bac,Euk+Bac,Eukaryota
Q6IB77,Mammalia,Mammalia,Eumetazoa,Mammalia,Mammalia,Eumetazoa,None,Vertebrata,Euk+Bac,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa
O00267,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk_Archaea,Euk_Archaea,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk_Archaea,Eukaryota,Eukaryota
P79483,None,None,None,None,None,None,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata
Q7LFX5,Eukaryota,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Euk+Bac,Euk+Bac
A6NC42,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia
Q9BTC0,Opisthokonta,Opisthokonta,Mammalia,Eumetazoa,Eumetazoa,Opisthokonta,Eumetazoa,Opisthokonta,Eumetazoa,Opisthokonta,Eumetazoa,Opisthokonta,Vertebrata
Q8WW12,Eumetazoa,Eumetazoa,Vertebrata,Vertebrata,Vertebrata,Opisthokonta,Eumetazoa,Eumetazoa,Eumetazoa,Opisthokonta,Vertebrata,Eumetazoa,Opisthokonta
P09669,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa
Q9BVA0,Euk+Bac,Opisthokonta,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk+Bac,Euk+Bac
Q9BRX8,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,None,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,None,Eukaryota,Eukaryota
Q12950,None,None,None,None,None,Opisthokonta,Mammalia,Eumetazoa,Opisthokonta,Eumetazoa,Opisthokonta,Opisthokonta,Mammalia
P78368,Vertebrata,Eumetazoa,Eumetazoa,Mammalia,Opisthokonta,Opisthokonta,Opisthokonta,Opisthokonta,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q86VY4,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Opisthokonta,None,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
P23769,Vertebrata,Opisthokonta,Vertebrata,Vertebrata,Opisthokonta,Opisthokonta,Opisthokonta,Opisthokonta,Opisthokonta,Eumetazoa,Eukaryota,Eukaryota,Eumetazoa
Q8N2U9,Eukaryota,Eukaryota,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
P06314,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Vertebrata,Mammalia,Opisthokonta,Mammalia,Opisthokonta,Vertebrata,Opisthokonta
Q9H0X9,Vertebrata,Eukaryota,Vertebrata,Vertebrata,Opisthokonta,Eukaryota,Eukaryota,Eukaryota,Opisthokonta,None,Euk+Bac,Eukaryota,Eukaryota
Q8WUA4,Eukaryota,Eukaryota,Vertebrata,Opisthokonta,Opisthokonta,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota,Opisthokonta,Eukaryota,Opisthokonta
O75072,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Opisthokonta,Opisthokonta,Opisthokonta,Eumetazoa,Opisthokonta,Eumetazoa,Opisthokonta,Eumetazoa
Q96RE7,Vertebrata,Eukaryota,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Opisthokonta,Eumetazoa,Eumetazoa
P02144,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eukaryota,Eukaryota
O14610,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Vertebrata
Q92839,Vertebrata,Eukaryota,Vertebrata,Vertebrata,Vertebrata,Euk+Bac,Vertebrata,Euk+Bac,Euk+Bac,Euk+Bac,Cellular_organisms,Cellular_organisms,Euk+Bac
Q05DH4,Vertebrata,Opisthokonta,Vertebrata,Eumetazoa,Vertebrata,Opisthokonta,Opisthokonta,Opisthokonta,Eukaryota,Opisthokonta,Opisthokonta,Opisthokonta,Opisthokonta
Q8TA86,Eukaryota,Eukaryota,Eumetazoa,Eumetazoa,None,Eukaryota,Eukaryota,Eukaryota,Eumetazoa,Eumetazoa,None,Eumetazoa,Eukaryota
P15336,Opisthokonta,Opisthokonta,Vertebrata,Eumetazoa,Vertebrata,Eukaryota,Eumetazoa,Opisthokonta,Eumetazoa,Opisthokonta,Eukaryota,Opisthokonta,Opisthokonta
O00587,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eukaryota,Opisthokonta,Eumetazoa
Q9UJ78,Vertebrata,Vertebrata,Mammalia,Vertebrata,Mammalia,Mammalia,Eumetazoa,Vertebrata,Vertebrata,Eumetazoa,Eumetazoa,Vertebrata,Vertebrata
Q96PE7,Cellular_organisms,Euk+Bac,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms
O00244,Eukaryota,Vertebrata,Opisthokonta,Eukaryota,Cellular_organisms,Eukaryota,Vertebrata,Eumetazoa,Euk_Archaea,Eukaryota,Cellular_organisms,Euk+Bac,Eukaryota
Q6ZRH9,None,None,None,None,None,None,None,None,None,None,None,Eumetazoa,None
O15428,None,None,None,None,None,None,Eukaryota,None,None,None,None,Opisthokonta,Opisthokonta
ENSP00000412468,None,None,None,None,None,None,None,None,None,Eukaryota,None,None,None
P52848,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Euk+Bac,Vertebrata,Eumetazoa,Eumetazoa,Eukaryota,Euk+Bac,Euk+Bac,Euk+Bac
Q9UI30,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk_Archaea,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Euk_Archaea,Eukaryota,Eukaryota
O43610,Vertebrata,Eumetazoa,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Vertebrata
Q8TAF7,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,None,Mammalia,Eukaryota,Mammalia,Opisthokonta,Opisthokonta,Opisthokonta
Q5PR19,None,None,Mammalia,Mammalia,None,Mammalia,None,None,Mammalia,Mammalia,Eukaryota,Mammalia,Vertebrata
Q9H3W5,Vertebrata,Vertebrata,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa
Q9BXM9,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,None,Eumetazoa,Eumetazoa,Eumetazoa
Q99729,Vertebrata,Eukaryota,Vertebrata,Opisthokonta,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota,Euk+Bac,Eukaryota,Eukaryota
P29350,Vertebrata,Vertebrata,Vertebrata,Vertebrata,Eukaryota,Vertebrata,Opisthokonta,Opisthokonta,Eukaryota,Opisthokonta,Eukaryota,Eukaryota,Eukaryota
Q96MH7,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,None,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,Eumetazoa,None,Eumetazoa,Eumetazoa
P32322,Mammalia,Vertebrata,Euk+Bac,Euk+Bac,Mammalia,Euk+Bac,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms,Cellular_organisms
P61353,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Q99963,Vertebrata,Eumetazoa,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota,Eumetazoa,Opisthokonta,Opisthokonta,Eumetazoa,Eukaryota,Eukaryota,Eukaryota
Q9H0L4,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,Euk+Bac,Eukaryota,Euk+Bac,Eukaryota,Euk+Bac,Eukaryota,Eukaryota,Eukaryota
Q8NGF7,Mammalia,Mammalia,Mammalia,Mammalia,Vertebrata,Mammalia,None,Mammalia,Eumetazoa,Vertebrata,Vertebrata,Vertebrata,Vertebrata
Q8WZ60,Eumetazoa,Eumetazoa,Vertebrata,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,Eumetazoa,Eumetazoa,Eukaryota,Eukaryota
