,mean,variance,outliers
P14635,10.1538461538,83.9743589744,
Q13304,3.15384615385,5.30769230769,PANTHER8_all
Q13363,24.6153846154,356.756410256,
Q8IYL3,0.923076923077,1.07692307692,
Q6DKI7,2.76923076923,0.358974358974,
Q9HD47,12.9230769231,57.0769230769,
Q9BZW2,21.3846153846,427.923076923,
Q9UBD3,1.61538461538,2.08974358974,
Q9Y5A6,4.84615384615,53.141025641,Hieranoid_2
ENSP00000381320,0.846153846154,0.141025641026,
Q9Y6E0,11.8461538462,63.8076923077,PANTHER8_all
Q9BVV6,1.07692307692,0.74358974359,
Q96I51,13.5384615385,187.602564103,PhylomeDB
P48023,2.38461538462,5.58974358974,PhylomeDB
ENSP00000393459,1.23076923077,0.358974358974,
Q8N5S1,8.15384615385,86.9743589744,OMA_Pairs
Q969V4,9.46153846154,35.9358974359,Metaphors PhylomeDB
Q96B70,13.6923076923,82.8974358974,
Q9UL01,25.5384615385,639.769230769,
Q16880,9.69230769231,90.5641025641,PANTHER8_all
O75864,12.3076923077,52.7307692308,OMA_Pairs
Q86U17,14.9230769231,515.91025641,
Q8WVH0,3.46153846154,3.76923076923,PhylomeDB
P0C881,17.8461538462,296.474358974,
Q92521,7.69230769231,5.39743589744,OMA_Groups
Q96A44,5.07692307692,23.2435897436,PhylomeDB
Q15743,1.69230769231,2.89743589744,
P11277,7.23076923077,26.1923076923,
Q9NYZ2,8.61538461538,51.5897435897,EnsemblCompara_v2
A6NKB5,9.46153846154,96.7692307692,
Q8TCY9,6.07692307692,58.5769230769,PhylomeDB
Q12888,9.07692307692,21.5769230769,
Q8TDM0,8.0,54.8333333333,RSD
Q14114,5.46153846154,23.9358974359,PANTHER8_all
P19440,24.3076923077,300.564102564,
Q6IB77,7.84615384615,177.641025641,Hieranoid_2
O00267,9.38461538462,13.2564102564,OMA_Groups
P79483,2.46153846154,5.26923076923,
Q7LFX5,11.6923076923,347.397435897,Metaphors PhylomeDB
A6NC42,1.46153846154,0.602564102564,
Q9BTC0,10.2307692308,43.0256410256,
Q8WW12,4.53846153846,4.4358974359,
P09669,4.15384615385,7.30769230769,
Q9BVA0,20.6153846154,174.923076923,
Q9BRX8,13.1538461538,82.3076923077,
Q12950,7.38461538462,71.5897435897,RSD
P78368,6.61538461538,29.9230769231,EnsemblCompara_v2
Q86VY4,12.0,129.166666667,
P23769,8.30769230769,46.2307692308,
Q8N2U9,11.9230769231,7.24358974359,
P06314,8.07692307692,78.7435897436,
Q9H0X9,9.61538461538,93.0897435897,PANTHER8_all
Q8WUA4,16.0769230769,52.7435897436,
O75072,6.0,0.833333333333,
Q96RE7,4.92307692308,49.0769230769,InParanoidCore
P02144,4.61538461538,41.0897435897,Metaphors PhylomeDB
O14610,4.30769230769,3.39743589744,Hieranoid_2 Metaphors
Q92839,28.5384615385,503.269230769,
Q05DH4,7.0,29.5,Hieranoid_2
Q8TA86,10.5384615385,40.9358974359,
P15336,9.46153846154,38.1025641026,
O00587,5.69230769231,36.8974358974,
Q9UJ78,1.69230769231,1.89743589744,
Q96PE7,35.4615384615,18.6025641026,InParanoidCore
O00244,19.9230769231,188.41025641,
Q6ZRH9,2.15384615385,17.3076923077,Metaphors
O15428,3.84615384615,29.9743589744,PhylomeDB
ENSP00000412468,3.23076923077,64.6923076923,EnsemblCompara_v2
P52848,14.6153846154,431.58974359,
Q9UI30,8.38461538462,10.5897435897,InParanoidCore
O43610,6.46153846154,6.76923076923,InParanoidCore
Q8TAF7,9.38461538462,106.256410256,
Q5PR19,3.84615384615,56.8076923077,PANTHER8_all
Q9H3W5,5.46153846154,18.6025641026,Metaphors
Q9BXM9,4.38461538462,37.4230769231,Hieranoid_2
Q99729,13.4615384615,109.769230769,
P29350,7.23076923077,44.858974359,
Q96MH7,4.69230769231,8.0641025641,
P32322,22.6153846154,368.756410256,
P61353,5.92307692308,7.24358974359,InParanoidCore
Q99963,9.0,11.8333333333,RSD
Q9H0L4,14.0769230769,298.243589744,RSD
Q8NGF7,3.69230769231,11.7307692308,Hieranoid_2
Q8WZ60,8.76923076923,74.6923076923,
Q9NX07,15.0,75.8333333333,PANTHER8_all
P35914,32.3076923077,177.730769231,
Q14507,0.846153846154,0.807692307692,
Q9BZE7,6.15384615385,37.4743589744,EnsemblCompara_v2
Q9C0H6,11.0769230769,183.41025641,PhylomeDB
Q16609,16.1538461538,125.141025641,
Q7RTY0,27.6923076923,466.730769231,
Q9UKN5,6.30769230769,45.5641025641,
Q9NZQ3,6.92307692308,19.0769230769,
O75368,7.30769230769,41.5641025641,
Q8NGJ0,1.53846153846,2.9358974359,
O94782,8.53846153846,58.6025641026,
O43677,0.0769230769231,0.0769230769231,
Q15365,11.3076923077,107.730769231,
Q96K12,14.6923076923,175.564102564,PANTHER8_all
Q9UKQ2,8.0,44.1666666667,RSD
Q8NHY6,6.76923076923,64.858974359,Hieranoid_2
Q674X7,6.0,13.8333333333,PhylomeDB
Q96J77,3.38461538462,20.4230769231,
ENSP00000348221,0.846153846154,0.141025641026,
Q99595,7.30769230769,51.8974358974,OMA_Pairs
Q8IYB9,7.76923076923,109.525641026,OMA_Pairs Hieranoid_2
Q14190,3.07692307692,4.91025641026,OMA_Pairs
P06753,13.4615384615,188.435897436,
P78369,2.15384615385,0.307692307692,
ENSP00000402391,10.9230769231,127.576923077,
Q96NS5,11.8461538462,243.807692308,
Q53EZ4,2.92307692308,82.0769230769,PhylomeDB
Q8NGT7,3.61538461538,2.08974358974,
P29372,39.3846153846,94.4230769231,
P01031,16.9230769231,516.743589744,
Q6ZVK8,18.4615384615,322.602564103,
O95382,10.6153846154,136.923076923,
Q6F5E8,15.8461538462,85.641025641,
P0CI25,4.76923076923,65.1923076923,Hieranoid_2
O14490,4.30769230769,4.39743589744,
Q8NCM8,19.6923076923,41.7307692308,
Q6ZMS4,8.61538461538,89.5897435897,Hieranoid_2
P19634,24.0,483.0,
Q6UVK1,5.23076923077,9.69230769231,
Q96FV3,7.61538461538,27.9230769231,
Q9H4M3,8.76923076923,70.0256410256,
P15259,27.5384615385,238.102564103,
Q96SZ5,15.9230769231,19.0769230769,
P0C0L4,8.76923076923,305.025641026,Hieranoid_2 PhylomeDB
P61296,5.0,2.5,
Q9UN71,4.76923076923,17.858974359,
O15537,7.15384615385,60.4743589744,
O43615,8.92307692308,106.743589744,InParanoid RSD
Q13946,21.0769230769,33.0769230769,PANTHER8_all
Q8N1N2,2.23076923077,2.69230769231,
Q08828,11.8461538462,109.974358974,PANTHER8_all
A4D1Z8,5.76923076923,26.858974359,PANTHER8_all
O43683,11.0769230769,16.4102564103,
Q9NQZ8,8.53846153846,111.269230769,
Q16401,13.9230769231,33.2435897436,
O00151,3.23076923077,8.02564102564,EggNOG
P56962,3.23076923077,0.692307692308,
Q96P66,4.76923076923,4.02564102564,
Q6PJ61,4.76923076923,1.35897435897,
Q0VDI3,4.0,6.5,EggNOG
Q9H7D7,7.23076923077,11.6923076923,OMA_Groups
Q6ZRC1,1.0,0.833333333333,
Q5EBL4,4.92307692308,2.24358974359,
P17025,9.07692307692,66.0769230769,Hieranoid_2
Q9NUS5,6.76923076923,35.6923076923,PANTHER8_LDO PANTHER8_all
P46934,5.61538461538,32.2564102564,
Q15629,4.92307692308,28.9102564103,OMA_Pairs
Q16799,8.61538461538,155.256410256,PANTHER8_all
P36402,4.15384615385,17.8076923077,
Q8NGX1,4.30769230769,22.5641025641,PhylomeDB
Q96S66,5.0,8.0,
Q14681,11.5384615385,132.602564103,PANTHER8_all
Q8WTW3,17.7692307692,7.35897435897,OMA_Groups
Q8WXG8,4.69230769231,60.3974358974,PANTHER8_all
O60359,2.38461538462,4.42307692308,
Q5M8T2,19.1538461538,128.141025641,PANTHER8_all
Q96C01,13.7692307692,41.6923076923,
P17677,4.69230769231,54.3974358974,OMA_Pairs PANTHER8_all
Q01668,8.07692307692,47.0769230769,
P26992,3.15384615385,6.80769230769,PANTHER8_all
P35226,9.07692307692,55.0769230769,
Q9BY76,4.30769230769,6.39743589744,
Q99570,6.15384615385,17.641025641,OMA_Groups
Q99895,7.84615384615,210.807692308,Hieranoid_2
Q96R47,4.0,3.83333333333,RSD
Q8TCV5,3.07692307692,17.4102564103,EnsemblCompara_v2
Q96JF0,8.15384615385,62.641025641,
Q9BZ23,13.1538461538,60.9743589744,
Q05682,9.53846153846,335.102564103,EnsemblCompara_v2
P11055,9.38461538462,168.756410256,PhylomeDB
Q9ULG3,2.38461538462,0.75641025641,
P23435,2.46153846154,3.9358974359,Hieranoid_2
Q13349,2.69230769231,2.73076923077,
Q6NUS6,17.3076923077,94.5641025641,
Q9Y247,11.0,92.0,
Q69384,2.38461538462,3.08974358974,RSD
P15586,31.2307692308,220.025641026,
Q96S53,15.0,263.0,
Q8NHV5,2.84615384615,3.97435897436,OMA_Pairs
ENSP00000362696,0.692307692308,0.230769230769,
Q9H7P9,6.69230769231,47.7307692308,PhylomeDB
P61927,7.84615384615,16.8076923077,
Q96A84,6.30769230769,120.230769231,PANTHER8_all
O14775,14.0769230769,178.743589744,EnsemblCompara_v2 PhylomeDB
Q9BYU1,11.6153846154,84.2564102564,
Q9H2M3,19.1538461538,449.141025641,
Q9P2F9,7.23076923077,58.358974359,Hieranoid_2
Q8NGE7,1.92307692308,1.91025641026,
Q9Y675,2.30769230769,1.39743589744,
Q9P086,7.46153846154,7.4358974359,Metaphors
P56880,3.23076923077,0.358974358974,
P14061,25.2307692308,396.858974359,
Q9H2X8,9.23076923077,98.6923076923,EnsemblCompara_v2
Q96RD6,2.84615384615,5.30769230769,
Q9H295,1.07692307692,5.07692307692,EnsemblCompara_v2 Metaphors
Q9UDX3,11.0769230769,94.7435897436,OMA_Pairs
Q6PCB6,24.6923076923,209.230769231,
Q8NC26,3.15384615385,25.3076923077,PhylomeDB
Q9HAZ2,8.30769230769,27.3974358974,Hieranoid_2
P15090,3.84615384615,6.64102564103,
P56211,2.92307692308,11.7435897436,RSD
Q86UX7,4.69230769231,2.39743589744,
Q12889,22.6923076923,266.897435897,
Q70EL4,7.15384615385,40.3076923077,
Q5JSH3,9.30769230769,13.8974358974,EnsemblCompara_v2
B8ZZ34,5.07692307692,13.0769230769,
P82650,2.84615384615,1.14102564103,
ENSP00000388798,8.61538461538,126.08974359,PhylomeDB
Q9NUP9,2.76923076923,5.19230769231,
Q8N2I2,7.61538461538,73.7564102564,Hieranoid_2
Q9NX00,2.84615384615,0.807692307692,
Q96GW7,4.15384615385,19.641025641,Metaphors
P00167,11.6923076923,56.5641025641,
Q8TDB8,19.3076923077,257.064102564,
O00338,18.3076923077,265.730769231,
Q99942,13.0769230769,94.5769230769,
Q9Y2D0,16.1538461538,419.641025641,
Q6ZP57,0.384615384615,0.25641025641,
Q9BWQ6,14.1538461538,97.641025641,
Q2V2M9,6.76923076923,37.358974359,Metaphors
A6NI15,1.69230769231,3.89743589744,
Q9NS28,7.76923076923,102.025641026,
O75462,3.0,5.66666666667,PhylomeDB
Q6PIW4,12.0,77.0,PANTHER8_all
Q14028,9.15384615385,70.641025641,
Q5JS37,21.6923076923,515.897435897,
Q9NRL2,9.61538461538,41.2564102564,
Q9H1P3,14.3846153846,121.08974359,PANTHER8_all
P43490,38.3846153846,440.756410256,
Q9GZS1,9.84615384615,13.641025641,
P80421,4.30769230769,39.3974358974,Metaphors
Q9NR00,0.0769230769231,0.0769230769231,
Q96QI5,22.5384615385,308.935897436,
Q8NE18,11.0,194.833333333,Metaphors PhylomeDB
Q8WX39,2.38461538462,36.9230769231,PANTHER8_all
Q8IX95,2.53846153846,10.2692307692,Orthoinspector EnsemblCompara_v2
P21757,4.76923076923,17.858974359,
O75807,4.53846153846,22.1025641026,
Q56P03,14.0,24.6666666667,
Q92466,21.3076923077,170.564102564,
Q9BUW7,3.07692307692,6.41025641026,
Q8NC60,36.2307692308,131.358974359,
Q86SE8,4.07692307692,8.07692307692,
Q92934,3.30769230769,7.0641025641,EggNOG
Q9BWF3,14.8461538462,174.974358974,PANTHER8_all
Q86SG2,18.8461538462,384.807692308,
O95714,13.1538461538,172.807692308,RSD
O00567,5.07692307692,6.57692307692,
P53367,2.46153846154,4.26923076923,
Q13148,10.6153846154,82.7564102564,PANTHER8_all
Q92886,3.76923076923,8.35897435897,
Q9H095,10.2307692308,67.1923076923,PhylomeDB
Q9BXP2,9.30769230769,54.3974358974,
Q8N9B5,3.30769230769,6.39743589744,
P13164,2.69230769231,8.89743589744,PhylomeDB
O95749,19.3846153846,94.0897435897,
Q9H321,4.61538461538,119.08974359,OMA_Pairs
P30460,2.38461538462,2.92307692308,
A8MYJ7,8.92307692308,106.076923077,PANTHER8_all
Q6P575,28.7692307692,288.358974359,
Q96AD5,7.69230769231,52.3974358974,
Q9BTE0,14.8461538462,35.641025641,PANTHER8_all
Q86X60,9.53846153846,56.7692307692,
Q71RC2,3.84615384615,3.14102564103,InParanoidCore
P0C5J1,12.8461538462,188.474358974,PhylomeDB
O75949,4.92307692308,6.41025641026,PhylomeDB
Q00722,7.92307692308,49.5769230769,
P42768,14.4615384615,87.9358974359,EnsemblCompara_v2
P61024,14.3076923077,83.2307692308,
P09238,7.69230769231,135.230769231,
A6NK53,6.53846153846,108.102564103,Hieranoid_2
P32780,8.0,19.0,OMA_Pairs
Q8NER5,3.76923076923,20.6923076923,PhylomeDB
ENSP00000409248,1.23076923077,1.02564102564,
P15374,10.7692307692,38.858974359,EnsemblCompara_v2
O43765,15.8461538462,171.641025641,
P56278,1.15384615385,0.141025641026,
O75460,7.76923076923,28.1923076923,EnsemblCompara_v2
Q9BZG1,11.1538461538,110.807692308,
Q9P1Q5,2.46153846154,4.76923076923,Hieranoid_2
Q9NSA1,4.61538461538,6.92307692308,PhylomeDB
Q9NXR8,10.6153846154,29.0897435897,
Q9NYU1,16.6923076923,71.5641025641,
Q9BUB4,13.3076923077,20.8974358974,
P60866,6.61538461538,58.0897435897,OMA_Pairs
Q9UMX5,14.2307692308,73.6923076923,
P28067,2.46153846154,2.10256410256,
Q9C0K3,9.84615384615,145.474358974,Orthoinspector
O43286,9.15384615385,104.974358974,
Q8NC67,5.92307692308,24.5769230769,PANTHER8_LDO PANTHER8_all
Q9NZQ8,8.15384615385,29.141025641,InParanoidCore
Q8N2C9,0.307692307692,0.230769230769,
P27352,3.61538461538,12.4230769231,
ENSP00000366202,3.07692307692,51.7435897436,Metaphors
Q9H1E1,2.61538461538,6.08974358974,
Q9HA90,6.30769230769,13.3974358974,
C9JDP6,2.61538461538,2.58974358974,
Q9H910,2.38461538462,1.92307692308,
Q7Z5U6,23.4615384615,61.1025641026,PhylomeDB
Q9ULJ7,20.7692307692,228.192307692,Hieranoid_2
Q6Q788,12.0769230769,374.576923077,PANTHER8_all PhylomeDB
Q9ULC6,9.30769230769,92.3974358974,
P33240,8.38461538462,89.2564102564,EnsemblCompara_v2
P0C7V5,5.46153846154,86.6025641026,Hieranoid_2
O60312,7.30769230769,56.5641025641,
Q66K41,5.92307692308,30.2435897436,PANTHER8_all
Q52WX2,13.7692307692,289.358974359,OMA_Pairs Hieranoid_2
Q6ICI0,6.92307692308,38.7435897436,
P21127,8.92307692308,33.2435897436,
P13349,2.76923076923,10.1923076923,EnsemblCompara_v2
Q8NEG0,7.07692307692,253.91025641,PANTHER8_all
Q9Y4H2,8.23076923077,186.858974359,OMA_Pairs
Q13507,4.69230769231,13.3974358974,
Q6DD88,8.84615384615,63.141025641,
P53355,14.3076923077,81.7307692308,
Q68BL7,3.53846153846,2.10256410256,
P29275,3.30769230769,6.39743589744,EggNOG
Q5VZP5,8.84615384615,138.141025641,
Q5VU92,8.46153846154,172.769230769,PANTHER8_all
Q14003,11.3076923077,177.064102564,Hieranoid_2 PANTHER8_all
Q7RTS1,6.15384615385,16.9743589744,
A6NNL0,1.53846153846,2.60256410256,
Q7L804,5.0,33.6666666667,Metaphors
O15442,28.6153846154,278.256410256,
Q9NXK8,9.92307692308,77.9102564103,PANTHER8_all
Q9NUQ8,23.7692307692,96.5256410256,
P25787,5.69230769231,32.8974358974,PANTHER8_all
Q9H4M7,8.69230769231,74.7307692308,Hieranoid_2
Q8N148,3.92307692308,5.41025641026,PANTHER8_all
Q9Y284,11.4615384615,50.6025641026,
A8MVJ9,1.92307692308,7.24358974359,Orthoinspector
Q9Y6G1,12.9230769231,67.0769230769,
Q9NYK1,11.5384615385,212.269230769,PhylomeDB
P81534,0.615384615385,0.589743589744,
Q9NVH6,14.5384615385,174.102564103,
O95833,12.5384615385,120.102564103,PANTHER8_all
Q17RG1,5.53846153846,36.6025641026,PANTHER8_all Metaphors
Q3KP22,4.30769230769,9.39743589744,
P47895,29.3076923077,306.897435897,
Q6ZVC0,2.92307692308,0.0769230769231,
Q7Z4F1,5.30769230769,27.0641025641,PANTHER8_all
Q641Q3,3.61538461538,6.58974358974,
Q96I27,9.0,102.166666667,Hieranoid_2
Q9NRR4,16.0769230769,82.5769230769,
Q96IX9,1.84615384615,2.64102564103,
P03956,10.3846153846,183.923076923,
P07711,18.4615384615,156.435897436,Hieranoid_2
Q14833,10.3076923077,199.564102564,RSD
Q6ISS4,1.84615384615,5.64102564103,RSD
ENSP00000403148,1.0,0.0,
Q8NGQ7,1.61538461538,10.9230769231,Hieranoid_2
Q9Y4A9,2.69230769231,3.73076923077,
Q86VY9,2.0,4.33333333333,InParanoidCore
ENSP00000388414,7.84615384615,69.641025641,RSD
Q9H977,14.6923076923,68.2307692308,
P11465,3.15384615385,18.4743589744,Hieranoid_2
Q53GQ0,20.6923076923,119.564102564,
Q6ICG8,9.30769230769,69.3974358974,RSD
P50416,10.3076923077,76.7307692308,
Q9Y603,8.61538461538,6.75641025641,
P60014,10.3076923077,282.064102564,PhylomeDB
P39060,8.84615384615,142.474358974,PANTHER8_all
Q96QB1,5.38461538462,27.4230769231,Metaphors
Q9UPY5,24.0,461.5,
Q9H765,14.8461538462,247.641025641,Metaphors PhylomeDB
Q2NKX8,18.9230769231,111.91025641,
Q9H161,10.5384615385,69.4358974359,
Q96SB4,9.15384615385,65.9743589744,OMA_Groups
Q8WTV1,7.53846153846,11.7692307692,
Q96DM3,12.6923076923,9.39743589744,
Q5T0J3,0.307692307692,0.230769230769,
Q9C026,11.0,165.166666667,PANTHER8_all
Q96KS0,14.7692307692,355.358974359,
Q9H9T3,15.6923076923,72.3974358974,
P28336,3.61538461538,4.08974358974,
P35232,21.3846153846,198.756410256,
P0C7M8,6.92307692308,46.4102564103,PhylomeDB
Q8TDX6,3.53846153846,4.60256410256,EnsemblCompara_v2
Q96BX8,11.5384615385,60.6025641026,
Q9H553,13.6153846154,87.0897435897,
Q9Y5E7,4.46153846154,10.6025641026,Hieranoid_2
Q70CQ4,5.84615384615,45.3076923077,
Q86XD8,7.69230769231,35.8974358974,
Q9UHC7,12.2307692308,44.0256410256,
Q8N6T0,4.38461538462,1.92307692308,
ENSP00000390520,7.61538461538,92.5897435897,EnsemblCompara_v2
P04432,6.15384615385,75.141025641,PhylomeDB
P07306,3.84615384615,13.4743589744,
Q6AI12,5.92307692308,17.9102564103,Metaphors
Q96DR4,8.46153846154,67.6025641026,
Q8NCL4,14.8461538462,342.307692308,
O14628,5.92307692308,84.9102564103,Hieranoid_2
Q8N2A8,37.6923076923,377.564102564,
Q7Z589,2.15384615385,2.64102564103,
P32302,2.53846153846,6.4358974359,OMA_Pairs
A8MUK1,8.53846153846,138.769230769,
O00755,6.0,5.66666666667,EnsemblCompara_v2
Q96KN7,11.5384615385,116.269230769,
Q9NY99,5.23076923077,3.19230769231,EggNOG
Q86XM0,4.76923076923,23.6923076923,
Q86UP9,6.84615384615,2.97435897436,
Q6Q759,12.1538461538,60.8076923077,
P06746,28.8461538462,146.307692308,
Q9H3S4,19.0769230769,120.743589744,
P42025,8.07692307692,22.4102564103,
Q9Y4C0,6.30769230769,21.2307692308,PANTHER8_all
Q8NGP2,1.53846153846,2.26923076923,
Q86UV7,6.53846153846,109.769230769,Hieranoid_2
Q9Y6K5,7.0,25.8333333333,
Q5T7P6,1.84615384615,9.30769230769,EnsemblCompara_v2
O75191,15.1538461538,108.641025641,
O43306,11.8461538462,113.807692308,PANTHER8_all
Q15612,3.0,3.16666666667,Hieranoid_2
Q9Y2T6,1.30769230769,3.5641025641,PANTHER8_all
Q8IX07,7.53846153846,180.769230769,OMA_Pairs
P23471,7.69230769231,52.5641025641,InParanoidCore
P04183,35.3846153846,103.08974359,
Q5HYC2,7.0,33.0,PhylomeDB
Q9BPW9,22.1538461538,345.641025641,
Q16204,13.8461538462,152.974358974,PhylomeDB
P54296,5.53846153846,123.102564103,PANTHER8_all
Q86YE8,8.61538461538,121.756410256,Hieranoid_2
Q10567,6.38461538462,18.4230769231,OMA_Pairs EnsemblCompara_v2
A1L4L8,9.84615384615,94.141025641,
O43451,15.3076923077,276.230769231,RSD
Q68EA5,5.84615384615,88.3076923077,Hieranoid_2
Q9NUJ7,12.1538461538,61.3076923077,
P59052,0.307692307692,0.230769230769,
A6NMB9,10.7692307692,117.192307692,PANTHER8_all
Q5T6V5,12.3846153846,5.75641025641,OMA_Groups
P58876,9.61538461538,93.7564102564,EnsemblCompara_v2
Q9Y5T4,20.1538461538,137.807692308,
Q9NYL5,12.0,257.333333333,Metaphors
Q9Y243,18.6923076923,214.897435897,RSD
Q92499,22.0,128.833333333,
P0CK96,16.4615384615,60.7692307692,
Q7Z5N4,4.76923076923,21.358974359,PhylomeDB
Q8TEW0,3.0,4.33333333333,
Q96DZ7,0.461538461538,0.935897435897,
A6NND4,2.92307692308,6.07692307692,Hieranoid_2
P49279,26.1538461538,357.307692308,
Q6P2I7,1.0,0.0,
B7Z3A2,9.69230769231,59.3974358974,
Q9BZQ4,13.3076923077,194.564102564,PhylomeDB
P43155,5.92307692308,13.5769230769,OMA_Pairs
Q07654,4.23076923077,12.858974359,
P47224,8.69230769231,11.3974358974,
Q9H081,5.53846153846,22.2692307692,Metaphors
P35523,24.4615384615,287.269230769,
Q9UJH8,6.23076923077,8.02564102564,
Q96T76,8.15384615385,5.47435897436,OMA_Groups
P80370,9.15384615385,107.307692308,
Q8NHU0,5.23076923077,68.0256410256,EnsemblCompara_v2
Q9Y5L3,13.9230769231,76.0769230769,
Q9Y2V0,23.1538461538,27.4743589744,
Q8WUZ0,4.84615384615,8.30769230769,
Q17R55,1.38461538462,8.58974358974,Metaphors
A6NJW4,13.3076923077,323.730769231,PANTHER8_LDO PANTHER8_all
Q6UQ28,1.23076923077,0.358974358974,
Q9H8W5,20.8461538462,94.9743589744,PANTHER8_all
P52926,7.23076923077,39.1923076923,PANTHER8_all Metaphors
Q5QJ38,9.61538461538,161.256410256,
Q9NPF7,0.923076923077,0.0769230769231,
ENSP00000400080,4.53846153846,162.769230769,EggNOG
Q6ZRZ4,0.384615384615,0.25641025641,
Q9BWK5,1.0,0.0,
P07101,19.5384615385,369.602564103,
Q9UHB7,4.84615384615,52.9743589744,OMA_Pairs Hieranoid_2
P40199,4.92307692308,32.5769230769,PhylomeDB
Q9NZI8,3.53846153846,10.7692307692,PANTHER8_all
Q3SY00,3.15384615385,43.3076923077,PANTHER8_all
Q9NP97,15.6153846154,72.9230769231,
Q7Z6Z6,10.9230769231,112.243589744,
Q5T6L9,9.76923076923,48.0256410256,
Q9NVR7,17.1538461538,26.141025641,
O95633,9.0,76.6666666667,
Q9H6J7,1.07692307692,0.24358974359,
Q8TEE9,2.53846153846,1.60256410256,
Q9P2Y4,6.69230769231,63.7307692308,Hieranoid_2
A6BM72,11.1538461538,78.141025641,
Q96EI5,4.46153846154,28.7692307692,PhylomeDB
O15350,4.15384615385,6.47435897436,
A6NGH7,2.76923076923,7.85897435897,EnsemblCompara_v2
Q8TDV5,4.15384615385,32.9743589744,PANTHER8_all
O00470,10.9230769231,82.4102564103,
Q92908,10.8461538462,42.141025641,
Q92887,17.4615384615,189.935897436,RSD
Q9BQS2,10.0,63.0,
Q9UPR5,21.4615384615,332.769230769,
P57738,2.23076923077,1.69230769231,
Q8N0W3,33.6153846154,191.58974359,
P29120,18.8461538462,166.974358974,
Q9Y230,11.0,30.6666666667,PANTHER8_all
Q16778,10.7692307692,105.525641026,
Q53FV1,11.3846153846,70.4230769231,
Q96LA6,2.84615384615,9.97435897436,PhylomeDB
Q9UHD0,0.692307692308,0.897435897436,
Q9NYU2,10.6153846154,40.7564102564,
Q68DX3,13.7692307692,176.525641026,PANTHER8_all
Q5HYW3,5.69230769231,49.7307692308,PANTHER8_all
Q5VV43,17.7692307692,318.025641026,RSD
P20309,3.53846153846,29.1025641026,PANTHER8_all
Q9H222,19.6923076923,241.564102564,
Q99816,9.69230769231,12.7307692308,
Q9Y6A1,20.6923076923,316.230769231,
P39086,9.92307692308,115.91025641,PANTHER8_all
P0CG48,20.7692307692,145.525641026,EnsemblCompara_v2
