,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB
P32322,21,34,131,131,21,131,131,131,131,131,131,131,131
P61353,119,119,119,119,119,119,119,119,119,119,119,119,119
Q99963,34,55,55,37,119,112,55,80,80,54,119,112,112
Q9H0L4,12,12,12,18,18,131,112,131,119,131,112,112,112
Q8NGF7,1,1,18,21,27,1,None,1,37,27,34,27,27
Q8WZ60,36,36,34,55,54,112,36,37,112,54,54,112,112
Q9NX07,112,80,54,112,112,119,119,119,119,112,131,119,119
P35914,37,131,131,131,131,131,131,131,131,131,131,131,131
Q14507,1,1,1,1,1,1,None,21,21,21,21,21,21
Q9BZE7,58,55,55,58,None,112,58,55,58,119,None,55,55
Q9C0H6,34,27,34,34,34,84,34,55,112,55,119,112,131
Q16609,36,36,37,26,None,58,58,112,55,112,None,55,112
Q7RTY0,34,131,27,131,34,131,131,54,131,54,131,131,131
Q9UKN5,80,37,34,34,34,34,34,34,34,55,80,80,80
Q9NZQ3,80,80,55,55,84,80,54,55,55,55,84,80,55
O75368,34,34,37,54,34,84,34,54,58,58,84,112,84
Q8NGJ0,21,21,27,21,18,21,None,21,37,22,34,27,27
O94782,37,37,34,54,34,55,58,58,54,119,119,119,119
O43677,21,21,21,21,21,21,None,21,21,21,21,21,21
Q15365,18,18,112,80,18,112,80,112,112,None,112,112,112
Q96K12,21,21,54,21,54,112,119,119,119,119,131,112,55
Q9UKQ2,34,34,34,34,26,80,80,54,54,None,80,80,80
Q8NHY6,18,18,12,18,54,18,None,18,119,54,55,80,55
Q674X7,54,58,54,54,54,55,55,55,36,55,54,55,84
Q96J77,18,18,1,5,18,54,None,54,18,55,54,55,55
ENSP00000348221,None,None,None,None,None,None,None,None,None,None,None,1,1
Q99595,34,34,80,112,34,84,112,112,112,112,112,112,112
Q8IYB9,5,5,5,80,5,5,None,18,119,5,58,80,84
Q14190,27,36,27,54,27,54,55,55,37,54,55,54,54
P06753,34,21,37,26,131,55,58,55,58,80,131,119,124
P78369,34,27,34,27,34,34,34,36,36,34,36,36,36
ENSP00000402391,None,None,None,None,None,None,119,58,119,58,55,119,119
Q96NS5,34,34,34,34,131,34,34,34,37,37,131,112,119
Q53EZ4,34,34,34,34,34,34,34,34,34,34,34,34,124
Q8NGT7,18,18,18,18,18,18,None,22,37,22,27,34,27
P29372,131,131,55,131,131,131,131,131,131,131,131,131,131
P01031,34,131,34,34,34,54,34,34,131,None,131,55,131
Q6ZVK8,131,54,37,55,131,131,34,55,55,55,131,131,131
O95382,21,119,21,34,21,22,112,58,54,None,131,112,84
Q6F5E8,80,80,21,58,34,119,None,84,119,84,84,84,84
P0CI25,None,None,None,None,None,None,None,12,112,22,None,34,55
O14490,34,54,34,34,34,54,54,55,34,55,58,55,34
Q8NCM8,119,119,119,119,119,119,119,119,119,None,119,119,119
Q6ZMS4,None,None,5,26,5,21,None,22,119,22,80,80,84
P19634,34,131,34,34,34,131,55,131,58,131,131,131,131
Q6UVK1,54,54,34,54,54,54,54,54,54,55,54,55,55
Q96FV3,34,34,54,34,34,55,34,55,84,55,119,55,54
Q9H4M3,22,26,34,22,80,112,None,54,112,54,80,54,54
P15259,34,27,131,34,131,131,131,131,131,131,131,131,131
Q96SZ5,84,55,55,112,119,112,112,112,112,112,119,112,112
P0C0L4,None,None,None,None,None,18,37,37,131,None,None,55,131
P61296,37,54,34,37,34,54,55,55,55,54,55,55,54
Q9UN71,12,12,34,12,None,21,None,34,54,26,None,55,55
O15537,55,34,34,27,None,84,84,34,55,55,None,84,84
O43615,131,80,80,80,119,131,112,112,112,112,119,112,119
Q13946,80,80,80,80,80,80,80,80,119,119,131,119,119
Q8N1N2,12,21,21,5,None,21,None,21,21,21,None,21,21
Q08828,54,54,34,34,54,119,54,54,84,55,131,112,84
A4D1Z8,34,26,34,34,34,34,None,34,34,54,112,54,34
O43683,112,112,34,80,119,112,112,112,80,112,119,112,80
Q9NQZ8,5,5,27,5,5,5,None,5,119,80,80,80,84
Q16401,112,55,55,112,112,112,55,112,112,112,112,112,112
O00151,34,34,34,34,34,34,55,37,54,55,54,55,58
P56962,55,55,55,55,55,55,55,55,55,55,119,55,55
Q96P66,34,34,37,34,37,37,37,37,37,55,55,55,55
Q6PJ61,34,36,34,34,34,37,36,36,34,36,37,34,34
Q0VDI3,55,55,55,55,58,58,54,55,58,58,58,55,55
Q9H7D7,112,112,112,80,119,112,55,112,112,119,119,112,112
Q6ZRC1,21,21,21,21,None,21,None,21,21,21,None,21,21
Q5EBL4,55,55,55,55,55,55,54,55,55,55,55,55,54
P17025,18,18,27,36,18,18,None,18,119,54,80,80,80
Q9NUS5,37,37,34,37,84,37,37,37,54,37,84,37,37
P46934,27,58,5,5,27,58,80,119,80,None,119,80,119
Q15629,34,54,55,112,55,55,55,55,55,55,55,112,84
Q16799,34,36,26,34,34,119,55,55,112,55,131,112,55
P36402,21,21,26,34,34,22,55,55,54,55,54,54,54
Q8NGX1,None,None,None,None,18,None,None,18,37,22,27,18,55
Q96S66,55,55,34,34,55,55,37,55,55,55,55,37,55
Q14681,34,34,54,54,34,112,55,55,84,112,131,112,112
Q8WTW3,112,112,112,112,119,112,112,112,112,112,119,112,112
Q8WXG8,34,34,34,34,34,34,27,34,34,34,112,36,84
O60359,34,34,34,34,37,34,37,37,54,54,54,54,54
Q5M8T2,80,55,112,112,112,112,34,112,112,112,131,112,112
Q96C01,112,55,55,112,112,112,54,55,112,112,112,112,112
P17677,34,34,34,80,54,34,34,34,34,34,112,34,27
Q01668,34,55,54,34,34,58,55,55,119,119,119,80,112
P26992,34,34,34,34,34,34,34,34,34,34,54,34,55
P35226,34,37,37,34,54,55,55,112,112,112,112,112,58
Q9BY76,27,34,34,34,34,34,54,37,54,54,58,55,58
Q99570,119,119,112,112,119,119,119,119,112,119,119,112,112
Q99895,22,22,27,54,55,27,54,22,131,21,55,54,55
Q96R47,12,18,18,18,18,34,None,22,37,22,27,26,27
Q8TCV5,22,22,18,18,22,22,None,22,22,55,55,34,55
Q96JF0,37,54,27,27,112,54,54,54,54,55,112,112,112
Q9BZ23,34,84,55,34,27,55,119,119,112,124,124,124,119
Q05682,34,34,34,131,34,34,27,34,34,131,34,34,34
P11055,18,18,22,22,27,18,112,84,131,None,119,112,131
Q9ULG3,18,18,18,18,None,18,None,18,18,18,None,18,18
P23435,34,34,27,34,37,36,36,36,54,37,37,54,36
Q13349,18,27,22,18,36,34,34,36,36,55,55,55,55
Q6NUS6,54,112,36,112,34,119,27,112,119,112,119,112,119
Q9Y247,12,12,112,12,12,112,112,112,112,112,112,112,112
Q69384,None,None,18,None,None,21,None,21,18,21,None,None,21
P15586,58,80,80,131,131,131,131,131,131,131,131,131,80
Q96S53,37,55,26,36,54,54,84,84,37,112,131,131,131
Q8NHV5,58,55,5,54,None,58,58,55,5,58,None,55,58
ENSP00000362696,1,None,None,None,None,1,None,None,1,1,None,None,None
Q9H7P9,21,21,18,18,54,54,34,58,21,80,84,55,80
P61927,124,119,119,119,124,124,55,119,124,124,124,124,124
Q96A84,27,27,27,21,27,37,27,27,37,37,131,54,27
O14775,55,55,80,55,55,55,55,112,112,131,119,112,131
Q9BYU1,18,18,26,26,18,112,84,54,112,55,119,112,119
Q9H2M3,21,21,21,22,55,131,None,131,112,22,131,131,131
Q9P2F9,34,34,34,34,34,34,34,34,119,54,80,80,84
Q8NGE7,22,22,18,22,18,22,None,22,37,22,37,26,27
Q9Y675,12,12,12,12,12,12,None,12,12,12,12,55,12
Q9P086,55,55,55,55,55,55,55,55,55,55,55,80,55
P56880,34,34,34,34,34,34,34,34,34,34,36,36,34
P14061,34,34,34,34,131,131,58,131,112,131,131,124,124
Q9H2X8,18,34,34,18,112,34,None,34,34,112,112,34,26
Q96RD6,34,55,34,34,34,54,34,34,34,37,37,34,54
Q9H295,34,34,34,34,34,34,34,34,34,54,54,54,34
Q9UDX3,18,18,54,119,21,119,112,112,112,37,119,119,119
Q6PCB6,34,34,54,34,131,112,112,131,112,131,131,131,131
Q8NC26,5,5,5,5,5,18,None,18,5,18,58,55,55
Q9HAZ2,34,54,34,34,54,54,54,54,119,55,54,80,80
P15090,26,21,54,26,27,26,None,54,54,54,54,54,54
P56211,34,34,34,26,80,80,36,55,55,55,80,80,80
Q86UX7,34,34,34,34,34,34,34,55,55,55,55,55,55
Q12889,80,80,18,18,22,119,112,131,131,58,131,131,131
Q70EL4,34,55,34,34,55,54,55,55,55,None,119,119,119
Q5JSH3,119,119,37,54,119,119,119,119,80,119,119,112,112
B8ZZ34,None,None,None,None,None,22,22,22,34,26,34,34,34
P82650,55,55,55,55,58,58,58,58,58,58,58,55,55
ENSP00000388798,None,None,None,None,None,55,None,None,55,58,None,55,119
Q9NUP9,34,55,54,54,58,54,55,55,55,55,58,55,58
Q8N2I2,18,18,18,18,18,18,None,18,119,26,55,80,54
Q9NX00,34,34,21,34,34,34,34,34,34,34,34,34,34
Q96GW7,55,34,34,34,37,55,34,55,34,37,37,80,37
P00167,54,80,54,119,119,119,119,119,119,119,119,119,119
Q8TDB8,1,1,54,80,1,80,131,131,58,119,131,131,112
O00338,21,21,54,112,55,112,112,55,131,None,131,112,112
Q99942,27,34,27,34,27,119,34,119,112,119,119,112,112
Q9Y2D0,27,34,54,34,34,34,34,55,131,131,131,112,131
Q6ZP57,1,1,1,1,None,1,None,1,1,1,None,None,None
Q9BWQ6,21,119,112,119,21,119,119,119,119,119,119,119,119
Q2V2M9,55,55,37,55,34,55,55,55,84,None,119,112,55
A6NI15,34,34,27,34,34,36,34,34,34,34,54,37,54
Q9NS28,34,34,27,34,27,34,34,54,84,84,119,119,119
O75462,34,34,37,37,34,34,34,34,37,37,54,37,55
Q6PIW4,84,119,34,37,54,119,119,119,112,None,131,124,124
Q14028,34,54,18,21,54,37,54,58,112,None,119,119,119
Q5JS37,131,131,37,34,37,58,58,131,37,58,131,131,54
Q9NRL2,112,54,54,80,80,119,55,112,80,58,119,55,54
Q9H1P3,34,55,112,80,34,112,119,112,119,None,131,119,119
P43490,18,26,131,None,131,131,131,131,131,131,131,131,131
Q9GZS1,112,55,55,80,112,112,55,80,112,55,112,112,112
P80421,None,None,34,None,None,None,None,None,None,26,34,80,34
Q9NR00,34,34,34,34,26,34,34,34,34,34,26,34,34
Q96QI5,27,27,55,27,34,112,112,55,131,84,131,131,131
Q8NE18,55,55,34,36,55,54,55,55,55,119,55,131,131
Q8WX39,18,18,18,18,18,21,None,21,22,22,112,34,34
Q8IX95,None,None,None,None,None,None,None,27,None,54,18,None,None
P21757,27,27,22,22,22,37,55,55,55,55,37,55,55
O75807,54,54,18,18,55,54,None,18,18,34,55,34,18
Q56P03,112,112,37,55,112,112,112,112,112,112,112,112,112
Q92466,112,112,37,54,112,112,112,112,54,112,112,131,131
Q9BUW7,54,34,34,34,None,54,34,34,34,34,None,54,54
Q8NC60,131,131,55,112,131,131,131,131,131,131,131,131,131
Q86SE8,27,27,22,27,34,27,34,27,54,55,55,55,55
Q92934,34,18,18,18,34,34,34,34,18,34,34,37,34
Q9BWF3,21,21,22,34,37,112,54,112,112,112,131,84,112
Q86SG2,21,21,21,21,119,84,80,21,21,119,119,131,131
O95714,55,55,55,55,55,131,112,131,55,None,119,84,55
O00567,119,124,119,119,124,124,124,124,124,124,124,124,124
P53367,34,54,54,34,34,54,58,55,58,58,58,58,58
Q13148,55,55,55,80,55,55,112,55,55,112,131,80,55
Q92886,34,27,34,37,54,54,54,55,55,55,55,55,54
Q9H095,58,58,58,58,58,58,58,58,119,58,58,119,124
Q9BXP2,80,80,54,80,80,80,80,124,80,124,124,124,124
Q8N9B5,34,54,34,26,34,37,34,54,37,54,55,34,34
P13164,5,5,18,5,5,5,34,34,34,34,34,27,37
O95749,131,124,124,131,124,131,124,131,112,124,131,119,119
Q9H321,None,None,None,119,5,55,None,5,5,5,5,None,None
P30460,None,None,26,None,None,None,34,34,34,22,34,26,34
A8MYJ7,34,34,34,34,21,55,55,55,34,55,131,55,80
Q6P575,54,54,54,54,22,131,131,54,54,119,131,131,131
Q96AD5,34,54,34,27,34,55,55,55,112,112,119,112,112
Q9BTE0,119,119,112,112,124,119,112,112,119,119,131,112,112
Q86X60,None,None,5,None,80,58,80,55,58,80,80,58,80
Q71RC2,34,54,34,34,54,55,55,55,34,55,119,55,37
P0C5J1,None,None,54,None,None,112,112,80,119,112,None,112,131
O75949,34,36,26,26,36,36,34,34,37,36,36,37,55
Q00722,34,34,34,34,34,34,34,58,119,119,119,119,119
P42768,34,54,34,84,119,84,55,84,84,131,119,84,84
P61024,54,119,119,119,119,119,119,119,119,119,119,119,119
P09238,12,12,37,22,12,12,None,27,112,None,37,112,112
A6NK53,5,5,5,5,5,5,None,5,119,18,80,80,84
P32780,112,112,55,112,112,112,112,112,112,112,112,112,112
Q8NER5,34,34,26,27,34,54,34,55,55,55,55,119,119
ENSP00000409248,None,None,None,None,None,None,None,18,18,18,None,1,5
P15374,58,119,119,112,119,119,119,119,119,119,119,119,119
O43765,34,119,80,34,34,131,119,131,119,119,119,131,131
P56278,26,26,26,26,22,26,None,26,26,26,22,26,26
O75460,37,119,55,55,112,112,119,112,119,119,112,112,80
Q9BZG1,34,54,36,54,34,54,54,55,55,119,131,119,112
Q9P1Q5,18,18,27,18,18,18,None,18,37,27,27,34,27
Q9NSA1,34,18,34,34,34,27,34,34,34,34,55,55,55
Q9NXR8,80,80,54,80,54,112,34,119,112,119,112,112,112
Q9NYU1,119,119,80,80,119,119,119,119,119,119,119,119,119
Q9BUB4,112,119,84,84,54,84,84,84,80,119,119,112,119
P60866,131,124,124,131,124,131,124,124,119,124,131,131,131
Q9UMX5,112,112,34,119,37,119,112,112,55,112,119,58,119
P28067,5,18,26,None,27,27,34,27,27,34,34,34,34
Q9C0K3,1,1,1,36,None,80,119,119,1,119,None,119,119
O43286,26,37,27,37,27,55,37,112,112,112,58,112,58
Q8NC67,34,54,34,54,84,54,54,54,54,55,84,55,55
Q9NZQ8,34,80,34,34,34,34,34,58,58,58,58,58,58
Q8N2C9,1,1,1,1,None,1,None,1,1,1,None,1,None
P27352,22,26,27,22,21,54,55,55,55,34,55,55,55
ENSP00000366202,None,None,None,None,None,None,None,None,None,None,None,119,18
Q9H1E1,5,5,21,5,5,18,None,21,34,34,34,34,34
Q9HA90,37,37,37,37,None,37,37,37,37,37,None,34,37
C9JDP6,21,21,21,34,21,21,34,34,34,34,36,36,36
Q9H910,34,34,34,34,34,34,34,34,34,34,34,54,54
Q7Z5U6,112,112,84,112,131,112,112,112,112,112,131,112,131
Q9ULJ7,80,119,34,34,119,131,119,80,131,None,119,80,112
Q6Q788,26,26,21,21,26,26,None,26,54,34,131,112,131
Q9ULC6,21,21,26,21,26,26,80,80,80,80,80,37,80
P33240,22,34,34,54,112,112,112,112,119,131,112,112,112
P0C7V5,None,None,None,None,None,None,None,None,119,18,55,55,34
O60312,34,119,54,80,34,54,112,55,80,None,112,112,112
Q66K41,34,34,34,34,34,34,None,34,55,34,112,54,55
Q52WX2,54,54,34,131,34,54,54,54,131,58,119,119,112
Q6ICI0,21,21,21,55,55,55,None,21,37,21,55,55,55
P21127,119,119,34,112,119,112,112,112,112,112,119,None,None
P13349,34,54,27,27,54,37,37,54,54,54,54,54,54
Q8NEG0,22,22,22,22,21,18,None,18,22,22,131,22,21
Q9Y4H2,34,34,21,131,34,54,55,55,54,55,54,55,37
Q13507,27,27,36,27,27,54,37,58,80,58,58,55,58
Q6DD88,34,34,36,34,34,54,34,112,112,112,112,112,112
P53355,119,119,54,54,34,55,119,55,54,119,119,112,112
Q68BL7,34,36,36,34,34,36,34,36,36,54,54,54,54
P29275,37,34,34,36,34,54,55,54,54,55,55,55,55
Q5VZP5,119,34,34,34,34,34,34,112,34,119,131,55,34
Q5VU92,None,1,1,1,1,1,55,55,55,55,131,55,55
Q14003,18,18,18,18,55,34,None,55,131,55,131,55,55
Q7RTS1,34,34,22,22,36,55,55,36,34,55,55,55,54
A6NNL0,None,None,18,None,None,18,None,22,22,22,None,22,22
Q7L804,34,54,34,34,34,54,37,54,80,54,54,112,36
O15442,34,34,58,80,131,131,131,131,80,131,131,131,119
Q9NXK8,54,37,36,55,18,54,55,54,55,55,131,80,55
Q9NUQ8,119,131,131,131,131,131,131,131,119,131,131,131,131
P25787,119,119,119,119,119,119,119,119,119,124,131,124,124
Q9H4M7,27,27,27,27,27,80,34,54,119,54,80,36,27
Q8N148,21,21,21,21,18,21,None,21,37,27,55,27,27
Q9Y284,112,55,55,112,112,112,55,55,112,55,112,112,112
A8MVJ9,None,None,1,1,1,1,58,55,58,55,58,55,58
Q9Y6G1,34,34,80,80,34,80,54,80,112,84,112,112,112
Q9NYK1,26,26,26,112,26,37,None,54,80,None,119,119,131
P81534,18,18,18,18,18,18,None,18,18,18,26,26,18
Q9NVH6,80,112,80,80,131,112,112,112,131,80,131,80,80
O95833,27,22,34,34,27,112,55,112,112,112,131,112,112
Q17RG1,37,37,21,26,26,26,37,37,37,37,119,80,37
Q3KP22,37,37,18,18,None,37,37,37,18,37,None,37,22
P47895,34,80,131,131,34,131,131,131,131,131,131,131,80
Q6ZVC0,34,34,34,34,34,34,34,34,34,34,34,34,34
Q7Z4F1,34,34,34,34,21,34,34,54,54,55,112,54,54
Q641Q3,34,34,54,34,34,55,34,54,55,54,34,54,55
Q96I27,5,5,54,5,18,5,None,5,119,54,80,80,55
Q9NRR4,84,84,54,54,131,131,131,131,84,131,131,112,55
Q96IX9,None,None,None,None,None,None,None,None,None,34,None,26,18
P03956,26,22,27,22,27,112,None,27,112,None,37,124,124
P07711,5,34,119,54,18,119,84,119,131,55,131,112,119
Q14833,34,34,54,34,34,131,37,55,55,55,112,54,84
Q6ISS4,1,1,21,1,1,26,None,12,26,21,22,34,26
ENSP00000403148,None,None,None,None,None,None,None,None,None,None,None,5,5
Q8NGQ7,1,1,1,1,None,1,None,1,37,22,None,None,None
Q9Y4A9,5,18,21,None,22,22,None,22,37,22,55,34,27
Q86VY9,34,54,34,34,34,54,34,34,34,34,34,34,34
ENSP00000388414,None,None,12,None,None,80,55,55,54,55,112,54,80
Q9H977,119,55,55,55,112,119,55,55,119,55,112,80,119
P11465,1,1,1,1,1,5,None,34,54,21,37,55,55
Q53GQ0,112,119,112,112,131,131,55,131,131,131,131,131,119
Q6ICG8,54,54,18,54,18,112,34,55,112,55,112,55,55
P50416,34,54,54,54,119,58,37,119,119,58,119,119,55
