,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,Avg,HGT_flag
Q13363,1,1,0,52,36,39,45,41,2,34,34,18,17,24.615384615384617,False
Q8IYL3,1,0,0,0,1,1,4,1,1,1,1,0,1,0.9230769230769231,False
Q6DKI7,3,3,3,3,3,3,1,3,3,3,3,2,3,2.769230769230769,False
Q9HD47,15,4,21,21,0,14,21,21,11,14,0,13,13,12.923076923076923,False
Q9BZW2,0,47,0,0,0,51,0,39,8,44,38,24,27,21.384615384615383,False
Q9UBD3,1,1,4,1,1,5,1,1,2,0,2,2,0,1.6153846153846154,False
Q9Y5A6,1,1,1,8,1,1,1,1,25,1,1,14,7,3.1666666666666665,False
ENSP00000381320,0,1,1,1,1,1,1,1,0,1,1,1,1,0.8461538461538461,False
Q9Y6E0,2,15,10,2,0,20,9,9,17,15,29,12,14,10.416666666666666,False
Q9BVV6,2,2,2,2,0,1,1,1,2,1,0,0,0,1.0769230769230769,False
Q96I51,14,4,3,18,4,13,12,3,3,1,38,19,44,11.0,False
P48023,1,1,1,2,1,1,1,1,1,2,5,6,8,1.9166666666666667,False
ENSP00000393459,1,1,1,1,1,1,1,1,1,1,1,2,3,1.2307692307692308,False
Q8N5S1,0,0,2,29,0,0,5,19,16,18,6,6,5,6.416666666666667,False
Q969V4,9,8,7,7,6,6,6,7,5,11,6,23,22,7.090909090909091,False
Q96B70,8,8,1,3,21,21,27,16,26,15,21,9,2,13.692307692307692,False
Q9UL01,1,1,1,1,2,52,53,51,52,51,51,8,8,25.53846153846154,True
Q16880,4,18,6,1,0,17,6,4,15,1,32,18,4,7.833333333333333,False
O75864,11,12,2,28,3,11,2,13,18,14,13,19,14,11.0,False
Q86U17,0,0,0,0,0,0,0,5,0,52,38,52,47,14.923076923076923,False
Q8WVH0,2,2,3,2,3,3,3,3,3,3,6,3,9,3.0,False
P0C881,1,1,11,1,9,51,23,42,8,1,39,22,23,17.846153846153847,False
Q92521,8,8,13,11,9,6,5,6,7,6,9,6,6,7.25,False
Q96A44,1,1,6,5,2,14,2,2,3,7,2,5,16,4.166666666666667,False
Q15743,1,1,1,1,1,1,1,1,1,1,1,6,5,1.6923076923076923,False
P11277,13,13,3,2,1,3,3,8,11,1,14,11,11,7.230769230769231,False
Q9NYZ2,3,9,16,18,0,12,4,6,5,25,4,6,4,7.25,False
A6NKB5,4,4,4,4,3,1,2,21,25,24,24,2,5,9.461538461538462,False
Q8TCY9,2,2,2,2,4,4,3,3,3,4,4,20,26,4.416666666666667,False
Q12888,12,12,3,4,13,15,16,5,8,6,13,3,8,9.076923076923077,False
Q8TDM0,2,2,2,2,2,26,12,2,10,5,16,11,12,6.5,False
Q14114,3,2,7,3,5,7,1,6,3,8,20,2,4,4.25,False
P19440,0,0,46,56,30,26,2,20,23,43,25,27,18,24.307692307692307,False
Q6IB77,0,3,6,2,1,11,1,3,51,5,8,6,5,4.25,False
O00267,10,9,18,12,8,9,14,5,9,4,8,8,8,8.666666666666666,False
P79483,1,1,1,1,1,1,7,2,4,7,1,1,4,2.4615384615384617,False
Q7LFX5,24,2,3,3,3,2,2,2,3,2,3,52,51,4.454545454545454,False
A6NC42,3,2,1,3,1,1,1,1,1,1,1,1,2,1.4615384615384615,False
Q9BTC0,22,22,1,10,8,9,3,13,7,10,8,16,4,10.23076923076923,False
Q8WW12,7,7,2,1,4,4,4,4,7,4,4,3,8,4.538461538461538,False
P09669,7,3,1,6,1,4,9,1,3,6,1,6,6,4.153846153846154,False
Q9BVA0,47,4,6,21,16,17,14,18,18,12,16,42,37,20.615384615384617,False
Q9BRX8,5,5,6,6,1,22,25,21,21,19,1,19,20,13.153846153846153,False
Q12950,1,1,1,1,1,29,7,11,17,9,3,13,2,5.583333333333333,False
P78368,4,10,5,0,2,12,2,5,5,21,4,8,8,5.416666666666667,False
Q86VY4,0,1,1,1,1,25,1,23,19,24,11,23,26,12.0,False
P23769,2,16,1,2,4,14,20,3,14,4,7,17,4,8.307692307692308,False
Q8N2U9,13,11,15,16,12,9,15,13,12,10,11,6,12,11.923076923076923,False
P06314,1,1,5,1,4,1,8,2,23,6,21,7,25,8.076923076923077,False
Q9H0X9,3,18,2,1,3,22,8,7,4,1,33,10,13,7.666666666666667,False
Q8WUA4,21,20,2,20,17,21,4,6,24,22,17,16,19,16.076923076923077,False
O75072,7,6,7,7,7,5,5,5,6,5,7,5,6,6.0,False
Q96RE7,2,24,1,2,2,1,1,1,1,1,15,7,6,3.3333333333333335,False
P02144,2,2,2,2,2,2,2,2,2,1,3,18,20,2.0,False
O14610,4,4,4,4,3,3,3,3,8,3,6,8,3,3.6363636363636362,False
Q92839,3,22,5,2,3,42,1,47,51,51,50,46,48,28.53846153846154,True
Q05DH4,4,15,4,5,4,14,3,3,18,3,11,3,4,6.083333333333333,False
Q8TA86,17,18,10,8,1,16,16,16,5,7,1,5,17,10.538461538461538,False
P15336,18,16,1,7,0,20,6,11,4,8,8,13,11,9.461538461538462,False
O00587,3,1,2,2,0,2,3,5,17,5,17,14,3,5.6923076923076925,False
Q9UJ78,2,2,0,3,1,0,1,2,2,2,5,0,2,1.6923076923076923,False
Q96PE7,35,46,41,37,31,35,37,35,35,35,31,33,30,34.583333333333336,True
O00244,12,2,19,18,41,18,2,8,22,19,41,42,15,19.923076923076923,False
Q6ZRH9,1,1,1,1,1,1,1,1,1,1,1,16,1,1.0,False
O15428,1,1,1,1,1,1,11,1,1,1,1,14,15,2.9166666666666665,False
ENSP00000412468,1,1,1,1,1,1,1,1,1,30,1,1,1,1.0,False
P52848,0,0,0,0,0,51,0,1,1,12,42,42,41,14.615384615384615,False
Q9UI30,7,17,9,11,9,5,11,6,6,6,9,7,6,7.666666666666667,False
O43610,4,12,5,5,9,3,9,6,5,7,9,6,4,6.0,False
Q8TAF7,3,3,3,3,3,3,1,3,27,4,25,19,25,9.384615384615385,False
Q5PR19,1,1,1,1,1,1,1,1,0,3,28,3,8,1.8333333333333333,False
Q9H3W5,2,2,2,2,2,8,2,6,8,7,7,17,6,4.5,False
Q9BXM9,2,1,5,10,2,2,1,1,23,1,2,3,4,2.8333333333333335,False
Q99729,1,24,4,21,4,22,8,5,6,25,34,8,13,13.461538461538462,False
P29350,0,2,0,0,11,0,7,5,13,9,11,18,18,7.230769230769231,False
Q96MH7,4,3,3,3,1,8,8,8,3,8,1,8,3,4.6923076923076925,False
P32322,0,4,46,57,0,34,35,7,12,45,9,23,22,22.615384615384617,False
P61353,9,12,8,9,4,4,4,4,4,6,4,5,4,5.416666666666667,False
Q99963,3,7,9,4,12,16,10,11,9,6,11,9,10,8.416666666666666,False
Q9H0L4,0,0,1,2,1,53,7,35,24,36,7,8,9,10.833333333333334,False
Q8NGF7,0,0,4,5,6,0,1,0,11,3,7,5,6,3.0833333333333335,False
Q8WZ60,2,1,2,9,7,22,0,0,22,4,7,18,20,8.76923076923077,False
Q9NX07,16,12,7,20,14,10,9,11,20,18,40,8,10,12.916666666666666,False
P35914,2,42,50,50,30,26,30,25,32,50,30,25,28,32.30769230769231,True
Q14507,0,0,0,0,0,0,1,2,2,1,1,2,2,0.8461538461538461,False
Q9BZE7,5,6,4,5,1,18,4,4,4,21,1,3,4,4.916666666666667,False
Q9C0H6,2,1,3,2,1,19,1,6,20,5,19,17,48,8.0,False
Q16609,11,11,12,8,1,18,18,34,17,32,1,13,34,16.153846153846153,False
Q7RTY0,2,52,2,54,1,46,54,6,34,4,31,36,38,27.692307692307693,True
Q9UKN5,19,3,2,2,1,1,1,1,2,8,13,11,18,6.3076923076923075,False
Q9NZQ3,13,14,9,7,5,11,2,2,4,3,5,12,3,6.923076923076923,False
O75368,1,1,2,7,1,17,1,4,8,7,13,18,15,7.3076923076923075,False
Q8NGJ0,0,0,4,0,3,0,1,0,4,0,4,2,2,1.5384615384615385,False
O94782,2,2,1,6,1,8,5,6,5,22,13,21,19,8.538461538461538,False
O43677,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07692307692307693,False
Q15365,2,2,30,26,2,28,8,12,14,1,4,9,9,11.307692307692308,False
Q96K12,0,0,10,0,7,24,27,21,22,18,45,13,4,12.166666666666666,False
Q9UKQ2,4,4,4,4,1,22,20,7,9,1,7,13,8,6.833333333333333,False
Q8NHY6,1,1,0,1,11,1,1,1,27,12,10,15,7,5.083333333333333,False
Q674X7,7,8,10,8,6,2,4,4,4,2,6,2,15,5.25,False
Q96J77,0,0,0,0,0,12,1,12,0,8,4,3,4,3.3846153846153846,False
ENSP00000348221,1,1,1,1,1,1,1,1,1,1,1,0,0,0.8461538461538461,False
Q99595,1,2,15,22,1,14,3,3,4,18,4,4,4,6.083333333333333,False
Q8IYB9,1,1,1,29,1,1,1,4,29,1,5,12,15,3.909090909090909,False
Q14190,0,2,3,9,1,5,2,3,2,4,3,2,4,2.5833333333333335,False
P06753,5,2,4,2,40,7,4,4,6,19,40,19,23,13.461538461538462,False
P78369,2,2,2,2,2,2,2,2,2,2,2,2,4,2.1538461538461537,False
ENSP00000402391,1,1,1,1,1,1,24,11,29,13,8,24,27,10.923076923076923,False
Q96NS5,2,2,2,2,42,2,2,2,3,5,42,22,26,11.846153846153847,False
Q53EZ4,0,0,2,1,1,0,0,0,0,0,1,0,33,0.4166666666666667,False
Q8NGT7,3,3,3,3,3,3,1,3,7,5,4,4,5,3.6153846153846154,False
P29372,45,49,9,48,40,39,40,42,41,39,40,40,40,39.38461538461539,True
P01031,2,54,2,3,2,7,1,1,49,1,45,3,50,16.923076923076923,False
Q6ZVK8,47,3,3,7,40,41,3,3,3,3,40,25,22,18.46153846153846,False
O95382,0,31,0,4,0,0,20,8,8,1,32,17,17,10.615384615384615,False
Q6F5E8,22,21,1,14,4,29,1,17,29,21,16,14,17,15.846153846153847,False
P0CI25,1,1,1,1,1,1,1,0,28,5,1,6,15,2.8333333333333335,False
O14490,2,7,2,3,2,6,5,5,3,8,6,5,2,4.3076923076923075,False
Q8NCM8,24,23,25,25,23,18,18,18,24,1,23,18,16,19.692307692307693,False
Q6ZMS4,1,1,1,7,1,5,1,7,30,4,20,14,20,6.833333333333333,False
P19634,1,52,2,2,1,51,2,44,5,41,25,43,43,24.0,False
Q6UVK1,4,4,3,7,11,2,4,2,7,3,11,3,7,5.230769230769231,False
Q96FV3,4,4,10,4,2,11,2,4,16,12,18,6,6,7.615384615384615,False
Q9H4M3,1,1,4,1,18,23,1,6,22,7,18,5,7,8.76923076923077,False
P15259,2,2,35,2,30,44,38,31,31,40,30,29,44,27.53846153846154,True
Q96SZ5,15,5,10,21,21,16,18,16,16,16,20,17,16,15.923076923076923,False
P0C0L4,1,1,1,1,1,4,1,2,46,1,1,4,50,1.6363636363636365,False
P61296,4,6,3,4,2,7,5,5,6,7,4,5,7,5.0,False
Q9UN71,2,2,6,2,1,4,1,5,12,3,1,11,12,4.769230769230769,False
O15537,6,1,2,0,1,19,18,0,5,5,1,17,18,7.153846153846154,False
O43615,33,1,10,6,7,30,2,4,4,2,7,4,6,4.818181818181818,False
Q13946,20,19,20,19,17,18,17,17,22,23,39,21,22,19.583333333333332,False
Q8N1N2,0,4,4,0,1,4,1,4,2,1,1,3,4,2.230769230769231,False
Q08828,5,6,2,2,5,25,6,4,17,8,36,20,18,9.833333333333334,False
A4D1Z8,4,2,4,4,4,4,1,4,4,9,21,10,4,4.5,False
O43683,11,18,1,15,13,14,9,9,10,12,13,9,10,11.076923076923077,False
Q9NQZ8,0,0,7,0,0,0,1,0,28,22,15,16,22,8.538461538461538,False
Q16401,15,3,6,18,17,17,3,18,16,17,17,18,16,13.923076923076923,False
O00151,1,1,1,1,1,1,9,2,4,8,4,3,6,2.75,False
P56962,3,3,5,3,3,3,4,3,4,2,4,2,3,3.230769230769231,False
Q96P66,3,3,6,5,3,3,3,3,8,8,4,6,7,4.769230769230769,False
Q6PJ61,4,4,5,4,7,6,4,4,4,4,7,4,5,4.769230769230769,False
Q0VDI3,3,4,6,3,3,3,12,3,3,3,3,3,3,3.3333333333333335,False
Q9H7D7,8,9,15,9,6,6,2,5,6,4,6,6,12,6.583333333333333,False
Q6ZRC1,2,2,2,2,1,0,1,0,2,0,1,0,0,1.0,False
Q5EBL4,4,4,5,4,5,4,5,4,4,9,5,4,7,4.923076923076923,False
P17025,3,3,6,9,2,2,1,3,27,13,16,14,19,7.583333333333333,False
Q9NUS5,4,4,4,4,20,4,4,4,8,4,20,4,4,4.363636363636363,False
P46934,1,8,0,0,0,8,14,13,2,1,3,8,15,5.615384615384615,False
Q15629,1,6,3,18,1,3,2,1,1,5,1,9,13,3.8333333333333335,False
Q16799,0,0,0,2,0,23,2,1,25,4,38,14,3,6.166666666666667,False
P36402,0,0,3,3,1,0,11,9,10,10,3,2,2,4.153846153846154,False
Q8NGX1,1,1,1,1,5,1,1,5,12,2,6,4,16,3.3333333333333335,False
Q96S66,6,6,2,1,9,6,1,6,6,6,9,1,6,5.0,False
Q14681,2,2,9,7,1,24,2,2,12,17,41,14,17,9.083333333333334,False
Q8WTW3,16,16,25,21,17,15,17,17,19,15,17,18,18,17.166666666666668,False
Q8WXG8,1,2,2,2,1,1,1,1,1,4,24,1,20,3.0833333333333335,False
O60359,1,0,1,1,1,0,2,1,6,5,4,5,4,2.3846153846153846,False
Q5M8T2,16,6,22,22,21,21,1,21,20,9,49,21,20,16.666666666666668,False
Q96C01,22,7,4,23,16,16,7,3,16,18,16,15,16,13.76923076923077,False
P17677,2,1,2,20,6,1,1,1,1,1,22,2,1,1.7272727272727273,False
Q01668,2,5,7,2,2,4,6,2,19,21,9,8,18,8.076923076923077,False
P26992,2,2,4,3,4,1,1,1,2,3,9,1,8,2.6666666666666665,False
P35226,1,3,2,2,4,6,4,19,19,17,15,19,7,9.076923076923077,False
Q9BY76,1,2,4,4,3,1,6,3,7,8,4,4,9,4.3076923076923075,False
Q99570,8,8,16,12,7,2,2,3,5,2,7,4,4,5.333333333333333,False
Q99895,1,1,3,10,5,1,6,1,55,0,5,5,9,3.9166666666666665,False
Q96R47,3,4,3,4,3,8,1,2,6,4,3,4,7,3.6666666666666665,False
Q8TCV5,0,0,4,4,0,0,1,0,0,12,5,3,11,2.3333333333333335,False
Q96JF0,2,6,0,1,19,3,3,3,4,7,19,19,20,8.153846153846153,False
Q9BZ23,4,21,8,3,2,10,18,17,10,24,25,17,12,13.153846153846153,False
Q05682,3,3,4,46,1,1,2,1,2,55,1,1,4,5.75,False
P11055,0,0,1,1,3,1,13,9,32,1,9,11,41,6.75,False
Q9ULG3,3,3,3,3,1,3,1,3,3,3,1,2,2,2.3846153846153846,False
P23435,1,1,1,1,3,2,1,1,7,3,3,6,2,2.0833333333333335,False
Q13349,2,4,2,2,1,4,1,1,1,6,3,3,5,2.6923076923076925,False
Q6NUS6,8,25,3,25,2,22,2,22,27,20,22,21,26,17.307692307692307,False
Q9Y247,1,1,30,1,1,28,13,15,14,10,7,13,9,11.0,False
Q69384,1,1,5,1,1,6,1,3,3,3,1,1,4,2.0833333333333335,False
P15586,5,14,12,45,40,40,38,39,42,44,39,38,10,31.23076923076923,True
Q96S53,4,6,0,2,5,7,14,12,2,17,39,41,46,15.0,False
Q8NHV5,5,4,0,7,1,3,3,3,0,3,1,4,3,2.5,False
ENSP00000362696,0,1,1,1,1,0,1,1,0,0,1,1,1,0.6923076923076923,False
Q9H7P9,1,1,1,1,6,11,5,8,1,16,6,6,24,5.25,False
P61927,11,12,7,16,5,4,3,3,13,7,5,7,9,7.846153846153846,False
Q96A84,1,1,3,2,3,5,2,1,5,7,42,8,2,3.3333333333333335,False
O14775,6,6,15,5,5,3,3,15,18,43,9,14,41,9.0,False
Q9BYU1,2,2,4,3,2,28,21,11,24,9,10,15,20,11.615384615384615,False
Q9H2M3,1,1,0,0,10,54,1,55,24,0,35,33,35,19.153846153846153,False
Q9P2F9,3,2,2,3,2,2,1,2,24,8,16,11,18,5.833333333333333,False
Q8NGE7,3,3,1,2,2,0,1,0,4,1,4,1,3,1.9230769230769231,False
Q9Y675,2,2,2,2,2,2,1,2,2,2,2,6,3,2.3076923076923075,False
Q9P086,6,7,9,8,6,6,7,7,6,7,6,16,6,6.75,False
P56880,4,3,3,3,3,3,3,3,3,3,3,3,5,3.230769230769231,False
P14061,1,1,3,1,48,50,10,39,20,43,48,32,32,25.23076923076923,True
Q9H2X8,1,7,8,1,24,5,1,7,4,30,24,3,5,7.5,False
Q96RD6,1,7,2,2,2,6,1,1,1,3,3,1,7,2.8461538461538463,False
Q9H295,0,0,0,0,0,0,0,0,0,6,2,6,0,0.18181818181818182,False
Q9UDX3,0,0,10,31,0,26,14,8,9,7,5,16,18,9.416666666666666,False
Q6PCB6,6,6,12,7,34,21,19,43,18,40,34,39,42,24.692307692307693,False
Q8NC26,0,0,0,0,0,3,1,3,0,3,4,10,17,2.0,False
Q9HAZ2,3,8,5,5,9,6,3,5,21,6,9,13,15,7.25,False
P15090,2,1,8,2,1,1,1,6,5,7,5,5,6,3.8461538461538463,False
P56211,0,1,1,0,2,12,0,2,2,4,2,7,5,2.1666666666666665,False
Q86UX7,4,4,5,4,4,3,3,6,5,9,5,4,5,4.6923076923076925,False
Q12889,24,23,2,1,1,32,13,41,37,6,31,45,39,22.692307692307693,False
Q70EL4,3,8,3,2,5,7,3,4,4,1,15,19,19,7.153846153846154,False
Q5JSH3,13,10,4,8,10,10,7,6,7,19,10,10,7,8.5,False
B8ZZ34,1,1,1,1,1,6,6,6,10,6,9,9,9,5.076923076923077,False
P82650,3,3,6,3,3,2,2,2,3,2,3,2,3,2.8461538461538463,False
ENSP00000388798,1,1,1,1,1,19,1,1,19,16,1,14,36,6.333333333333333,False
Q9NUP9,1,5,5,6,1,1,1,1,2,7,1,1,4,2.769230769230769,False
Q8N2I2,3,3,3,3,3,3,1,3,31,5,11,18,12,5.666666666666667,False
Q9NX00,3,3,0,4,3,3,3,3,3,3,3,3,3,2.8461538461538463,False
Q96GW7,9,2,2,1,2,5,0,8,2,3,2,16,2,3.1666666666666665,False
P00167,5,14,7,20,4,17,25,4,6,8,4,18,20,11.692307692307692,False
Q8TDB8,0,0,14,28,0,28,38,36,5,19,43,34,6,19.307692307692307,False
O00338,0,0,13,29,5,24,22,4,47,1,46,22,25,18.307692307692307,False
Q99942,3,4,3,4,3,27,4,23,26,20,18,15,20,13.076923076923077,False
Q9Y2D0,0,1,7,1,1,1,1,2,43,49,36,18,50,16.153846153846153,False
Q6ZP57,0,0,0,0,1,0,1,0,0,0,1,1,1,0.38461538461538464,False
Q9BWQ6,0,29,24,30,0,22,9,17,16,11,8,8,10,14.153846153846153,False
Q2V2M9,6,5,2,9,1,5,2,3,15,1,16,19,4,5.75,False
A6NI15,0,1,1,2,1,1,1,0,0,5,5,0,5,1.6923076923076923,False
Q9NS28,0,0,0,1,0,0,0,5,17,26,9,19,24,7.769230769230769,False
O75462,3,2,4,5,2,1,1,1,3,1,7,1,8,2.5833333333333335,False
Q6PIW4,17,22,2,3,3,16,8,10,10,1,30,18,16,10.5,False
Q14028,4,8,1,1,8,4,3,6,19,1,22,20,22,9.153846153846153,False
Q5JS37,52,52,2,1,2,8,8,51,2,8,43,47,6,21.692307692307693,False
Q9NRL2,22,4,6,16,13,15,2,14,6,4,15,3,5,9.615384615384615,False
Q9H1P3,1,6,19,14,0,18,17,13,20,1,41,18,19,12.166666666666666,False
P43490,3,2,49,0,49,53,48,48,49,52,49,48,49,38.38461538461539,True
Q9GZS1,13,7,8,15,7,15,6,16,11,6,7,9,8,9.846153846153847,False
P80421,1,1,10,1,1,1,1,1,1,6,4,23,5,2.75,False
Q9NR00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,False
Q96QI5,6,5,12,3,3,27,29,8,44,21,46,44,45,22.53846153846154,False
Q8NE18,5,6,3,2,5,5,6,3,4,16,5,41,42,5.454545454545454,False
Q8WX39,0,0,0,0,0,0,1,0,0,0,22,4,4,0.75,False
Q8IX95,1,1,1,1,1,1,1,9,1,10,4,1,1,1.2727272727272727,False
P21757,1,1,0,0,0,3,9,9,10,8,3,8,10,4.769230769230769,False
O75807,11,11,0,0,8,11,1,0,0,4,8,5,0,4.538461538461538,False
Q56P03,16,19,1,6,17,14,14,15,17,15,17,15,16,14.0,False
Q92466,22,22,4,7,22,21,20,20,5,20,21,47,46,21.307692307692307,False
Q9BUW7,7,1,4,2,1,7,2,1,1,1,1,6,6,3.076923076923077,False
Q8NC60,41,44,7,20,36,41,45,48,39,42,28,40,40,36.23076923076923,True
Q86SE8,1,2,1,2,3,2,3,2,7,8,8,6,8,4.076923076923077,False
Q92934,5,0,0,0,4,4,9,4,0,4,4,5,4,2.8333333333333335,False
Q9BWF3,3,3,2,6,0,28,5,21,24,24,44,13,20,12.416666666666666,False
Q86SG2,1,1,1,1,28,24,24,1,1,28,28,53,54,18.846153846153847,False
O95714,5,5,6,6,5,41,16,39,5,1,20,16,6,10.833333333333334,False
O00567,5,8,9,4,3,6,3,2,3,10,3,6,4,5.076923076923077,False
P53367,0,6,5,0,0,6,2,2,2,2,2,2,3,2.4615384615384617,False
Q13148,4,4,8,15,3,3,21,3,4,18,32,16,7,8.833333333333334,False
Q92886,0,0,4,2,2,7,7,4,5,9,2,1,6,3.769230769230769,False
Q9H095,7,7,8,6,5,6,6,7,21,4,5,21,30,8.583333333333334,False
Q9BXP2,3,4,4,11,5,2,3,15,2,24,14,17,17,9.307692307692308,False
Q8N9B5,1,7,3,1,2,2,1,6,3,6,8,1,2,3.3076923076923075,False
P13164,0,0,1,0,0,0,3,5,6,6,2,3,9,2.1666666666666665,False
O95749,34,15,20,36,14,28,14,32,7,14,14,10,14,19.384615384615383,False
Q9H321,1,1,1,38,0,16,1,0,0,0,0,1,1,1.8333333333333333,False
P30460,1,1,4,1,1,1,2,3,1,6,5,3,2,2.3846153846153846,False
A8MYJ7,3,3,4,4,1,7,14,7,3,6,39,6,19,6.416666666666667,False
Q6P575,16,16,16,16,6,61,40,18,16,33,47,45,44,28.76923076923077,True
Q96AD5,1,4,2,1,1,3,3,3,16,18,16,16,16,7.6923076923076925,False
Q9BTE0,14,17,16,16,19,12,11,12,13,13,32,8,10,13.416666666666666,False
