,FractionLDOs
Q8N5G2,1.0
A6NEN9,0.0
A8MZ59,0.8
A1A5B4,0.5555555555555556
Q06609,0.0
Q2TBF2,0.0
Q9BR01,0.375
P16520,1.0
Q9Y294,0.4
Q9Y295,1.0
Q9BR09,0.0
Q12834,0.9
Q6ICB4,0.42857142857142855
Q6IA17,1.0
P30281,0.5
Q5FYB1,0.8333333333333334
Q5FYB0,0.8333333333333334
Q75V66,0.5555555555555556
P49792,0.0
B0I1T2,1.0
P49798,0.2
Q5JTN6,0.8
P51116,0.2727272727272727
P51114,0.2
Q92913,0.3333333333333333
P55286,0.9090909090909091
Q86VD7,0.3333333333333333
P35070,1.0
Q9Y2T5,0.0
Q9Y2T4,0.4
O60814,0.6
Q9Y2T6,0.18181818181818182
O60812,0.3333333333333333
O60813,0.25
O60810,0.2
O60811,0.2
Q02363,0.42857142857142855
Q8N8Y5,0.875
Q495N2,1.0
Q8N8Y2,0.0
Q9P2U8,1.0
Q9P0L0,0.0
P31483,0.7272727272727273
Q9P0L2,1.0
Q9P0L9,0.42857142857142855
O00398,0.18181818181818182
Q92738,1.0
Q08174,0.3
O75425,0.75
Q08170,1.0
O75427,0.8888888888888888
Q8IY17,0.0
Q92730,0.9
Q9H777,0.5
Q5VU57,0.2727272727272727
Q9H772,0.25
Q5TB80,1.0
Q92736,0.5
P43026,0.16666666666666666
O60609,0.25
Q00765,0.5
Q6IQ16,1.0
Q5T5P2,0.0
Q5BKT4,0.3333333333333333
P17693,1.0
O00507,0.3333333333333333
O00501,1.0
Q8TEA7,0.5
P20132,0.0
Q8N9C0,0.8888888888888888
Q8N2R8,0.18181818181818182
P01009,0.625
P01008,0.5714285714285714
Q01581,0.2
Q8N2R0,1.0
P02763,0.2
Q9BXB4,0.8
Q9BXB5,0.75
Q13003,0.375
Q13002,0.375
Q8NGN3,0.0
Q8NGN0,0.42857142857142855
Q8NGN1,0.6
Q13009,0.2
Q8IYD8,0.0
O75396,0.5
Q8NGN8,1.0
Q9Y4F9,0.0
Q8IVD9,0.8571428571428571
Q8TE68,0.625
Q9Y4F1,1.0
Q8TE67,0.625
Q9Y4F4,0.0
Q8TE60,0.4
Q96R69,0.8
Q96R67,0.75
Q8N456,0.8571428571428571
Q9P1V8,1.0
Q8N323,0.4444444444444444
P46013,1.0
Q66K89,0.8888888888888888
Q9Y2U2,0.25
Q8WVD5,0.0
Q8WVD3,0.7272727272727273
P46019,0.0
Q9NPG3,0.0
P98073,0.875
Q9NPG1,0.0
O94979,0.0
P42772,0.7
P42773,0.8888888888888888
Q9NPG4,0.42857142857142855
O94973,0.0
P68543,0.625
Q9NPG8,0.5
Q99218,0.0
P30154,0.0
P55039,1.0
Q8TC07,0.2
Q8TC05,0.8
P28838,1.0
A6NMK7,0.4
Q9UGC6,0.2
P62633,0.0
Q9UI09,0.0
Q8N4X5,0.3333333333333333
A6NMK8,1.0
Q96JL9,1.0
Q8WV16,0.0
Q8WV19,0.0
P24903,0.42857142857142855
Q9HCQ5,0.1111111111111111
A2RUS2,1.0
Q96DV4,0.7142857142857143
Q86Z23,1.0
P22760,0.8333333333333334
Q6NUI2,1.0
Q6NUI1,0.875
A6NFR6,0.0
P19440,0.0
Q9Y4K3,1.0
Q5JQD4,1.0
Q96LZ7,0.75
Q16518,0.3333333333333333
Q96LZ2,0.4
Q96LZ3,0.6
Q16515,0.5
O95484,0.5
Q16513,1.0
Q14002,0.9
Q14003,0.4
Q14004,0.8571428571428571
Q9H3P7,0.25
Q8TDX7,0.7142857142857143
Q8WY21,0.375
P19224,0.25
Q8NCW0,0.3333333333333333
Q8NCW5,1.0
Q9NUT2,0.0
Q8NCW6,0.0
Q9HA77,0.25
Q9HA72,0.5
O14939,0.2
O14936,1.0
O43324,0.9
O43323,0.3333333333333333
O14933,0.1
O43320,0.0
P04839,0.2222222222222222
Q0ZLH3,0.4
Q8IZJ3,0.375
Q8IZJ0,0.1111111111111111
Q8IZJ1,0.14285714285714285
Q8IZJ4,0.6363636363636364
Q9UHC3,0.4
P56937,0.9
Q3SY17,0.5
Q9Y2K9,0.75
Q9BY21,1.0
Q9Y2K5,0.0
Q9Y2K6,1.0
Q9Y2K7,0.16666666666666666
P37088,0.5
Q9Y2K1,1.0
Q9Y2K2,1.0
Q9UHY1,0.8888888888888888
Q96MT3,0.6363636363636364
Q96MT1,0.0
Q9UHY8,0.0
O14682,1.0
O14684,0.2222222222222222
Q8N1P7,0.375
P58499,0.0
Q9UNE2,0.4
Q8WYQ4,0.25
Q6NXN4,0.0
Q00975,0.3333333333333333
Q00973,0.3333333333333333
Q6P6B7,0.2222222222222222
Q86SZ2,0.0
Q00978,0.42857142857142855
Q7Z2T5,0.5555555555555556
Q9BYM8,0.4
P22888,0.8181818181818182
Q8IY26,0.5
Q63HM9,0.1111111111111111
Q5H9U9,0.0
P49895,0.42857142857142855
Q8IY21,0.0
A6NJQ4,1.0
Q14195,0.6666666666666666
O95755,1.0
Q13585,0.75
O95757,0.8
O95751,0.125
P13349,0.6
Q6UY13,0.5555555555555556
P01825,1.0
P01824,1.0
O95759,0.6
Q8N7C3,0.25
Q6UY14,1.0
Q8NHV9,1.0
P34969,0.75
Q9BWH2,0.09090909090909091
Q8NHV4,0.5
Q6YP21,0.0
Q8NHV1,0.25
P05013,0.5714285714285714
P05014,0.8
P05015,0.6666666666666666
Q10588,0.5
Q9C0J1,0.25
P05019,0.0
P01920,1.0
O00268,0.0
O00264,0.75
P08865,1.0
P33947,0.0
Q9H2K2,1.0
Q7Z3Z4,0.5
O14756,0.8
Q7Z3Z0,1.0
Q7Z3Z3,0.4
Q9H2K8,1.0
Q9NQ55,0.0
P56559,0.3
Q69384,0.5
P80075,0.25
Q96CS4,1.0
P56557,0.0
Q9BQR3,0.875
Q2M238,1.0
Q5QJ38,1.0
O95340,0.5
O95347,0.5
Q9UQ26,0.0
Q9UJ99,0.7272727272727273
Q9UJ96,1.0
Q6PK81,1.0
Q08AS3,1.0
Q9P217,0.0
Q9UJ90,0.6666666666666666
Q9H0Q3,0.0
Q01113,0.5714285714285714
P43234,0.75
P43235,0.6666666666666666
Q49AG3,0.0
Q9NQH7,1.0
Q12982,0.6
Q9NXT0,1.0
Q8WU20,0.0
Q53G59,0.6363636363636364
Q12986,1.0
Q9Y605,0.0
Q9Y600,1.0
Q9Y603,0.25
Q93100,0.7142857142857143
Q8N6M3,0.0
Q8N6M0,0.3333333333333333
Q8N6M6,1.0
Q9P232,1.0
P28336,0.7777777777777778
Q9NSA2,0.8
Q8N6M8,0.0
P28335,0.7777777777777778
P28332,0.5
Q7RTU5,0.6
Q9UIB8,0.8888888888888888
P62829,0.0
Q96CU9,1.0
Q5K4E3,1.0
Q92835,0.0
P51858,0.0
P51857,0.4
Q969I3,0.25
Q969I6,0.8
P0C7I0,1.0
P02743,0.375
P02741,0.4444444444444444
P17027,0.5
P02747,0.4
P07510,0.7
P02745,0.45454545454545453
Q9BZE2,1.0
P02748,0.9
Q9Y6G1,0.3333333333333333
P17021,1.0
Q9UKX5,0.1111111111111111
O95965,0.9
Q18PE1,0.4
Q9UKX3,0.7
Q96QS6,1.0
P17023,1.0
A6NCE7,0.0
Q96QS1,0.45454545454545453
Q9H1U4,0.9
Q99877,0.6
Q9H1U9,0.0
Q56UQ5,0.6666666666666666
Q9BZG1,0.4444444444444444
Q9H987,0.6363636363636364
Q9H981,0.0
O43934,0.0
P35625,0.2857142857142857
Q8NAF0,1.0
P45983,0.7777777777777778
Q9UHD9,0.75
Q9UHD8,0.0
Q9UHD2,0.09090909090909091
Q9UHD1,0.2857142857142857
Q9UHD0,0.8571428571428571
Q92508,0.0
Q92506,1.0
Q92503,0.2857142857142857
Q92502,0.5
Q8N960,0.9166666666666666
O95013,0.14285714285714285
Q6IS24,0.0
Q9HAR2,0.6666666666666666
Q6IE36,0.5
P50991,0.5
Q6IE37,0.5
P17482,0.3333333333333333
P17483,0.42857142857142855
P20309,0.7142857142857143
P17481,0.3333333333333333
P08034,0.6
P50993,1.0
Q96I27,1.0
Q5VZR4,0.875
Q5VZR2,0.25
P50995,0.5
Q5W0Z9,0.75
Q96HC4,0.4
P0CB46,0.625
Q6KCM7,0.25
Q13217,1.0
Q9H239,0.5
Q9H237,0.3
Q8IYE0,0.75
O75185,0.8571428571428571
O75182,0.3333333333333333
Q13219,0.6363636363636364
Q99685,1.0
Q99684,1.0
Q9BWW8,0.0
Q9BWW9,0.3333333333333333
P14618,0.0
Q9BWW4,0.0
Q6IE38,0.0
P11226,1.0
Q9H568,1.0
Q99689,0.5
P63010,0.2
Q8N157,0.8888888888888888
Q13018,0.14285714285714285
Q13449,1.0
P40145,0.0
Q96BR1,1.0
Q96BR6,0.9
Q6VVB1,0.0
Q15746,1.0
Q96BR9,0.2
Q15742,0.0
Q15743,1.0
Q86X76,0.0
O15431,0.14285714285714285
O15432,0.14285714285714285
O95500,1.0
O95502,1.0
O95503,0.16666666666666666
O15438,0.6666666666666666
O15439,0.5
P23763,0.6
Q9BQE9,0.5
Q6ZUM4,0.125
Q99538,0.3333333333333333
Q99536,0.0
Q9BQE3,0.0
Q9BQE5,0.3333333333333333
P11086,0.7142857142857143
Q9BS34,0.5
A6NG13,0.5
P41091,0.125
Q9UJT9,1.0
Q8NGQ3,0.6666666666666666
P21941,0.5
Q8IXE1,0.42857142857142855
Q8IUK8,0.3333333333333333
Q8NGQ1,0.75
Q9Y5C1,0.2727272727272727
Q9NS68,1.0
Q9Y4G6,1.0
Q9NS67,1.0
Q5CZA5,1.0
Q9BXA7,1.0
Q9BXA6,1.0
A6NH21,0.375
Q03431,0.4
Q8NFQ6,0.8571428571428571
P13489,0.8571428571428571
Q6ZRT6,0.3333333333333333
Q9HD34,0.0
Q9HD36,0.8888888888888888
Q14839,1.0
Q9HC44,0.0
Q14831,0.7272727272727273
Q8ND82,1.0
Q14833,0.7
Q14832,0.4444444444444444
O14745,1.0
Q5SRI9,0.25
P22415,0.2727272727272727
P16442,0.0
Q9NZK5,0.14285714285714285
P16444,1.0
P22413,0.0
P15259,0.6666666666666666
P50406,0.7777777777777778
Q16099,0.4444444444444444
P55160,0.08333333333333333
P58182,1.0
Q96T37,0.25
P58180,0.42857142857142855
P58181,0.75
Q96IK1,0.0
A1A5D9,1.0
P10599,0.75
Q14566,0.7142857142857143
P52803,0.3
P55291,0.8888888888888888
P55290,0.8888888888888888
A4D226,0.1111111111111111
Q96C00,0.5
Q96C03,0.4
Q9P2P5,0.8888888888888888
O75460,0.3333333333333333
Q96PE6,1.0
Q5T215,0.6
Q71RH2,0.8
Q86VF2,1.0
Q86VF7,1.0
Q86VF5,0.5714285714285714
O60830,0.0
O60831,0.0
O60832,1.0
Q00169,0.4
Q9NTU7,0.3333333333333333
Q9Y2V2,0.0
A8MWX3,0.4
A6NNA5,0.4
Q8N8W4,0.4444444444444444
A6NDV4,0.14285714285714285
Q04844,0.6666666666666666
Q9P0J1,0.8333333333333334
Q8NBJ7,0.0
Q86VH5,0.9
Q8NBJ5,0.1
Q8NBJ9,0.16666666666666666
Q9Y3N9,0.7142857142857143
Q9H756,0.9
Q7LDG7,0.5
P20151,0.4444444444444444
P20155,0.0
Q9UHF4,0.3
P01024,0.375
P01023,0.4444444444444444
P49841,1.0
Q8NGL0,0.75
Q8NGL1,0.25
Q8NGL2,0.75
Q8TCE6,1.0
Q9Y4D7,0.16666666666666666
Q8NGL6,0.5
Q8NGL9,0.1111111111111111
Q9H8G1,0.5454545454545454
Q96A70,1.0
Q8IYJ3,0.8888888888888888
Q6P093,0.8571428571428571
Q8TE49,0.0
Q969K3,0.1111111111111111
P41212,0.5
Q7Z4L5,0.4166666666666667
P56696,0.2
Q96R48,0.75
P18283,0.5
Q86VY4,0.4
Q96R47,0.75
P43003,0.4
Q92753,0.3333333333333333
Q86U17,0.6666666666666666
P43007,0.5714285714285714
Q86U10,0.6666666666666666
Q92754,0.4
P43004,0.4
Q6VUC0,0.25
Q8TC27,0.6666666666666666
Q9NPI9,0.2857142857142857
Q8TC21,0.5
Q9UGV2,0.25
Q9BSF8,0.6
Q9NPI5,1.0
Q9NPI7,0.0
Q9NPI6,0.0
Q9NPI1,0.0
P57078,0.8571428571428571
Q8TC76,0.5
A0PG75,0.4
Q66LE6,0.4
Q96JJ3,0.0
Q96JJ7,1.0
P18135,0.8333333333333334
Q6NT16,0.875
A1KZ92,1.0
Q7Z6J4,0.5
Q7Z6J6,1.0
Q7Z6J0,0.75
Q05397,0.6666666666666666
Q05823,1.0
Q14247,0.0
Q8WV37,1.0
Q6UWQ5,0.0
Q8WV35,0.0
Q14241,0.5
A6H8Y1,1.0
P24928,0.5
Q8IU99,0.6363636363636364
P57077,0.2
P19429,0.0
Q8IWX7,0.25
O43699,0.9090909090909091
P15735,1.0
P07858,0.0
Q96SQ9,0.5555555555555556
Q7RTN6,1.0
Q96LT4,0.3333333333333333
Q6ZWI9,0.2
P58215,0.2
O94955,0.0
O94956,0.3
Q86YB7,1.0
O94953,0.5
Q8WY41,0.0
Q9H3V2,0.2
Q86YB8,0.2
Q9NUR3,0.0
Q8NCU7,0.0
Q695T7,0.0
Q9GZR5,0.0
Q9GZR7,0.8888888888888888
P15088,0.5555555555555556
Q8NI27,0.7142857142857143
Q16795,1.0
O14910,1.0
P15085,0.3333333333333333
Q16798,0.0
O43345,0.5
O43347,1.0
O14917,0.9
Q96FK6,0.0
Q7Z7D3,0.7272727272727273
P56915,1.0
P25787,0.7777777777777778
P49427,1.0
Q9ULY5,1.0
O60225,0.2
O60224,0.09090909090909091
P81133,1.0
O60220,0.7142857142857143
A8MWL6,0.4
O60229,0.8333333333333334
P30279,0.5
Q9H1D0,1.0
P13591,1.0
Q96MR9,1.0
A6NIM6,0.5555555555555556
P67936,0.9090909090909091
O15375,0.5555555555555556
P15813,0.8
P11413,0.0
Q9BUT1,1.0
P11142,0.7777777777777778
A1L3X0,0.0
Q86SX6,0.0
Q5TB30,0.25
A6NJW4,1.0
Q8TBB1,0.25
Q8TBB0,0.7777777777777778
A6NJW9,1.0
Q8TBB5,0.25
Q8TBB6,0.8333333333333334
Q96GK7,0.0
Q76EJ3,0.75
P50876,0.8
Q2M3D2,0.1111111111111111
A5LHX3,0.3333333333333333
P61570,0.5
P01848,0.8
Q13568,0.375
Q8WWA0,0.4
O95772,0.7142857142857143
P47804,0.5555555555555556
Q9BY07,0.5
Q8NE65,1.0
Q9BY08,0.2
Q8NE63,0.14285714285714285
P19801,0.0
Q68DI1,1.0
P01909,1.0
Q6UXM1,0.9
O00204,0.375
P01903,0.3333333333333333
Q9H2M3,1.0
P08887,0.7272727272727273
P49720,0.4
A9YTQ3,0.0
A0A0A0MSL8,1.0
Q9BYK8,0.5555555555555556
Q96AQ8,0.5714285714285714
Q9UQ49,0.75
Q5VZL5,0.0
O00161,0.7142857142857143
O95365,1.0
O95361,0.75
Q96AQ6,1.0
O95363,0.6666666666666666
Q6ZVN8,0.5714285714285714
Q9Y625,0.8
Q9Y624,0.8888888888888888
Q9BV73,1.0
Q08708,0.3333333333333333
P21145,0.2727272727272727
O15294,1.0
P24311,0.0
O15296,0.4
O15297,0.6666666666666666
Q9NQN1,0.7142857142857143
P07686,0.0
Q12968,0.42857142857142855
Q00577,0.4
Q8N9I0,0.0
Q12965,1.0
Q12967,0.6666666666666666
Q9NXV2,0.375
A8MUI8,0.7777777777777778
Q96CW5,0.0
Q9P253,0.5
Q9P255,0.5714285714285714
Q96CW1,0.5
Q01629,0.09090909090909091
Q9P258,0.4444444444444444
Q96CW9,0.6666666666666666
P25800,0.25
Q9BWU1,1.0
P09228,0.16666666666666666
P25205,0.75
Q6P9F7,1.0
Q9Y6Y1,0.2
Q4G0M1,0.6
Q8TAW3,1.0
Q9Y6Y8,0.8
Q6MZP7,1.0
O60645,0.0
P20794,0.5
O95944,0.6
Q9UKV8,0.6363636363636364
O95947,0.8333333333333334
Q9GZM6,1.0
Q9GZM7,0.875
Q9UKV0,0.14285714285714285
P01275,0.0
P35354,0.0
P35609,1.0
P42566,1.0
O76082,0.6666666666666666
O76083,0.3333333333333333
O76080,0.0
O76081,0.2
Q8NFU0,0.25
Q8NFU1,0.5
Q6P1M0,1.0
Q6P1M3,0.2
Q8NFU5,0.5
P39060,0.3333333333333333
P11908,0.5
B5MDG6,0.6666666666666666
Q9UPY3,0.4444444444444444
Q14558,0.75
Q92569,0.9090909090909091
Q6ZMZ0,0.0
Q9H4T2,1.0
Q92561,0.16666666666666666
Q92560,0.8888888888888888
Q05707,1.0
Q92565,0.6
Q92564,0.3
Q7Z5A4,0.8571428571428571
P52566,0.5
P57087,0.9
P52564,0.8
P52565,0.25
P57082,0.875
P42694,0.2222222222222222
Q9HAT8,0.0
Q53FZ2,0.0
P52569,0.75
Q8N823,1.0
Q495W5,0.4
Q15762,0.16666666666666666
P01770,1.0
Q8WU79,0.0
Q96HE7,0.3333333333333333
Q8NES3,0.3333333333333333
P54219,0.9
Q9H252,0.5
Q9H255,0.6666666666666666
Q9H254,1.0
Q8TED9,0.5
Q8N9Z0,0.5
Q8TED1,0.3333333333333333
Q8TED4,1.0
P14635,0.0
A5PLN7,0.3333333333333333
P07992,0.0
P07996,0.6666666666666666
P07998,0.42857142857142855
P51854,0.75
O43592,0.0
O43593,0.125
P40121,1.0
P40123,0.3333333333333333
Q8TDQ0,0.7142857142857143
P40126,0.2
O43812,0.16666666666666666
Q9BQC3,0.875
Q86X52,0.5
Q52LJ0,0.16666666666666666
Q9NYI0,0.9
Q6IEY1,0.14285714285714285
P29353,0.3333333333333333
Q96RQ9,1.0
Q8IWL2,1.0
Q76N89,0.8888888888888888
Q96RQ3,1.0
Q96RQ1,0.8888888888888888
Q12901,0.5
Q8N3U4,0.5
P40879,0.6666666666666666
P40692,0.2
P33778,0.5
Q9Y5E9,1.0
Q9Y5E8,0.8888888888888888
P21964,0.0
Q02161,0.25
Q8IUI4,0.5
Q9UEW3,0.9
Q9Y5E3,1.0
Q9Y5E2,0.9
Q9Y5E5,0.9
Q9Y5E4,1.0
Q9Y5E7,0.9
Q9Y5E6,1.0
P07333,0.7
P07332,0.5714285714285714
P07339,0.0
A4QPH2,1.0
Q96JW4,0.0
Q9HBW0,0.8
P61764,1.0
O95521,0.25
Q8NI77,1.0
Q49A33,1.0
Q9BRC7,0.4
Q14814,0.0
Q6ZRR7,1.0
Q9NZI2,0.7
Q9NZI7,0.25
Q9NZI6,0.6
Q9NZI5,0.5
Q9NZI8,0.375
P62070,1.0
A6NER3,1.0
P58753,0.8181818181818182
P62079,0.0
O14764,0.3333333333333333
O14763,1.0
Q96II8,1.0
P55103,0.6
Q96L12,0.6666666666666666
Q96L15,0.1
Q9UJV8,0.4
P10147,0.0
Q9HBR0,0.5
Q96KG7,0.8571428571428571
P04798,0.9090909090909091
Q8N2E2,1.0
Q99519,0.0
P10145,0.0
Q9NUM4,0.8333333333333334
Q8NCN2,0.2727272727272727
P80098,0.25
Q8NCN5,0.16666666666666666
Q69YJ1,0.4
P52823,0.5
P52824,0.16666666666666666
Q969Q5,1.0
Q9ULD9,1.0
Q96C28,1.0
Q96TA0,0.9
Q9ULD5,1.0
Q96C24,0.8888888888888888
Q9P2R6,0.5
Q9P2R7,0.5
Q6ISS4,0.5
P51159,1.0
Q6P3X8,1.0
P51153,1.0
P35030,0.7142857142857143
P51157,1.0
Q9BTU6,0.1111111111111111
Q9Y2P8,1.0
O60858,0.4
O60583,0.0
Q9Y2P5,1.0
Q9Y2P4,1.0
Q9Y2P7,1.0
Q8N8U9,0.6
Q9UMX0,0.7142857142857143
Q04864,1.0
Q9UMX6,0.5555555555555556
Q3MJ62,1.0
Q8N8U2,1.0
Q9UMX9,0.375
Q70JA7,0.5454545454545454
Q13795,0.0
Q96EX2,0.0
P18847,0.375
P18846,1.0
Q96NL3,1.0
Q9Y478,0.3333333333333333
P02462,1.0
Q00722,0.625
P02461,1.0
Q9Y3L5,0.9
Q5BKX6,0.16666666666666666
P23141,0.125
P23142,0.9090909090909091
Q9Y3L3,0.7777777777777778
P17655,0.875
P05204,0.0
P25789,0.7777777777777778
Q96S94,0.0
P17658,0.4
Q9UM54,1.0
O00548,0.7142857142857143
Q15057,0.4
Q15029,0.5
Q6PJ69,0.8888888888888888
Q15024,0.0
Q15027,0.5
Q15020,1.0
Q7L0X0,0.8888888888888888
Q6PDA7,0.0
Q86V85,0.16666666666666666
Q86V87,0.6
Q9H7H0,0.0
Q9UP38,0.0
O15173,0.7777777777777778
Q5SVZ6,0.3333333333333333
O15178,0.0
P09693,0.75
Q8TE23,0.4444444444444444
Q8NGJ8,1.0
Q8NGJ9,0.42857142857142855
Q9Y4J8,0.2
Q8NGJ2,0.5
Q9BXN1,1.0
Q8NGJ0,0.7142857142857143
Q8NGJ1,0.42857142857142855
Q8NGJ6,1.0
Q8NGJ7,1.0
Q8NGJ4,0.5
Q8NGJ5,0.1
P52179,1.0
Q9P1Z3,0.5714285714285714
Q96R27,0.7777777777777778
Q9P1Z0,1.0
Q5JPF3,1.0
P34741,0.4
Q99819,0.5714285714285714
O14526,1.0
P46059,0.4
Q92953,0.4
Q8IY50,0.6666666666666666
Q9H2R5,0.5714285714285714
Q9BVG3,0.2222222222222222
Q92959,0.3
Q92777,0.2
Q9BVG9,0.0
Q92771,1.0
Q92772,1.0
P32745,0.75
Q99962,0.25
Q99963,0.375
Q99788,0.8181818181818182
P08572,1.0
Q99784,1.0
Q99969,0.0
Q6UX53,1.0
P42224,0.1
P42226,0.1
Q9UI42,0.42857142857142855
Q9UI43,0.0
Q9UI40,0.2
Q9UI47,0.3
Q6NT32,0.1111111111111111
P07438,0.25
Q01459,0.625
Q8NDW8,0.36363636363636365
P04150,0.1
P26439,1.0
Q96JH8,0.8
P04155,0.25
Q6PCD5,1.0
Q6UWW8,0.125
P26436,0.0
Q9H089,0.5
O75689,0.0
P0C5Z0,0.25
Q9H082,1.0
Q8N587,1.0
Q8N584,0.0
Q9UIY3,0.125
Q68CQ7,0.125
A2PYH4,1.0
Q8N6R1,0.0
Q9H3T3,0.7
Q9H3T2,0.7
P43166,0.5
Q8WY64,1.0
Q6ZWK6,0.8571428571428571
Q96LV5,1.0
P49190,0.4
Q9NPK6,1.0
P54687,0.0
Q6Q0C1,0.625
