,numDomains
Q9H239,4
Q9H237,1
Q9H8H0,1
O75185,7
O75182,2
Q13219,6
Q71DI3,2
Q99685,13
Q99684,11
Q99687,2
Q9BWW8,1
P11229,4
P14618,3
P14616,6
Q17R60,2
P11226,2
Q8NEQ6,1
Q99689,2
P63010,11
Q5TB30,2
Q2NKQ1,2
Q8N157,4
Q8NDY3,1
Q92813,2
Q8N159,2
Q13018,5
Q9UBJ2,5
Q6UW60,2
P40145,2
Q8WUZ0,1
Q96BR6,7
Q9Y6Q1,3
Q9NRY6,1
Q96BR5,1
Q15744,2
Q6UW68,1
Q15746,15
Q8IUG1,2
Q15742,2
Q15743,3
Q86X76,1
Q1L6U9,3
Q8N7C3,2
P23769,2
O15432,1
O95500,3
Q96JP0,6
O95502,2
O95503,1
O15438,11
O15439,19
P23763,2
Q8N3Z0,2
Q9BQE9,1
Q6ZUM4,6
Q9NRY5,1
Q99538,1
Q99536,3
Q5TGL8,1
Q96PE1,8
Q9BQE5,1
P11086,3
Q0D2K2,8
A6NG13,1
P41091,4
R4GMW8,2
Q0D2K3,1
P09001,1
Q5VWI1,2
Q8NHC8,2
P40855,2
Q13442,1
P04035,3
Q9UJT1,1
Q9P2D3,2
P60520,2
Q5H943,1
A8MV81,1
Q8NGQ3,3
Q8ND56,3
P21941,8
Q8IXE1,2
Q8IUK8,1
Q9UK53,2
Q8TE99,1
Q9Y5C1,1
Q9NS69,1
Q9NS68,1
Q5JTD0,1
Q9NYZ4,6
Q6NX45,11
Q9NS61,8
Q9NS67,2
Q9NS66,1
Q8NGQ6,2
Q96GR4,1
Q16891,1
Q16890,2
Q9C0G6,24
P12755,2
P12757,2
Q9BXA6,5
Q9P0N8,2
A6NH21,1
H0Y3Z8,3
Q9H963,12
Q9H6L4,4
P13489,5
Q9H6L2,1
Q96PE2,1
Q6ZRT6,1
Q9NPH9,2
A0A087WVL0,2
Q6MZW2,13
Q9P2J2,9
Q8NFQ5,2
Q14839,11
Q9HD33,1
Q9HC44,1
Q9P0N9,1
Q14831,4
Q8ND82,1
Q14833,4
Q14832,4
O14745,4
O14744,2
O14746,2
Q5SRI9,2
P22415,1
Q5TKA1,1
P16442,1
Q9NZK5,2
P16444,1
P22413,4
Q9UL46,2
P15259,1
P50406,2
Q5T5B0,1
Q16099,4
P50402,1
P55160,1
P58182,2
Q9P2D6,4
A6NNX1,1
A8MVJ9,1
A6NEL2,5
A6NEL3,1
P0C0P6,1
P10599,9
Q9H6H4,1
Q86TG7,5
Q8NCH0,1
Q9HAU8,4
Q8NFQ8,1
Q9BR61,6
P52803,1
Q9NP94,1
Q9Y4G8,6
Q5JTH9,1
P55291,2
P55290,2
Q8NE00,2
A0A096LPH7,1
Q96C00,3
Q96C03,1
Q7L0J3,4
Q96N58,8
Q9NZB8,5
Q96PE6,7
Q9P2P1,2
Q5T215,1
Q71RH2,1
Q9Y2A4,10
Q969X6,3
Q9H7J1,1
Q86VF2,8
Q9P2S2,5
Q86VF7,2
Q3T906,3
Q6P5R6,1
O60830,1
O60831,1
O60832,3
Q674X7,4
Q00169,1
Q9Y2V7,2
Q9NTU7,1
Q9Y2V3,2
Q5RGS3,1
Q13956,1
Q5TFG8,2
A8MWX3,1
A6NNA5,2
Q8N8W4,1
A6NDV4,1
Q9Y4E6,1
Q9NRH1,1
F8W1H4,1
H0YKK7,1
Q04844,2
Q9BW30,1
Q96NN9,23
Q9P0J6,1
Q9P0J7,3
Q9UHF1,5
P29144,2
Q8NBJ7,1
Q86VH5,8
Q8NBJ5,2
Q9NPF5,1
Q9UL25,8
Q8NBJ9,1
O75400,2
Q5TZK3,1
Q9H756,4
Q7LDG7,8
P20151,3
Q9UHR5,1
P20155,2
Q9NPF0,1
Q6IQ32,1
Q9NVW2,7
Q9UHF4,3
O00522,6
P01024,10
P01023,9
O00526,1
P17677,3
P17900,1
Q9BSH5,3
Q96PG2,1
Q5SVQ8,7
Q9UN70,2
Q9Y3C5,6
Q765I0,1
Q8NGL0,2
Q8NGL1,2
Q13029,5
Q8NGL3,2
Q8NGL4,2
Q8NGL6,2
Q8NGL7,2
Q13023,1
Q8NGL9,2
Q13021,1
Q9Y4D8,1
Q8IYJ1,3
Q8IYJ0,1
Q8IYJ3,2
Q6IPU0,1
F8VRH5,1
Q969K3,6
Q9GZS9,2
Q8N1K5,1
Q9Y5H5,2
Q9BRQ6,2
Q9BRQ5,2
Q96R48,3
Q8N309,4
Q9BRQ4,1
P18283,1
Q9BRQ3,1
Q8N302,5
Q92527,5
Q8N307,1
P43003,2
P0DJH9,1
Q86U17,1
P43007,1
Q6AI08,7
P43005,1
P43004,1
Q8IYU8,4
Q8WVF1,1
P49427,2
Q6VUC0,1
Q92979,1
Q02447,5
Q02446,3
Q99944,5
Q8TC27,7
Q8TC20,1
Q8TC21,11
Q99941,3
Q9NPI5,3
Q9BSF4,1
Q9NPI1,2
Q5RI15,1
Q9BSF0,1
Q96SQ5,8
Q8TC76,2
Q9UKK9,1
Q6JVE6,1
Q66LE6,1
Q86YT6,9
Q96JJ6,1
Q96JJ7,6
Q9Y534,2
P18136,5
P18135,5
Q6NT16,3
A1KZ92,15
P04179,2
Q7Z6J4,4
Q7Z6J6,5
Q7Z6J0,11
Q05397,5
Q7Z6J2,2
Q05823,11
Q14246,8
Q14247,5
Q14244,1
Q7Z6J8,1
Q5VTQ0,13
Q14240,5
Q14241,2
Q8IWX8,3
P24928,8
Q8IU99,1
K7EP34,1
P19429,2
Q8IWX5,2
Q8IWX7,9
Q8N6P7,3
Q9Y3C0,1
O43699,6
P15735,6
P07858,3
Q6X9E4,2
Q96SQ9,1
Q7RTN6,2
O43692,1
Q96QA5,1
Q96LT9,4
Q96LT6,1
D6RBQ6,3
Q96LT4,3
Q6ZWI9,10
P58215,3
O94955,2
O94956,2
Q4G0P3,3
O94952,4
O94953,8
Q14790,2
Q9H9H5,1
Q14061,1
Q86YB8,1
Q8N687,1
Q86XZ4,1
Q6PP77,1
Q9NUR3,1
Q8NCU8,1
P16298,1
Q9BTA9,1
Q68E01,1
Q8NCU1,1
Q96EV2,2
Q695T7,1
Q8NFD5,2
Q8N680,6
Q9GZR5,1
Q16790,1
P15088,2
Q16795,6
O14910,3
P15085,3
A6NLE4,1
Q16799,1
O43345,9
O43347,4
O14917,2
Q8NFX7,2
Q96FK6,1
Q7Z7D3,5
Q9HBE1,6
P25786,2
P25787,2
A8MPY1,2
P25789,2
P26572,2
Q6ZNB7,1
O60225,2
O60224,2
P81133,7
Q5TA81,1
O60220,1
L7N2F9,2
Q5TA82,1
Q53HV7,1
O60229,16
Q96Q91,2
Q8IZH2,1
Q9NR21,2
Q9H1D0,6
Q8NBF6,5
Q6PIZ9,1
Q75T13,4
Q9Y6X8,5
Q96MR7,1
Q96MR6,4
Q96MR9,7
A6NIM6,1
Q9BU40,2
Q9BUY5,12
P67936,8
P60033,1
Q9UNG2,1
P11413,2
Q9BUT1,8
Q96KR4,1
H3BUT2,1
P63220,1
P11142,5
Q9BUT9,1
A1L3X0,1
Q9C0A0,6
Q86SX6,1
A1L3X4,1
Q16134,13
Q8NH92,3
A6NJW4,5
Q8TBB1,9
Q8TBB0,1
D6R9N7,3
A6NJW9,6
Q8TBB5,6
P80404,1
Q8TBB6,3
Q15532,1
Q96GK7,1
Q76EJ3,2
P50876,1
Q2M3D2,2
A5LHX3,1
P01848,1
Q7Z591,1
Q13568,2
Q13569,1
O95777,1
Q13564,1
Q13562,2
O95772,1
Q13561,2
P47804,1
Q9BY07,2
Q8NE65,1
Q9BWJ5,1
Q8IUC2,1
Q9H4I2,4
Q8NE62,7
Q8NE63,4
Q9Y276,7
Q9BYU1,5
Q68DI1,7
Q9Y277,1
A6NHY2,7
Q7Z444,6
Q8WWX9,1
A3KMH1,11
P01909,4
Q9Y279,6
Q8IUC3,1
O00203,7
Q96SC8,2
O00204,2
O00206,9
Q9GZZ0,1
Q9H2M3,1
Q9HBD1,10
Q96J66,16
P08887,7
Q9H741,1
Q9P2W3,1
A9YTQ3,3
Q9NV06,4
Q96BA8,3
Q9BYK8,14
Q9NSA3,1
Q6IE38,2
Q8N9I9,9
Q9Y473,7
Q9P2W7,1
Q9P2W6,1
Q96AQ8,1
Q96AQ9,1
Q9BXF3,2
Q9UQ49,3
Q05932,2
Q9H9J2,1
D6RJB6,3
O95365,4
Q96AQ2,1
Q9P2A4,4
O95361,3
Q96AQ6,1
O95363,3
Q6ZVN8,2
Q86UV6,8
H3BQ85,1
Q9Y623,7
Q9BV73,1
A8MT65,8
Q08708,4
P21145,1
O15294,26
P24311,1
O15296,2
O15297,2
Q9NQN1,2
P07686,3
Q12968,2
Q00577,2
Q8N9I0,4
Q12965,7
Q9BRD0,1
Q12967,3
Q9NXV2,1
Q12962,2
A8MUI8,1
Q96CW5,1
Q6NZ63,1
P62841,1
Q9P255,12
P62847,1
Q01628,1
Q01629,1
Q96RC9,2
Q9P258,2
Q01151,5
D6RB28,1
E5RG02,3
Q9BPU6,4
Q9BWU1,3
P09228,1
Q9P2N5,6
Q06455,3
Q6P9F7,7
Q6ZW61,1
A1E959,1
Q9BZE3,2
Q9Y6Y1,8
Q14145,8
Q9BXF6,2
Q70IA6,1
P00505,1
Q30KP8,1
Q86YE8,12
Q86SX3,2
Q13233,4
Q53RD9,7
O95944,2
Q9UKV8,3
O95947,1
O95948,3
Q9GZM5,1
P01270,1
Q9GZM7,2
Q9UKV3,2
Q9UKV0,2
P01275,1
Q8NG06,11
P35354,2
P46199,10
Q86YV6,5
Q9Y6J6,3
Q96NB1,1
Q8TCS8,6
P35609,8
O76087,1
O76082,2
O76083,1
O76080,2
O76081,1
Q8NFU3,1
A2CJ06,3
Q7Z353,1
Q6P1M0,2
Q6P1M3,3
P42568,1
A0A0B4J1Y8,5
Q9H3Q3,2
P39060,5
Q9NPY3,11
P11908,4
Q9Y6J0,8
B5MDG6,1
Q6TFL4,9
Q8N6L1,1
Q8TDB4,1
Q14558,3
Q9BXF9,1
A0A087WWU0,1
A9Z1Z3,3
Q5VV17,1
Q92569,2
Q6ZMZ3,2
Q6ZMZ0,4
Q7Z5A9,1
Q9H4T2,13
Q92561,1
Q14318,17
Q05707,8
Q92562,1
Q92565,3
Q5T5Y3,3
Q7Z5A4,2
P52566,1
P57087,7
P52564,4
P52565,1
P42695,6
H3BUI4,1
Q96GU1,1
P42696,3
Q9Y5I2,2
Q9HAT8,4
Q53FZ2,2
P57088,1
A0A0A0MRY4,5
Q9BQ15,1
Q5JV73,4
Q14315,9
P20366,1
Q15762,6
Q5VZP5,1
Q8WU76,1
Q8WU79,1
Q96HE7,1
Q15761,4
Q8NES3,1
P08311,2
Q9H251,3
Q9H252,7
Q9H255,3
Q9H254,5
Q9H257,1
P08319,4
Q8TED9,2
Q6S8J7,5
Q8N9Z0,12
Q8N9Z2,1
Q8TDQ7,1
Q8TED0,3
Q8TED1,4
Q7Z6R9,1
Q8TED4,2
P14635,2
A5PLN7,1
P07992,4
O43598,1
P07996,10
P07998,1
O43597,1
O43592,2
O43593,1
P40121,1
O95563,1
P40123,3
O95561,1
O95393,2
Q9H3Q1,2
P40126,1
Q9Y283,6
Q6PII3,1
O95568,7
Q8TDQ1,2
Q8IWT6,6
Q96BP2,2
Q96BP3,2
Q8TBC4,7
Q86X52,6
Q9NXL9,5
Q9BQC6,1
Q86X55,15
Q71F23,1
Q86WZ6,10
Q52LJ0,1
Q9NYI0,3
Q99558,2
Q6IEY1,3
Q2QL34,1
Q99551,1
Q8N5C6,5
Q3KRB8,1
Q9NXL2,5
Q6ZQQ2,2
Q92876,3
Q9HD64,1
Q76N89,3
Q96RQ3,16
Q96RQ1,2
Q9C029,11
Q8N3U4,1
Q9NQP4,12
P59910,2
P40879,3
Q9HCE5,1
P40692,3
P33778,3
Q9Y5E9,2
Q9BUE0,1
P21964,9
Q02161,1
Q9NX31,1
Q8IUI4,1
Q9UEW3,3
Q9Y5E3,3
Q9C0E4,4
Q9Y5E5,2
Q9Y5E4,2
Q9NVM6,4
Q9NX38,1
A0A0A0MS05,1
A0A0A0MS04,1
Q9Y284,1
A0A0A0MS06,1
A0A0A0MS01,5
A0A0A0MS00,2
A0A0A0MS03,2
A0A0A0MS02,3
Q6NSI3,1
P07339,4
Q9HBW1,13
A4QPH2,1
Q8N3D4,4
