,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB
Q9H7U1,4,4,1,4,4,4,4,4,4,4,4,4,4
ENSP00000407807,1,1,1,1,1,1,1,1,1,1,1,2,4
Q15465,4,8,3,9,19,5,3,4,6,9,19,2,6
Q9Y421,12,8,18,17,10,12,7,6,10,12,10,14,15
Q5T215,0,0,22,0,0,30,8,12,12,11,4,6,6
P01615,1,1,10,1,1,1,1,5,5,5,21,8,27
Q6P2D0,0,0,0,0,12,0,1,0,28,10,12,7,7
Q8NEV9,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9NQ75,1,1,1,1,1,1,1,1,1,7,3,14,5
Q96KR6,17,3,0,28,7,15,11,14,18,17,5,15,16
Q6ZMB5,0,19,22,19,22,18,21,9,12,15,22,21,16
ENSP00000398703,1,1,1,1,1,1,1,1,1,1,1,32,9
P43005,0,50,50,5,0,46,42,30,11,34,37,46,38
Q7Z5H5,3,1,5,4,2,2,1,2,5,6,4,4,4
Q9BXT2,3,3,4,0,7,3,3,3,3,3,7,3,4
Q96HA4,5,5,3,3,1,2,1,2,5,2,1,2,3
Q5THK1,3,3,3,3,6,1,1,0,3,1,6,2,3
Q6NXP0,7,7,7,7,1,7,7,7,7,7,1,7,7
Q8NA03,11,11,13,13,11,10,5,11,11,11,11,10,30
Q9UM44,6,5,6,7,5,4,3,3,6,6,11,6,9
A3KN83,5,19,6,4,47,47,4,43,17,50,47,19,18
Q8N944,1,1,1,1,1,0,1,0,1,3,1,0,1
Q9BXW3,0,0,0,0,1,0,1,0,0,0,1,0,1
P48551,1,1,2,2,2,3,1,1,3,3,2,3,3
Q9UNN4,4,20,5,4,3,18,20,21,14,25,9,18,14
P35663,1,1,1,26,1,1,1,1,1,49,1,25,1
Q6A1A2,1,1,32,31,1,48,6,15,46,15,4,9,4
Q5M9Q1,2,31,10,10,18,24,9,11,16,18,18,14,2
P14635,1,24,1,24,1,19,8,5,6,24,5,9,5
Q13304,2,2,2,2,2,2,2,2,2,2,9,6,6
Q13363,1,1,0,52,36,39,45,41,2,34,34,18,17
Q8IYL3,1,0,0,0,1,1,4,1,1,1,1,0,1
Q6DKI7,3,3,3,3,3,3,1,3,3,3,3,2,3
Q9HD47,15,4,21,21,0,14,21,21,11,14,0,13,13
Q9BZW2,0,47,0,0,0,51,0,39,8,44,38,24,27
Q9UBD3,1,1,4,1,1,5,1,1,2,0,2,2,0
Q9Y5A6,1,1,1,8,1,1,1,1,25,1,1,14,7
ENSP00000381320,0,1,1,1,1,1,1,1,0,1,1,1,1
Q9Y6E0,2,15,10,2,0,20,9,9,17,15,29,12,14
Q9BVV6,2,2,2,2,0,1,1,1,2,1,0,0,0
Q96I51,14,4,3,18,4,13,12,3,3,1,38,19,44
P48023,1,1,1,2,1,1,1,1,1,2,5,6,8
ENSP00000393459,1,1,1,1,1,1,1,1,1,1,1,2,3
Q8N5S1,0,0,2,29,0,0,5,19,16,18,6,6,5
Q969V4,9,8,7,7,6,6,6,7,5,11,6,23,22
Q96B70,8,8,1,3,21,21,27,16,26,15,21,9,2
Q9UL01,1,1,1,1,2,52,53,51,52,51,51,8,8
Q16880,4,18,6,1,0,17,6,4,15,1,32,18,4
O75864,11,12,2,28,3,11,2,13,18,14,13,19,14
Q86U17,0,0,0,0,0,0,0,5,0,52,38,52,47
Q8WVH0,2,2,3,2,3,3,3,3,3,3,6,3,9
P0C881,1,1,11,1,9,51,23,42,8,1,39,22,23
Q92521,8,8,13,11,9,6,5,6,7,6,9,6,6
Q96A44,1,1,6,5,2,14,2,2,3,7,2,5,16
Q15743,1,1,1,1,1,1,1,1,1,1,1,6,5
P11277,13,13,3,2,1,3,3,8,11,1,14,11,11
Q9NYZ2,3,9,16,18,0,12,4,6,5,25,4,6,4
A6NKB5,4,4,4,4,3,1,2,21,25,24,24,2,5
Q8TCY9,2,2,2,2,4,4,3,3,3,4,4,20,26
Q12888,12,12,3,4,13,15,16,5,8,6,13,3,8
Q8TDM0,2,2,2,2,2,26,12,2,10,5,16,11,12
Q14114,3,2,7,3,5,7,1,6,3,8,20,2,4
P19440,0,0,46,56,30,26,2,20,23,43,25,27,18
Q6IB77,0,3,6,2,1,11,1,3,51,5,8,6,5
O00267,10,9,18,12,8,9,14,5,9,4,8,8,8
P79483,1,1,1,1,1,1,7,2,4,7,1,1,4
Q7LFX5,24,2,3,3,3,2,2,2,3,2,3,52,51
A6NC42,3,2,1,3,1,1,1,1,1,1,1,1,2
Q9BTC0,22,22,1,10,8,9,3,13,7,10,8,16,4
Q8WW12,7,7,2,1,4,4,4,4,7,4,4,3,8
P09669,7,3,1,6,1,4,9,1,3,6,1,6,6
Q9BVA0,47,4,6,21,16,17,14,18,18,12,16,42,37
Q9BRX8,5,5,6,6,1,22,25,21,21,19,1,19,20
Q12950,1,1,1,1,1,29,7,11,17,9,3,13,2
P78368,4,10,5,0,2,12,2,5,5,21,4,8,8
Q86VY4,0,1,1,1,1,25,1,23,19,24,11,23,26
P23769,2,16,1,2,4,14,20,3,14,4,7,17,4
Q8N2U9,13,11,15,16,12,9,15,13,12,10,11,6,12
P06314,1,1,5,1,4,1,8,2,23,6,21,7,25
Q9H0X9,3,18,2,1,3,22,8,7,4,1,33,10,13
Q8WUA4,21,20,2,20,17,21,4,6,24,22,17,16,19
O75072,7,6,7,7,7,5,5,5,6,5,7,5,6
Q96RE7,2,24,1,2,2,1,1,1,1,1,15,7,6
P02144,2,2,2,2,2,2,2,2,2,1,3,18,20
O14610,4,4,4,4,3,3,3,3,8,3,6,8,3
Q92839,3,22,5,2,3,42,1,47,51,51,50,46,48
Q05DH4,4,15,4,5,4,14,3,3,18,3,11,3,4
Q8TA86,17,18,10,8,1,16,16,16,5,7,1,5,17
P15336,18,16,1,7,0,20,6,11,4,8,8,13,11
O00587,3,1,2,2,0,2,3,5,17,5,17,14,3
Q9UJ78,2,2,0,3,1,0,1,2,2,2,5,0,2
Q96PE7,35,46,41,37,31,35,37,35,35,35,31,33,30
O00244,12,2,19,18,41,18,2,8,22,19,41,42,15
Q6ZRH9,1,1,1,1,1,1,1,1,1,1,1,16,1
O15428,1,1,1,1,1,1,11,1,1,1,1,14,15
ENSP00000412468,1,1,1,1,1,1,1,1,1,30,1,1,1
P52848,0,0,0,0,0,51,0,1,1,12,42,42,41
Q9UI30,7,17,9,11,9,5,11,6,6,6,9,7,6
O43610,4,12,5,5,9,3,9,6,5,7,9,6,4
Q8TAF7,3,3,3,3,3,3,1,3,27,4,25,19,25
Q5PR19,1,1,1,1,1,1,1,1,0,3,28,3,8
Q9H3W5,2,2,2,2,2,8,2,6,8,7,7,17,6
Q9BXM9,2,1,5,10,2,2,1,1,23,1,2,3,4
Q99729,1,24,4,21,4,22,8,5,6,25,34,8,13
P29350,0,2,0,0,11,0,7,5,13,9,11,18,18
Q96MH7,4,3,3,3,1,8,8,8,3,8,1,8,3
P32322,0,4,46,57,0,34,35,7,12,45,9,23,22
P61353,9,12,8,9,4,4,4,4,4,6,4,5,4
Q99963,3,7,9,4,12,16,10,11,9,6,11,9,10
Q9H0L4,0,0,1,2,1,53,7,35,24,36,7,8,9
Q8NGF7,0,0,4,5,6,0,1,0,11,3,7,5,6
Q8WZ60,2,1,2,9,7,22,0,0,22,4,7,18,20
Q9NX07,16,12,7,20,14,10,9,11,20,18,40,8,10
P35914,2,42,50,50,30,26,30,25,32,50,30,25,28
Q14507,0,0,0,0,0,0,1,2,2,1,1,2,2
Q9BZE7,5,6,4,5,1,18,4,4,4,21,1,3,4
Q9C0H6,2,1,3,2,1,19,1,6,20,5,19,17,48
Q16609,11,11,12,8,1,18,18,34,17,32,1,13,34
Q7RTY0,2,52,2,54,1,46,54,6,34,4,31,36,38
Q9UKN5,19,3,2,2,1,1,1,1,2,8,13,11,18
Q9NZQ3,13,14,9,7,5,11,2,2,4,3,5,12,3
O75368,1,1,2,7,1,17,1,4,8,7,13,18,15
Q8NGJ0,0,0,4,0,3,0,1,0,4,0,4,2,2
O94782,2,2,1,6,1,8,5,6,5,22,13,21,19
O43677,0,0,0,0,0,0,1,0,0,0,0,0,0
Q15365,2,2,30,26,2,28,8,12,14,1,4,9,9
Q96K12,0,0,10,0,7,24,27,21,22,18,45,13,4
Q9UKQ2,4,4,4,4,1,22,20,7,9,1,7,13,8
Q8NHY6,1,1,0,1,11,1,1,1,27,12,10,15,7
Q674X7,7,8,10,8,6,2,4,4,4,2,6,2,15
Q96J77,0,0,0,0,0,12,1,12,0,8,4,3,4
ENSP00000348221,1,1,1,1,1,1,1,1,1,1,1,0,0
Q99595,1,2,15,22,1,14,3,3,4,18,4,4,4
Q8IYB9,1,1,1,29,1,1,1,4,29,1,5,12,15
Q14190,0,2,3,9,1,5,2,3,2,4,3,2,4
P06753,5,2,4,2,40,7,4,4,6,19,40,19,23
P78369,2,2,2,2,2,2,2,2,2,2,2,2,4
ENSP00000402391,1,1,1,1,1,1,24,11,29,13,8,24,27
Q96NS5,2,2,2,2,42,2,2,2,3,5,42,22,26
Q53EZ4,0,0,2,1,1,0,0,0,0,0,1,0,33
Q8NGT7,3,3,3,3,3,3,1,3,7,5,4,4,5
P29372,45,49,9,48,40,39,40,42,41,39,40,40,40
P01031,2,54,2,3,2,7,1,1,49,1,45,3,50
Q6ZVK8,47,3,3,7,40,41,3,3,3,3,40,25,22
O95382,0,31,0,4,0,0,20,8,8,1,32,17,17
Q6F5E8,22,21,1,14,4,29,1,17,29,21,16,14,17
P0CI25,1,1,1,1,1,1,1,0,28,5,1,6,15
O14490,2,7,2,3,2,6,5,5,3,8,6,5,2
Q8NCM8,24,23,25,25,23,18,18,18,24,1,23,18,16
Q6ZMS4,1,1,1,7,1,5,1,7,30,4,20,14,20
P19634,1,52,2,2,1,51,2,44,5,41,25,43,43
Q6UVK1,4,4,3,7,11,2,4,2,7,3,11,3,7
Q96FV3,4,4,10,4,2,11,2,4,16,12,18,6,6
Q9H4M3,1,1,4,1,18,23,1,6,22,7,18,5,7
P15259,2,2,35,2,30,44,38,31,31,40,30,29,44
Q96SZ5,15,5,10,21,21,16,18,16,16,16,20,17,16
P0C0L4,1,1,1,1,1,4,1,2,46,1,1,4,50
P61296,4,6,3,4,2,7,5,5,6,7,4,5,7
Q9UN71,2,2,6,2,1,4,1,5,12,3,1,11,12
O15537,6,1,2,0,1,19,18,0,5,5,1,17,18
O43615,33,1,10,6,7,30,2,4,4,2,7,4,6
Q13946,20,19,20,19,17,18,17,17,22,23,39,21,22
Q8N1N2,0,4,4,0,1,4,1,4,2,1,1,3,4
Q08828,5,6,2,2,5,25,6,4,17,8,36,20,18
A4D1Z8,4,2,4,4,4,4,1,4,4,9,21,10,4
O43683,11,18,1,15,13,14,9,9,10,12,13,9,10
Q9NQZ8,0,0,7,0,0,0,1,0,28,22,15,16,22
Q16401,15,3,6,18,17,17,3,18,16,17,17,18,16
O00151,1,1,1,1,1,1,9,2,4,8,4,3,6
P56962,3,3,5,3,3,3,4,3,4,2,4,2,3
Q96P66,3,3,6,5,3,3,3,3,8,8,4,6,7
Q6PJ61,4,4,5,4,7,6,4,4,4,4,7,4,5
Q0VDI3,3,4,6,3,3,3,12,3,3,3,3,3,3
Q9H7D7,8,9,15,9,6,6,2,5,6,4,6,6,12
Q6ZRC1,2,2,2,2,1,0,1,0,2,0,1,0,0
Q5EBL4,4,4,5,4,5,4,5,4,4,9,5,4,7
P17025,3,3,6,9,2,2,1,3,27,13,16,14,19
Q9NUS5,4,4,4,4,20,4,4,4,8,4,20,4,4
P46934,1,8,0,0,0,8,14,13,2,1,3,8,15
Q15629,1,6,3,18,1,3,2,1,1,5,1,9,13
Q16799,0,0,0,2,0,23,2,1,25,4,38,14,3
P36402,0,0,3,3,1,0,11,9,10,10,3,2,2
Q8NGX1,1,1,1,1,5,1,1,5,12,2,6,4,16
Q96S66,6,6,2,1,9,6,1,6,6,6,9,1,6
Q14681,2,2,9,7,1,24,2,2,12,17,41,14,17
Q8WTW3,16,16,25,21,17,15,17,17,19,15,17,18,18
Q8WXG8,1,2,2,2,1,1,1,1,1,4,24,1,20
O60359,1,0,1,1,1,0,2,1,6,5,4,5,4
Q5M8T2,16,6,22,22,21,21,1,21,20,9,49,21,20
Q96C01,22,7,4,23,16,16,7,3,16,18,16,15,16
P17677,2,1,2,20,6,1,1,1,1,1,22,2,1
Q01668,2,5,7,2,2,4,6,2,19,21,9,8,18
P26992,2,2,4,3,4,1,1,1,2,3,9,1,8
P35226,1,3,2,2,4,6,4,19,19,17,15,19,7
Q9BY76,1,2,4,4,3,1,6,3,7,8,4,4,9
Q99570,8,8,16,12,7,2,2,3,5,2,7,4,4
Q99895,1,1,3,10,5,1,6,1,55,0,5,5,9
Q96R47,3,4,3,4,3,8,1,2,6,4,3,4,7
Q8TCV5,0,0,4,4,0,0,1,0,0,12,5,3,11
Q96JF0,2,6,0,1,19,3,3,3,4,7,19,19,20
Q9BZ23,4,21,8,3,2,10,18,17,10,24,25,17,12
Q05682,3,3,4,46,1,1,2,1,2,55,1,1,4
P11055,0,0,1,1,3,1,13,9,32,1,9,11,41
Q9ULG3,3,3,3,3,1,3,1,3,3,3,1,2,2
P23435,1,1,1,1,3,2,1,1,7,3,3,6,2
Q13349,2,4,2,2,1,4,1,1,1,6,3,3,5
Q6NUS6,8,25,3,25,2,22,2,22,27,20,22,21,26
Q9Y247,1,1,30,1,1,28,13,15,14,10,7,13,9
Q69384,1,1,5,1,1,6,1,3,3,3,1,1,4
P15586,5,14,12,45,40,40,38,39,42,44,39,38,10
Q96S53,4,6,0,2,5,7,14,12,2,17,39,41,46
Q8NHV5,5,4,0,7,1,3,3,3,0,3,1,4,3
ENSP00000362696,0,1,1,1,1,0,1,1,0,0,1,1,1
Q9H7P9,1,1,1,1,6,11,5,8,1,16,6,6,24
P61927,11,12,7,16,5,4,3,3,13,7,5,7,9
Q96A84,1,1,3,2,3,5,2,1,5,7,42,8,2
O14775,6,6,15,5,5,3,3,15,18,43,9,14,41
Q9BYU1,2,2,4,3,2,28,21,11,24,9,10,15,20
Q9H2M3,1,1,0,0,10,54,1,55,24,0,35,33,35
Q9P2F9,3,2,2,3,2,2,1,2,24,8,16,11,18
Q8NGE7,3,3,1,2,2,0,1,0,4,1,4,1,3
Q9Y675,2,2,2,2,2,2,1,2,2,2,2,6,3
Q9P086,6,7,9,8,6,6,7,7,6,7,6,16,6
P56880,4,3,3,3,3,3,3,3,3,3,3,3,5
P14061,1,1,3,1,48,50,10,39,20,43,48,32,32
Q9H2X8,1,7,8,1,24,5,1,7,4,30,24,3,5
Q96RD6,1,7,2,2,2,6,1,1,1,3,3,1,7
Q9H295,0,0,0,0,0,0,0,0,0,6,2,6,0
Q9UDX3,0,0,10,31,0,26,14,8,9,7,5,16,18
Q6PCB6,6,6,12,7,34,21,19,43,18,40,34,39,42
Q8NC26,0,0,0,0,0,3,1,3,0,3,4,10,17
Q9HAZ2,3,8,5,5,9,6,3,5,21,6,9,13,15
P15090,2,1,8,2,1,1,1,6,5,7,5,5,6
P56211,0,1,1,0,2,12,0,2,2,4,2,7,5
Q86UX7,4,4,5,4,4,3,3,6,5,9,5,4,5
Q12889,24,23,2,1,1,32,13,41,37,6,31,45,39
Q70EL4,3,8,3,2,5,7,3,4,4,1,15,19,19
Q5JSH3,13,10,4,8,10,10,7,6,7,19,10,10,7
B8ZZ34,1,1,1,1,1,6,6,6,10,6,9,9,9
P82650,3,3,6,3,3,2,2,2,3,2,3,2,3
ENSP00000388798,1,1,1,1,1,19,1,1,19,16,1,14,36
Q9NUP9,1,5,5,6,1,1,1,1,2,7,1,1,4
Q8N2I2,3,3,3,3,3,3,1,3,31,5,11,18,12
Q9NX00,3,3,0,4,3,3,3,3,3,3,3,3,3
Q96GW7,9,2,2,1,2,5,0,8,2,3,2,16,2
P00167,5,14,7,20,4,17,25,4,6,8,4,18,20
Q8TDB8,0,0,14,28,0,28,38,36,5,19,43,34,6
O00338,0,0,13,29,5,24,22,4,47,1,46,22,25
Q99942,3,4,3,4,3,27,4,23,26,20,18,15,20
Q9Y2D0,0,1,7,1,1,1,1,2,43,49,36,18,50
Q6ZP57,0,0,0,0,1,0,1,0,0,0,1,1,1
Q9BWQ6,0,29,24,30,0,22,9,17,16,11,8,8,10
Q2V2M9,6,5,2,9,1,5,2,3,15,1,16,19,4
A6NI15,0,1,1,2,1,1,1,0,0,5,5,0,5
Q9NS28,0,0,0,1,0,0,0,5,17,26,9,19,24
O75462,3,2,4,5,2,1,1,1,3,1,7,1,8
Q6PIW4,17,22,2,3,3,16,8,10,10,1,30,18,16
Q14028,4,8,1,1,8,4,3,6,19,1,22,20,22
Q5JS37,52,52,2,1,2,8,8,51,2,8,43,47,6
Q9NRL2,22,4,6,16,13,15,2,14,6,4,15,3,5
Q9H1P3,1,6,19,14,0,18,17,13,20,1,41,18,19
P43490,3,2,49,0,49,53,48,48,49,52,49,48,49
Q9GZS1,13,7,8,15,7,15,6,16,11,6,7,9,8
P80421,1,1,10,1,1,1,1,1,1,6,4,23,5
Q9NR00,1,0,0,0,0,0,0,0,0,0,0,0,0
Q96QI5,6,5,12,3,3,27,29,8,44,21,46,44,45
Q8NE18,5,6,3,2,5,5,6,3,4,16,5,41,42
Q8WX39,0,0,0,0,0,0,1,0,0,0,22,4,4
Q8IX95,1,1,1,1,1,1,1,9,1,10,4,1,1
P21757,1,1,0,0,0,3,9,9,10,8,3,8,10
O75807,11,11,0,0,8,11,1,0,0,4,8,5,0
Q56P03,16,19,1,6,17,14,14,15,17,15,17,15,16
Q92466,22,22,4,7,22,21,20,20,5,20,21,47,46
Q9BUW7,7,1,4,2,1,7,2,1,1,1,1,6,6
Q8NC60,41,44,7,20,36,41,45,48,39,42,28,40,40
Q86SE8,1,2,1,2,3,2,3,2,7,8,8,6,8
Q92934,5,0,0,0,4,4,9,4,0,4,4,5,4
Q9BWF3,3,3,2,6,0,28,5,21,24,24,44,13,20
Q86SG2,1,1,1,1,28,24,24,1,1,28,28,53,54
O95714,5,5,6,6,5,41,16,39,5,1,20,16,6
O00567,5,8,9,4,3,6,3,2,3,10,3,6,4
P53367,0,6,5,0,0,6,2,2,2,2,2,2,3
Q13148,4,4,8,15,3,3,21,3,4,18,32,16,7
Q92886,0,0,4,2,2,7,7,4,5,9,2,1,6
Q9H095,7,7,8,6,5,6,6,7,21,4,5,21,30
Q9BXP2,3,4,4,11,5,2,3,15,2,24,14,17,17
Q8N9B5,1,7,3,1,2,2,1,6,3,6,8,1,2
P13164,0,0,1,0,0,0,3,5,6,6,2,3,9
O95749,34,15,20,36,14,28,14,32,7,14,14,10,14
Q9H321,1,1,1,38,0,16,1,0,0,0,0,1,1
P30460,1,1,4,1,1,1,2,3,1,6,5,3,2
A8MYJ7,3,3,4,4,1,7,14,7,3,6,39,6,19
Q6P575,16,16,16,16,6,61,40,18,16,33,47,45,44
Q96AD5,1,4,2,1,1,3,3,3,16,18,16,16,16
Q9BTE0,14,17,16,16,19,12,11,12,13,13,32,8,10
Q86X60,1,1,0,1,15,19,15,6,6,20,15,8,17
Q71RC2,2,8,4,5,4,5,3,4,1,3,5,4,2
P0C5J1,1,1,18,1,1,33,19,17,11,7,1,12,45
O75949,5,5,3,3,2,5,6,5,6,5,2,5,12
Q00722,2,2,2,2,2,2,6,7,21,19,10,12,16
P42768,4,11,5,22,19,15,7,15,9,39,19,7,16
P61024,9,26,21,31,3,16,21,3,8,10,3,18,17
P09238,0,0,8,4,0,0,1,2,26,1,1,27,30
A6NK53,0,0,0,0,0,0,1,0,32,3,17,13,19
P32780,6,13,5,18,6,4,13,9,4,4,6,10,6
Q8NER5,1,1,0,0,1,6,0,3,2,8,2,12,13
ENSP00000409248,1,1,1,1,1,1,1,4,2,2,1,0,0
P15374,9,12,15,19,8,7,10,6,6,27,8,6,7
O43765,0,15,8,0,0,35,18,33,10,18,7,30,32
P56278,1,1,1,1,2,1,1,1,1,1,2,1,1
O75460,1,12,4,3,7,12,6,6,9,22,7,7,5
Q9BZG1,2,7,3,7,2,6,5,5,5,28,31,20,24
Q9P1Q5,3,2,5,2,0,0,1,0,7,3,1,5,3
Q9NSA1,5,0,5,5,3,3,4,5,4,2,5,9,10
Q9NXR8,13,14,5,11,3,15,3,11,15,20,5,8,15
Q9NYU1,31,30,22,23,13,21,7,9,12,21,13,7,8
Q9BUB4,17,18,16,13,3,12,14,15,12,18,7,10,18
P60866,6,12,2,25,0,9,3,0,0,1,1,13,14
Q9UMX5,20,21,0,23,1,22,24,17,6,15,10,6,20
P28067,0,3,2,1,2,3,6,2,2,4,2,2,3
Q9C0K3,0,0,0,10,1,29,11,38,0,16,1,11,11
O43286,1,5,0,2,0,10,0,25,26,23,1,18,8
Q8NC67,0,6,0,5,16,5,6,4,5,6,16,2,6
Q9NZQ8,5,23,5,5,5,3,2,11,10,9,10,7,11
Q8N2C9,0,0,0,0,1,0,1,0,0,0,1,0,1
P27352,0,0,1,0,0,7,10,8,6,1,4,4,6
ENSP00000366202,1,1,1,1,1,1,1,1,1,1,1,27,2
Q9H1E1,0,0,2,0,0,3,1,3,7,6,2,5,5
Q9HA90,8,8,12,12,1,3,7,3,8,7,1,4,8
C9JDP6,1,1,1,4,1,1,6,4,3,4,2,3,3
Q9H910,3,2,2,4,3,1,1,1,1,1,3,4,5
Q7Z5U6,22,21,18,21,30,20,19,20,19,20,30,19,46
Q9ULJ7,18,26,3,3,26,45,20,17,52,1,26,14,19
Q6Q788,2,2,1,1,2,2,1,2,11,2,53,25,53
Q9ULC6,0,0,1,0,1,1,19,18,18,23,18,3,19
P33240,0,1,2,7,6,11,4,6,20,35,6,6,5
P0C7V5,1,1,1,1,1,1,1,1,34,3,6,13,7
O60312,0,22,7,18,1,3,15,1,2,1,15,5,5
Q66K41,4,4,4,3,3,4,1,4,11,1,21,6,11
Q52WX2,7,8,2,50,1,3,4,2,49,4,17,10,22
Q6ICI0,1,1,1,13,16,12,1,1,6,1,16,10,11
P21127,13,14,1,14,8,19,7,6,10,14,8,1,1
P13349,0,6,0,0,3,0,1,2,5,11,3,1,4
Q8NEG0,3,4,3,3,3,3,1,3,3,0,60,3,3
Q9Y4H2,2,2,0,53,3,6,8,6,6,6,7,6,2
Q13507,1,1,3,1,1,8,3,7,12,6,2,8,8
Q6DD88,1,1,1,1,1,6,4,16,16,23,16,14,15
P53355,23,27,8,7,2,6,27,5,6,22,19,14,20
Q68BL7,3,2,3,3,2,1,6,4,5,3,5,4,5
P29275,2,1,2,1,1,4,10,3,4,5,5,1,4
Q5VZP5,26,1,2,1,1,0,0,21,1,27,28,6,1
Q5VU92,1,0,0,0,0,0,10,9,10,10,49,10,11
Q14003,2,2,3,2,9,6,1,12,41,11,39,9,10
Q7RTS1,3,3,2,2,3,9,14,3,3,11,9,8,10
A6NNL0,1,1,5,1,1,5,1,1,1,2,1,0,0
Q7L804,1,7,2,1,1,5,5,4,6,5,4,23,1
O15442,7,6,9,21,40,44,41,45,12,50,39,41,17
Q9NXK8,6,5,5,10,0,9,8,8,9,9,37,15,8
Q9NUQ8,7,24,37,28,27,21,32,14,4,27,27,31,30
P25787,6,6,4,7,4,2,1,2,2,9,23,6,2
Q9H4M7,3,3,4,4,3,22,4,9,30,7,16,5,3
Q8N148,2,4,4,4,4,2,1,2,8,3,9,3,5
Q9Y284,17,4,5,20,15,16,2,2,17,2,15,17,17
A8MVJ9,1,1,0,0,0,0,1,8,7,4,1,1,1
Q9Y6G1,1,2,19,20,1,19,7,20,21,22,7,13,16
Q9NYK1,1,1,1,25,1,3,1,9,16,1,18,24,49
P81534,1,1,0,1,0,0,1,0,0,0,2,2,0
Q9NVH6,8,12,11,10,37,7,8,6,38,4,37,5,6
O95833,1,0,2,1,1,24,16,21,15,19,35,13,15
Q17RG1,5,5,0,1,2,0,4,4,5,4,18,19,5
Q3KP22,7,7,1,1,1,7,8,7,1,7,1,6,2
P47895,1,18,50,51,0,45,22,26,26,44,43,39,16
Q6ZVC0,3,3,3,3,3,3,3,3,3,3,3,2,3
Q7Z4F1,2,2,3,2,0,2,2,8,8,7,20,6,7
Q641Q3,0,1,6,0,3,6,0,6,6,6,3,5,5
Q96I27,1,1,15,1,2,1,1,1,33,17,17,16,11
Q9NRR4,11,11,7,7,16,24,30,29,13,28,16,15,2
Q96IX9,1,1,1,1,1,1,1,1,1,5,1,5,4
P03956,3,2,3,3,1,25,1,1,25,1,2,32,36
P07711,0,7,28,14,1,23,17,16,44,10,30,22,28
Q14833,2,2,8,2,2,53,1,6,10,6,20,5,17
Q6ISS4,0,0,5,0,0,7,1,1,5,0,1,3,1
ENSP00000403148,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8NGQ7,0,0,0,0,1,0,1,0,12,4,1,1,1
Q9Y4A9,1,2,1,1,2,2,1,1,6,4,6,3,5
Q86VY9,1,7,1,1,1,6,1,1,1,3,1,1,1
ENSP00000388414,1,1,3,1,1,29,6,10,4,10,17,4,15
Q9H977,25,7,7,7,16,23,7,7,25,7,16,16,28
P11465,0,0,0,0,0,0,1,6,14,5,2,8,5
Q53GQ0,16,5,15,17,34,28,1,24,22,36,33,26,12
Q6ICG8,11,11,0,12,0,27,5,8,23,7,13,2,2
P50416,3,6,4,9,22,2,0,19,21,5,21,20,2
